file,class,method,variable,usage
/Users/larrymotuzis/Larry_Motuzis_Data/Project02_CommonsMath/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/optim/nonlinear/scalar/MultivariateFunctionMappingAdapter.java,org.apache.commons.math4.legacy.optim.nonlinear.scalar.MultivariateFunctionMappingAdapter$LowerBoundMapper,unboundedToBounded/1[double],y,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project02_CommonsMath/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/optim/nonlinear/scalar/MultivariateFunctionMappingAdapter.java,org.apache.commons.math4.legacy.optim.nonlinear.scalar.MultivariateFunctionMappingAdapter$LowerBoundMapper,LowerBoundMapper/1[double],lower,2
/Users/larrymotuzis/Larry_Motuzis_Data/Project02_CommonsMath/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/optim/nonlinear/scalar/MultivariateFunctionMappingAdapter.java,org.apache.commons.math4.legacy.optim.nonlinear.scalar.MultivariateFunctionMappingAdapter$LowerBoundMapper,boundedToUnbounded/1[double],x,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project02_CommonsMath/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/analysis/function/Sqrt.java,org.apache.commons.math4.legacy.analysis.function.Sqrt,value/1[double],x,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project02_CommonsMath/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/analysis/function/Sqrt.java,org.apache.commons.math4.legacy.analysis.function.Sqrt,value/1[org.apache.commons.math4.legacy.analysis.differentiation.DerivativeStructure],t,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project02_CommonsMath/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/optim/nonlinear/scalar/LineSearchTolerance.java,org.apache.commons.math4.legacy.optim.nonlinear.scalar.LineSearchTolerance,"LineSearchTolerance/3[double,double,double]",absolute,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project02_CommonsMath/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/optim/nonlinear/scalar/LineSearchTolerance.java,org.apache.commons.math4.legacy.optim.nonlinear.scalar.LineSearchTolerance,"LineSearchTolerance/3[double,double,double]",range,3
/Users/larrymotuzis/Larry_Motuzis_Data/Project02_CommonsMath/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/optim/nonlinear/scalar/LineSearchTolerance.java,org.apache.commons.math4.legacy.optim.nonlinear.scalar.LineSearchTolerance,"LineSearchTolerance/3[double,double,double]",relative,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project02_CommonsMath/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/ml/distance/ChebyshevDistance.java,org.apache.commons.math4.legacy.ml.distance.ChebyshevDistance,"compute/2[double[],double[]]",a,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project02_CommonsMath/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/ml/distance/ChebyshevDistance.java,org.apache.commons.math4.legacy.ml.distance.ChebyshevDistance,"compute/2[double[],double[]]",b,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project02_CommonsMath/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/optim/nonlinear/scalar/MultiStartMultivariateOptimizer.java,org.apache.commons.math4.legacy.optim.nonlinear.scalar.MultiStartMultivariateOptimizer,store/1[org.apache.commons.math4.legacy.optim.PointValuePair],optimum,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project02_CommonsMath/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/optim/nonlinear/scalar/MultiStartMultivariateOptimizer.java,org.apache.commons.math4.legacy.optim.nonlinear.scalar.MultiStartMultivariateOptimizer,"MultiStartMultivariateOptimizer/3[org.apache.commons.math4.legacy.optim.nonlinear.scalar.MultivariateOptimizer,int,java.util.function.Supplier<double[]>]",optimizer,3
/Users/larrymotuzis/Larry_Motuzis_Data/Project02_CommonsMath/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/optim/nonlinear/scalar/MultiStartMultivariateOptimizer.java,org.apache.commons.math4.legacy.optim.nonlinear.scalar.MultiStartMultivariateOptimizer,"MultiStartMultivariateOptimizer/3[org.apache.commons.math4.legacy.optim.nonlinear.scalar.MultivariateOptimizer,int,java.util.function.Supplier<double[]>]",generator,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project02_CommonsMath/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/optim/nonlinear/scalar/MultiStartMultivariateOptimizer.java,org.apache.commons.math4.legacy.optim.nonlinear.scalar.MultiStartMultivariateOptimizer,"MultiStartMultivariateOptimizer/3[org.apache.commons.math4.legacy.optim.nonlinear.scalar.MultivariateOptimizer,int,java.util.function.Supplier<double[]>]",starts,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project02_CommonsMath/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/fitting/leastsquares/ParameterValidator.java,org.apache.commons.math4.legacy.fitting.leastsquares.ParameterValidator,validate/1[org.apache.commons.math4.legacy.linear.RealVector],params,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project02_CommonsMath/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/optim/AbstractConvergenceChecker.java,org.apache.commons.math4.legacy.optim.AbstractConvergenceChecker,"AbstractConvergenceChecker/2[double,double]",relativeThreshold,2
/Users/larrymotuzis/Larry_Motuzis_Data/Project02_CommonsMath/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/optim/AbstractConvergenceChecker.java,org.apache.commons.math4.legacy.optim.AbstractConvergenceChecker,"AbstractConvergenceChecker/2[double,double]",absoluteThreshold,2
/Users/larrymotuzis/Larry_Motuzis_Data/Project02_CommonsMath/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/optim/AbstractConvergenceChecker.java,org.apache.commons.math4.legacy.optim.AbstractConvergenceChecker,"converged/3[int,PAIR,PAIR]",current,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project02_CommonsMath/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/optim/AbstractConvergenceChecker.java,org.apache.commons.math4.legacy.optim.AbstractConvergenceChecker,"converged/3[int,PAIR,PAIR]",previous,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project02_CommonsMath/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/optim/AbstractConvergenceChecker.java,org.apache.commons.math4.legacy.optim.AbstractConvergenceChecker,"converged/3[int,PAIR,PAIR]",iteration,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project02_CommonsMath/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/ode/FieldSecondaryEquations.java,org.apache.commons.math4.legacy.ode.FieldSecondaryEquations,"init/4[T,T[],T[],T]",secondary0,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project02_CommonsMath/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/ode/FieldSecondaryEquations.java,org.apache.commons.math4.legacy.ode.FieldSecondaryEquations,"init/4[T,T[],T[],T]",primary0,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project02_CommonsMath/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/ode/FieldSecondaryEquations.java,org.apache.commons.math4.legacy.ode.FieldSecondaryEquations,"init/4[T,T[],T[],T]",t0,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project02_CommonsMath/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/ode/FieldSecondaryEquations.java,org.apache.commons.math4.legacy.ode.FieldSecondaryEquations,"init/4[T,T[],T[],T]",finalTime,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project02_CommonsMath/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/ode/FieldSecondaryEquations.java,org.apache.commons.math4.legacy.ode.FieldSecondaryEquations,"computeDerivatives/4[T,T[],T[],T[]]",secondary,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project02_CommonsMath/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/ode/FieldSecondaryEquations.java,org.apache.commons.math4.legacy.ode.FieldSecondaryEquations,"computeDerivatives/4[T,T[],T[],T[]]",t,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project02_CommonsMath/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/ode/FieldSecondaryEquations.java,org.apache.commons.math4.legacy.ode.FieldSecondaryEquations,"computeDerivatives/4[T,T[],T[],T[]]",primaryDot,0
