file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/larrymotuzis/Larry_Motuzis_Data/Project03_CommonsLang/src/main/java/org/apache/commons/lang3/time/FastDatePrinter.java,org.apache.commons.lang3.time.FastDatePrinter$TextField,innerclass,1,1,0,1,5,1,0,3,0,0.16666667,1.0,1.0,3,0,2,0,0,1,3,0,0,0,2,0,0,2,0,0,2,0,0,21,1,1,0,0,0,0,2,6,0,5,2,0,0,0,32,26,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project03_CommonsLang/src/main/java/org/apache/commons/lang3/function/FailableLongToDoubleFunction.java,org.apache.commons.lang3.function.FailableLongToDoubleFunction,interface,2,3,1,2,2,1,0,0,1,0.5,0.0,0.0,2,1,0,0,0,2,2,0,0,0,1,0,0,0,0,1,0,0,0,7,1,0,0,0,0,2,1,1,0,2,0,0,0,1,39,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project03_CommonsLang/src/main/java/org/apache/commons/lang3/concurrent/ConcurrentUtils.java,org.apache.commons.lang3.concurrent.ConcurrentUtils,class,11,15,4,11,26,1,0,14,66,0.0,0.0,0.0,12,11,10,1,0,1,11,0,0,0,0,0,0,0,0,0,0,0,9,94,14,0,12,2,0,1,0,4,0,4,1,0,1,0,204,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project03_CommonsLang/src/main/java/org/apache/commons/lang3/function/FailableDoublePredicate.java,org.apache.commons.lang3.function.FailableDoublePredicate,interface,2,3,1,2,6,1,0,2,15,0.8333333,0.0,0.0,6,2,0,0,0,6,6,0,0,0,2,0,0,0,0,2,0,0,2,22,5,0,0,0,0,4,0,2,0,7,0,0,0,5,61,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project03_CommonsLang/src/main/java/org/apache/commons/lang3/text/translate/UnicodeUnpairedSurrogateRemover.java,org.apache.commons.lang3.text.translate.UnicodeUnpairedSurrogateRemover,class,1,2,1,1,4,3,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,41,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project03_CommonsLang/src/main/java/org/apache/commons/lang3/builder/AbstractSupplier.java,org.apache.commons.lang3.builder.AbstractSupplier,class,5,13,8,5,2,1,0,0,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,36,1025,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project03_CommonsLang/src/main/java/org/apache/commons/lang3/text/StrBuilder.java,org.apache.commons.lang3.text.StrBuilder$StrBuilderTokenizer,innerclass,3,3,0,3,5,2,0,4,3,0.0,0.0,0.0,3,0,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,17,4,0,2,0,0,0,1,1,0,1,1,0,0,0,17,16,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project03_CommonsLang/src/main/java/org/apache/commons/lang3/reflect/TypeLiteral.java,org.apache.commons.lang3.reflect.TypeLiteral,class,5,6,1,5,7,1,0,11,0,0.53333336,0.7,1.0,5,0,4,0,1,0,5,0,1,0,3,1,1,2,0,0,3,0,6,28,6,0,1,0,1,3,3,4,1,4,1,0,0,0,122,1025,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project03_CommonsLang/src/main/java/org/apache/commons/lang3/time/FastDateParser.java,org.apache.commons.lang3.time.FastDateParser$CaseInsensitiveTextStrategy,innerclass,3,3,0,3,6,3,0,10,0,0.0,1.0,1.0,3,0,1,0,0,2,3,0,0,0,3,0,0,3,0,0,3,0,2,28,1,0,2,0,0,7,2,7,3,6,1,0,0,0,49,26,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project03_CommonsLang/src/main/java/org/apache/commons/lang3/Functions.java,org.apache.commons.lang3.Functions$FailableBiConsumer,interface,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project03_CommonsLang/src/main/java/org/apache/commons/lang3/function/FailableBiConsumer.java,org.apache.commons.lang3.function.FailableBiConsumer,interface,4,11,7,4,3,1,0,3,3,0.6666667,0.0,0.0,3,1,0,0,0,3,3,0,0,0,1,0,0,0,0,1,0,0,1,17,2,0,0,0,0,2,0,1,0,5,1,0,0,2,52,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project03_CommonsLang/src/main/java/org/apache/commons/lang3/time/FastDatePrinter.java,org.apache.commons.lang3.time.FastDatePrinter$Rule,interface,0,0,0,0,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,2,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project03_CommonsLang/src/main/java/org/apache/commons/lang3/StringUtils.java,org.apache.commons.lang3.StringUtils,class,22,46,24,22,856,1,0,202,27097,0.96502054,0.03953446,0.07335879,243,242,235,8,0,0,235,0,0,0,10,10,5,4,0,1,10,0,287,2489,499,85,248,0,8,21,399,466,170,330,5,0,0,1,1041,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project03_CommonsLang/src/main/java/org/apache/commons/lang3/exception/DefaultExceptionContext.java,org.apache.commons.lang3.exception.DefaultExceptionContext,class,6,9,3,6,14,1,0,26,16,0.7222222,0.21428572,0.21428572,9,0,8,1,0,0,8,0,0,0,2,1,0,2,0,0,2,0,4,61,8,1,1,1,0,6,4,5,0,8,3,0,0,3,71,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project03_CommonsLang/src/main/java/org/apache/commons/lang3/tuple/Pair.java,org.apache.commons.lang3.tuple.Pair,class,9,20,11,9,18,1,0,16,120,0.96875,0.0,0.0,16,4,16,0,0,0,16,2,1,0,2,2,1,1,0,0,2,0,8,54,14,0,1,0,0,2,1,3,1,3,1,0,0,0,171,1025,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project03_CommonsLang/src/main/java/org/apache/commons/lang3/builder/IDKey.java,org.apache.commons.lang3.builder.IDKey,class,1,4,3,1,6,1,0,1,0,0.16666667,1.0,1.0,3,0,2,0,0,1,3,0,0,0,2,0,0,2,0,0,2,0,1,21,4,0,2,0,1,0,0,3,0,3,1,0,0,0,41,16,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project03_CommonsLang/src/main/java/org/apache/commons/lang3/CharEncoding.java,org.apache.commons.lang3.CharEncoding,class,0,0,0,0,4,1,0,2,1,1.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,6,6,6,0,0,0,6,0,1,21,3,0,1,1,0,0,0,6,0,6,1,0,0,0,141,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project03_CommonsLang/src/main/java/org/apache/commons/lang3/Strings.java,org.apache.commons.lang3.Strings$Builder,innerclass,5,5,0,5,5,2,0,1,2,0.5,0.6666667,1.0,4,0,3,1,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,17,3,0,0,0,0,0,0,2,0,2,0,0,0,0,26,9,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project03_CommonsLang/src/main/java/org/apache/commons/lang3/function/FailableLongBinaryOperator.java,org.apache.commons.lang3.function.FailableLongBinaryOperator,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project03_CommonsLang/src/main/java/org/apache/commons/lang3/builder/HashCodeBuilder.java,org.apache.commons.lang3.builder.HashCodeBuilder,class,19,21,2,19,83,1,0,56,156,0.7297298,0.43939394,0.43939394,37,11,31,4,0,2,33,0,0,0,5,3,0,5,0,0,4,0,29,272,34,11,17,1,4,4,11,33,31,11,3,0,0,0,296,1,0
