file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/larrymotuzis/Larry_Motuzis_Data/Project03_CommonsLang/src/main/java/org/apache/commons/lang3/time/FastDatePrinter.java,org.apache.commons.lang3.time.FastDatePrinter$TextField,estimateLength/0,false,390,0,0,0,0,3,1,10,1,3,0,1,0,0,1,0,0,0,0,2,4,0,2,0,0,0,5,1,0,true
/Users/larrymotuzis/Larry_Motuzis_Data/Project03_CommonsLang/src/main/java/org/apache/commons/lang3/time/FastDatePrinter.java,org.apache.commons.lang3.time.FastDatePrinter$TextField,"appendTo/2[java.lang.Appendable,java.util.Calendar]",false,382,0,0,0,0,1,2,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,true
/Users/larrymotuzis/Larry_Motuzis_Data/Project03_CommonsLang/src/main/java/org/apache/commons/lang3/time/FastDatePrinter.java,org.apache.commons.lang3.time.FastDatePrinter$TextField,"TextField/2[int,java.lang.String[]]",true,373,0,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,12,0,0,true
/Users/larrymotuzis/Larry_Motuzis_Data/Project03_CommonsLang/src/main/java/org/apache/commons/lang3/function/FailableLongToDoubleFunction.java,org.apache.commons.lang3.function.FailableLongToDoubleFunction,nop/0,false,42,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,8,0,true
/Users/larrymotuzis/Larry_Motuzis_Data/Project03_CommonsLang/src/main/java/org/apache/commons/lang3/function/FailableLongToDoubleFunction.java,org.apache.commons.lang3.function.FailableLongToDoubleFunction,applyAsDouble/1[long],false,46,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,true
/Users/larrymotuzis/Larry_Motuzis_Data/Project03_CommonsLang/src/main/java/org/apache/commons/lang3/concurrent/ConcurrentUtils.java,org.apache.commons.lang3.concurrent.ConcurrentUtils,checkedException/1[java.lang.Throwable],false,108,2,6,4,2,1,2,4,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,8,0,true
/Users/larrymotuzis/Larry_Motuzis_Data/Project03_CommonsLang/src/main/java/org/apache/commons/lang3/concurrent/ConcurrentUtils.java,org.apache.commons.lang3.concurrent.ConcurrentUtils,extractCauseUnchecked/1[java.util.concurrent.ExecutionException],false,226,2,3,1,2,3,3,7,2,0,1,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,43,9,0,true
/Users/larrymotuzis/Larry_Motuzis_Data/Project03_CommonsLang/src/main/java/org/apache/commons/lang3/concurrent/ConcurrentUtils.java,org.apache.commons.lang3.concurrent.ConcurrentUtils,handleCauseUnchecked/1[java.util.concurrent.ExecutionException],false,267,2,1,0,1,2,1,6,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,48,9,0,true
/Users/larrymotuzis/Larry_Motuzis_Data/Project03_CommonsLang/src/main/java/org/apache/commons/lang3/concurrent/ConcurrentUtils.java,org.apache.commons.lang3.concurrent.ConcurrentUtils,"createIfAbsentUnchecked/3[java.util.concurrent.ConcurrentMap<K,V>,K,org.apache.commons.lang3.concurrent.ConcurrentInitializer<V>]",false,180,5,2,0,2,2,2,8,1,0,3,2,1,2,0,0,1,0,0,0,0,0,1,0,0,0,56,9,0,true
/Users/larrymotuzis/Larry_Motuzis_Data/Project03_CommonsLang/src/main/java/org/apache/commons/lang3/concurrent/ConcurrentUtils.java,org.apache.commons.lang3.concurrent.ConcurrentUtils,handleCause/1[java.util.concurrent.ExecutionException],false,247,2,2,1,1,2,1,6,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,45,9,0,true
/Users/larrymotuzis/Larry_Motuzis_Data/Project03_CommonsLang/src/main/java/org/apache/commons/lang3/concurrent/ConcurrentUtils.java,org.apache.commons.lang3.concurrent.ConcurrentUtils,"putIfAbsent/3[java.util.concurrent.ConcurrentMap<K,V>,K,V]",false,345,2,1,1,0,3,1,7,2,1,3,1,0,0,0,2,0,0,0,0,1,0,1,0,0,0,59,9,0,true
/Users/larrymotuzis/Larry_Motuzis_Data/Project03_CommonsLang/src/main/java/org/apache/commons/lang3/concurrent/ConcurrentUtils.java,org.apache.commons.lang3.concurrent.ConcurrentUtils,constantFuture/1[T],false,127,2,1,0,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,9,0,true
/Users/larrymotuzis/Larry_Motuzis_Data/Project03_CommonsLang/src/main/java/org/apache/commons/lang3/concurrent/ConcurrentUtils.java,org.apache.commons.lang3.concurrent.ConcurrentUtils,"createIfAbsent/3[java.util.concurrent.ConcurrentMap<K,V>,K,org.apache.commons.lang3.concurrent.ConcurrentInitializer<V>]",false,152,5,3,1,2,4,3,10,3,1,3,3,1,1,0,3,0,0,0,0,1,0,1,0,0,0,70,9,0,true
/Users/larrymotuzis/Larry_Motuzis_Data/Project03_CommonsLang/src/main/java/org/apache/commons/lang3/concurrent/ConcurrentUtils.java,org.apache.commons.lang3.concurrent.ConcurrentUtils,extractCause/1[java.util.concurrent.ExecutionException],false,206,2,3,1,2,3,3,7,2,0,1,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,47,9,0,true
/Users/larrymotuzis/Larry_Motuzis_Data/Project03_CommonsLang/src/main/java/org/apache/commons/lang3/concurrent/ConcurrentUtils.java,org.apache.commons.lang3.concurrent.ConcurrentUtils,initialize/1[org.apache.commons.lang3.concurrent.ConcurrentInitializer<T>],false,288,3,2,1,1,2,1,3,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,36,9,0,true
/Users/larrymotuzis/Larry_Motuzis_Data/Project03_CommonsLang/src/main/java/org/apache/commons/lang3/concurrent/ConcurrentUtils.java,org.apache.commons.lang3.concurrent.ConcurrentUtils,initializeUnchecked/1[org.apache.commons.lang3.concurrent.ConcurrentInitializer<T>],false,305,4,2,0,2,2,2,8,1,0,1,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,47,9,0,true
