file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/larrymotuzis/Larry_Motuzis_Data/Project04_CommonsIO/src/main/java/org/apache/commons/io/input/MemoryMappedFileInputStream.java,org.apache.commons.io.input.MemoryMappedFileInputStream,class,7,9,2,7,21,6,0,26,0,0.61666673,0.47619048,0.47619048,10,1,6,3,0,1,7,0,0,0,6,2,0,6,0,0,4,0,9,96,11,0,1,0,1,0,8,15,7,11,2,0,1,0,141,17,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project04_CommonsIO/src/main/java/org/apache/commons/io/input/ChecksumInputStream.java,org.apache.commons.io.input.ChecksumInputStream,class,5,7,2,5,9,9,0,7,0,0.3,0.33333334,0.33333334,5,1,2,2,1,0,3,0,0,1,2,0,0,2,0,0,2,0,1,46,3,0,2,0,2,3,1,2,1,2,1,0,1,0,73,17,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project04_CommonsIO/src/main/java/org/apache/commons/io/function/UncheckedIOIterator.java,org.apache.commons.io.function.UncheckedIOIterator,class,3,5,2,3,4,1,0,4,0,0.0,1.0,1.0,4,0,3,0,0,1,4,0,0,0,1,0,0,1,0,0,1,0,4,15,2,0,0,0,0,1,0,1,0,1,0,0,0,0,26,16,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project04_CommonsIO/src/main/java/org/apache/commons/io/filefilter/WildcardFileFilter.java,org.apache.commons.io.filefilter.WildcardFileFilter$Builder,innerclass,4,4,0,4,5,2,0,5,8,0.70000005,0.1,0.1,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,3,21,4,0,0,0,0,0,0,3,0,2,0,0,0,0,49,9,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project04_CommonsIO/src/main/java/org/apache/commons/io/function/UncheckedIOIterable.java,org.apache.commons.io.function.UncheckedIOIterable,class,3,4,1,3,2,1,0,2,0,0.0,1.0,1.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,1,9,1,0,0,0,0,1,0,1,0,1,0,0,0,0,23,16,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project04_CommonsIO/src/main/java/org/apache/commons/io/comparator/AbstractFileComparator.java,org.apache.commons.io.comparator.AbstractFileComparator,class,0,9,9,0,5,1,9,4,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,17,3,0,2,0,0,0,0,0,0,0,1,0,0,0,34,1024,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project04_CommonsIO/src/main/java/org/apache/commons/io/output/UncheckedFilterOutputStream.java,org.apache.commons.io.output.UncheckedFilterOutputStream,class,4,5,1,4,7,6,0,5,21,0.0,0.0,0.0,7,1,6,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,30,1,0,0,0,0,1,0,0,0,0,0,0,1,0,43,17,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project04_CommonsIO/src/main/java/org/apache/commons/io/output/NullPrintStream.java,org.apache.commons.io.output.NullPrintStream,class,1,2,1,1,1,4,0,0,0,0.5,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,2,2,0,0,0,2,0,0,7,0,0,0,0,0,0,0,2,0,2,0,0,0,0,44,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project04_CommonsIO/src/main/java/org/apache/commons/io/ThreadUtils.java,org.apache.commons.io.ThreadUtils,class,1,6,5,1,6,1,0,11,3,0.0,0.0,0.0,3,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,30,1,2,0,1,0,0,2,8,4,6,2,0,0,0,50,17,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project04_CommonsIO/src/main/java/org/apache/commons/io/function/Uncheck.java,org.apache.commons.io.function.Uncheck,class,21,54,33,21,41,1,0,18,231,0.0,0.0,0.0,22,21,19,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,19,162,15,0,0,19,0,0,0,0,0,0,1,0,0,0,81,17,0
