file,class,method,variable,usage
/Users/larrymotuzis/Larry_Motuzis_Data/Project04_CommonsIO/src/main/java/org/apache/commons/io/input/MemoryMappedFileInputStream.java,org.apache.commons.io.input.MemoryMappedFileInputStream,skip/1[long],channel,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project04_CommonsIO/src/main/java/org/apache/commons/io/input/MemoryMappedFileInputStream.java,org.apache.commons.io.input.MemoryMappedFileInputStream,skip/1[long],buffer,6
/Users/larrymotuzis/Larry_Motuzis_Data/Project04_CommonsIO/src/main/java/org/apache/commons/io/input/MemoryMappedFileInputStream.java,org.apache.commons.io.input.MemoryMappedFileInputStream,skip/1[long],nextBufferPosition,2
/Users/larrymotuzis/Larry_Motuzis_Data/Project04_CommonsIO/src/main/java/org/apache/commons/io/input/MemoryMappedFileInputStream.java,org.apache.commons.io.input.MemoryMappedFileInputStream,cleanBuffer/0,buffer,2
/Users/larrymotuzis/Larry_Motuzis_Data/Project04_CommonsIO/src/main/java/org/apache/commons/io/input/MemoryMappedFileInputStream.java,org.apache.commons.io.input.MemoryMappedFileInputStream,available/0,buffer,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project04_CommonsIO/src/main/java/org/apache/commons/io/input/MemoryMappedFileInputStream.java,org.apache.commons.io.input.MemoryMappedFileInputStream,nextBuffer/0,channel,2
/Users/larrymotuzis/Larry_Motuzis_Data/Project04_CommonsIO/src/main/java/org/apache/commons/io/input/MemoryMappedFileInputStream.java,org.apache.commons.io.input.MemoryMappedFileInputStream,nextBuffer/0,EMPTY_BUFFER,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project04_CommonsIO/src/main/java/org/apache/commons/io/input/MemoryMappedFileInputStream.java,org.apache.commons.io.input.MemoryMappedFileInputStream,nextBuffer/0,nextBufferPosition,3
/Users/larrymotuzis/Larry_Motuzis_Data/Project04_CommonsIO/src/main/java/org/apache/commons/io/input/MemoryMappedFileInputStream.java,org.apache.commons.io.input.MemoryMappedFileInputStream,nextBuffer/0,buffer,2
/Users/larrymotuzis/Larry_Motuzis_Data/Project04_CommonsIO/src/main/java/org/apache/commons/io/input/MemoryMappedFileInputStream.java,org.apache.commons.io.input.MemoryMappedFileInputStream,nextBuffer/0,bufferSize,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project04_CommonsIO/src/main/java/org/apache/commons/io/input/MemoryMappedFileInputStream.java,org.apache.commons.io.input.MemoryMappedFileInputStream,read/0,buffer,3
/Users/larrymotuzis/Larry_Motuzis_Data/Project04_CommonsIO/src/main/java/org/apache/commons/io/input/MemoryMappedFileInputStream.java,org.apache.commons.io.input.MemoryMappedFileInputStream,"read/3[byte[],int,int]",buffer,4
/Users/larrymotuzis/Larry_Motuzis_Data/Project04_CommonsIO/src/main/java/org/apache/commons/io/input/MemoryMappedFileInputStream.java,org.apache.commons.io.input.MemoryMappedFileInputStream,MemoryMappedFileInputStream/1[org.apache.commons.io.input.MemoryMappedFileInputStream.Builder],channel,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project04_CommonsIO/src/main/java/org/apache/commons/io/input/MemoryMappedFileInputStream.java,org.apache.commons.io.input.MemoryMappedFileInputStream,MemoryMappedFileInputStream/1[org.apache.commons.io.input.MemoryMappedFileInputStream.Builder],bufferSize,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project04_CommonsIO/src/main/java/org/apache/commons/io/input/MemoryMappedFileInputStream.java,org.apache.commons.io.input.MemoryMappedFileInputStream,close/0,EMPTY_BUFFER,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project04_CommonsIO/src/main/java/org/apache/commons/io/input/MemoryMappedFileInputStream.java,org.apache.commons.io.input.MemoryMappedFileInputStream,close/0,channel,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project04_CommonsIO/src/main/java/org/apache/commons/io/input/MemoryMappedFileInputStream.java,org.apache.commons.io.input.MemoryMappedFileInputStream,close/0,buffer,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project04_CommonsIO/src/main/java/org/apache/commons/io/input/MemoryMappedFileInputStream.java,org.apache.commons.io.input.MemoryMappedFileInputStream,getBufferSize/0,bufferSize,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project04_CommonsIO/src/main/java/org/apache/commons/io/input/ChecksumInputStream.java,org.apache.commons.io.input.ChecksumInputStream,ChecksumInputStream/1[org.apache.commons.io.input.ChecksumInputStream.Builder],expectedChecksumValue,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project04_CommonsIO/src/main/java/org/apache/commons/io/input/ChecksumInputStream.java,org.apache.commons.io.input.ChecksumInputStream,ChecksumInputStream/1[org.apache.commons.io.input.ChecksumInputStream.Builder],countThreshold,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project04_CommonsIO/src/main/java/org/apache/commons/io/input/ChecksumInputStream.java,org.apache.commons.io.input.ChecksumInputStream,getRemaining/0,countThreshold,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project04_CommonsIO/src/main/java/org/apache/commons/io/input/ChecksumInputStream.java,org.apache.commons.io.input.ChecksumInputStream,afterRead/1[int],expectedChecksumValue,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project04_CommonsIO/src/main/java/org/apache/commons/io/input/ChecksumInputStream.java,org.apache.commons.io.input.ChecksumInputStream,afterRead/1[int],countThreshold,2
/Users/larrymotuzis/Larry_Motuzis_Data/Project04_CommonsIO/src/main/java/org/apache/commons/io/function/UncheckedIOIterator.java,org.apache.commons.io.function.UncheckedIOIterator,next/0,delegate,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project04_CommonsIO/src/main/java/org/apache/commons/io/function/UncheckedIOIterator.java,org.apache.commons.io.function.UncheckedIOIterator,hasNext/0,delegate,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project04_CommonsIO/src/main/java/org/apache/commons/io/function/UncheckedIOIterator.java,org.apache.commons.io.function.UncheckedIOIterator,UncheckedIOIterator/1[org.apache.commons.io.function.IOIterator<E>],delegate,4
/Users/larrymotuzis/Larry_Motuzis_Data/Project04_CommonsIO/src/main/java/org/apache/commons/io/function/UncheckedIOIterator.java,org.apache.commons.io.function.UncheckedIOIterator,remove/0,delegate,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project04_CommonsIO/src/main/java/org/apache/commons/io/filefilter/WildcardFileFilter.java,org.apache.commons.io.filefilter.WildcardFileFilter$Builder,setWildcards/1[java.lang.String[]],wildcards,4
/Users/larrymotuzis/Larry_Motuzis_Data/Project04_CommonsIO/src/main/java/org/apache/commons/io/filefilter/WildcardFileFilter.java,org.apache.commons.io.filefilter.WildcardFileFilter$Builder,setIoCase/1[org.apache.commons.io.IOCase],ioCase,4
/Users/larrymotuzis/Larry_Motuzis_Data/Project04_CommonsIO/src/main/java/org/apache/commons/io/filefilter/WildcardFileFilter.java,org.apache.commons.io.filefilter.WildcardFileFilter$Builder,setWildcards/1[java.util.List<java.lang.String>],wildcards,3
/Users/larrymotuzis/Larry_Motuzis_Data/Project04_CommonsIO/src/main/java/org/apache/commons/io/function/UncheckedIOIterable.java,org.apache.commons.io.function.UncheckedIOIterable,UncheckedIOIterable/1[org.apache.commons.io.function.IOIterable<E>],delegate,4
/Users/larrymotuzis/Larry_Motuzis_Data/Project04_CommonsIO/src/main/java/org/apache/commons/io/function/UncheckedIOIterable.java,org.apache.commons.io.function.UncheckedIOIterable,iterator/0,delegate,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project04_CommonsIO/src/main/java/org/apache/commons/io/output/NullPrintStream.java,org.apache.commons.io.output.NullPrintStream,NullPrintStream/0,INSTANCE,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project04_CommonsIO/src/main/java/org/apache/commons/io/function/IOStream.java,org.apache.commons.io.function.IOStream$Anonymous1,next/0,t,3
/Users/larrymotuzis/Larry_Motuzis_Data/Project04_CommonsIO/src/main/java/org/apache/commons/io/file/CountingPathVisitor.java,org.apache.commons.io.file.CountingPathVisitor$AbstractBuilder,setDirectoryPostTransformer/1[java.util.function.UnaryOperator<java.nio.file.Path>],directoryPostTransformer,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project04_CommonsIO/src/main/java/org/apache/commons/io/file/CountingPathVisitor.java,org.apache.commons.io.file.CountingPathVisitor$AbstractBuilder,setPathCounters/1[org.apache.commons.io.file.Counters.PathCounters],pathCounters,5
/Users/larrymotuzis/Larry_Motuzis_Data/Project04_CommonsIO/src/main/java/org/apache/commons/io/file/CountingPathVisitor.java,org.apache.commons.io.file.CountingPathVisitor$AbstractBuilder,getFileFilter/0,fileFilter,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project04_CommonsIO/src/main/java/org/apache/commons/io/file/CountingPathVisitor.java,org.apache.commons.io.file.CountingPathVisitor$AbstractBuilder,getDirectoryPostTransformer/0,directoryPostTransformer,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project04_CommonsIO/src/main/java/org/apache/commons/io/file/CountingPathVisitor.java,org.apache.commons.io.file.CountingPathVisitor$AbstractBuilder,getDirectoryFilter/0,directoryFilter,1
