file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/larrymotuzis/Larry_Motuzis_Data/Project05_CommonsCollections/src/main/java/org/apache/commons/collections4/map/AbstractLinkedMap.java,org.apache.commons.collections4.map.AbstractLinkedMap,class,17,25,8,17,43,8,0,12,181,0.6086956,0.08300395,0.08300395,23,0,7,0,16,0,23,0,0,0,1,0,0,0,0,1,0,0,4,272,20,4,11,0,0,6,7,28,3,10,3,0,6,0,236,1025,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project05_CommonsCollections/src/main/java/org/apache/commons/collections4/map/Flat3Map.java,org.apache.commons.collections4.map.Flat3Map,class,14,24,10,14,179,9,0,46,0,0.6195652,0.6105263,0.6315789,23,0,19,3,1,0,20,0,0,0,12,1,0,12,0,0,1,0,4,869,84,3,73,1,4,12,97,143,3,43,3,0,9,0,315,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project05_CommonsCollections/src/main/java/org/apache/commons/collections4/splitmap/TransformedSplitMap.java,org.apache.commons.collections4.splitmap.TransformedSplitMap,class,10,11,1,10,13,2,0,18,39,0.7878788,0.22222222,0.2777778,11,1,4,2,5,0,9,0,0,0,3,1,0,3,0,0,3,0,2,49,7,1,0,0,0,4,1,5,0,4,1,0,0,0,184,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project05_CommonsCollections/src/main/java/org/apache/commons/collections4/TrieUtils.java,org.apache.commons.collections4.TrieUtils,class,4,4,0,4,2,1,0,1,1,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project05_CommonsCollections/src/main/java/org/apache/commons/collections4/bag/SynchronizedBag.java,org.apache.commons.collections4.bag.SynchronizedBag,class,4,7,3,4,11,3,0,8,45,1.0,0.0,0.0,10,1,7,0,3,0,10,0,0,0,1,1,0,1,0,0,1,0,0,55,9,0,1,0,0,0,1,2,0,2,1,0,1,0,74,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project05_CommonsCollections/src/main/java/org/apache/commons/collections4/functors/NullPredicate.java,org.apache.commons.collections4.functors.NullPredicate,class,4,8,4,4,5,2,0,0,4,0.75,0.0,0.0,4,1,2,2,0,0,2,0,0,0,2,2,1,1,0,0,2,0,0,15,3,0,1,0,0,1,1,2,0,2,0,0,0,0,44,17,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project05_CommonsCollections/src/main/java/org/apache/commons/collections4/map/ListOrderedMap.java,org.apache.commons.collections4.map.ListOrderedMap$ListOrderedIterator,innerclass,6,6,0,6,3,2,0,6,0,0.16666667,1.0,1.0,3,0,2,0,0,1,3,0,0,0,2,0,0,2,0,0,1,0,0,16,1,0,0,0,0,0,0,2,0,2,0,0,0,0,11,8,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project05_CommonsCollections/src/main/java/org/apache/commons/collections4/properties/PropertiesFactory.java,org.apache.commons.collections4.properties.PropertiesFactory$EmptyProperties,innerclass,0,0,0,0,37,4,0,11,666,1.0,0.0,0.0,37,0,36,0,1,0,37,0,0,28,1,1,0,1,0,0,1,0,32,136,18,0,0,0,1,3,3,1,0,1,0,0,0,0,80,26,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project05_CommonsCollections/src/main/java/org/apache/commons/collections4/functors/WhileClosure.java,org.apache.commons.collections4.functors.WhileClosure,class,5,7,2,5,8,1,0,4,0,0.33333334,0.46666667,0.6666667,6,1,6,0,0,0,6,0,0,0,3,0,0,3,0,0,3,0,2,30,4,1,0,0,0,2,0,3,0,3,1,0,0,0,89,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project05_CommonsCollections/src/main/java/org/apache/commons/collections4/iterators/SingletonListIterator.java,org.apache.commons.collections4.iterators.SingletonListIterator,class,2,3,1,2,21,1,0,0,0,0.5,0.6545454,0.8181818,11,0,11,0,0,0,11,0,0,0,4,0,0,4,0,0,0,0,0,56,6,0,0,0,0,1,4,10,0,4,1,0,0,0,90,1,0
