file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/xslf/usermodel/XSLFComments.java,org.apache.poi.xslf.usermodel.XSLFComments,class,6,7,1,6,5,2,0,7,0,0.0,1.0,1.0,5,0,3,0,0,2,5,0,0,0,1,0,0,1,0,0,1,0,0,21,3,0,0,1,0,0,0,3,0,2,1,0,0,0,48,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/xslf/usermodel/XSLFPropertiesDelegate.java,org.apache.poi.xslf.usermodel.XSLFPropertiesDelegate$StyleMatrixDelegate,innerclass,8,8,0,8,34,1,0,4,555,0.9117647,0.0053475937,0.0053475937,34,0,33,0,0,1,34,0,0,0,1,0,0,0,0,1,1,0,0,96,21,0,0,1,0,1,0,3,0,3,1,0,0,0,44,10,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/xwpf/usermodel/XWPFLatentStyles.java,org.apache.poi.xwpf.usermodel.XWPFLatentStyles,class,2,3,1,2,7,1,0,4,0,0.5,0.6,0.6,5,0,2,0,3,0,5,0,0,0,2,0,0,1,1,0,0,0,0,24,3,1,0,0,0,0,0,2,0,2,2,0,0,0,31,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/xddf/usermodel/chart/XDDFAreaChartData.java,org.apache.poi.xddf.usermodel.chart.XDDFAreaChartData$Series,innerclass,9,9,0,9,19,2,0,23,0,0.0,1.0,1.0,12,0,4,0,8,0,12,0,0,0,1,0,0,1,0,0,0,0,0,71,8,0,1,0,0,0,0,2,0,1,2,0,0,0,37,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/xssf/usermodel/XSSFPatternFormatting.java,org.apache.poi.xssf.usermodel.XSSFPatternFormatting,class,8,11,3,8,28,1,0,26,36,0.61538464,0.18181819,0.18181819,13,0,10,2,0,1,11,0,0,0,2,0,0,0,0,2,0,0,4,73,10,0,7,0,1,0,4,11,2,11,1,0,0,0,30,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/openxml4j/opc/ZipPackage.java,org.apache.poi.openxml4j.opc.ZipPackage$EntryTriple,innerclass,10,10,0,10,13,1,0,17,0,0.11111111,1.0,1.0,3,0,1,0,0,2,3,0,0,0,3,0,0,0,0,3,3,0,4,40,1,0,3,2,2,7,5,9,2,8,2,0,0,0,65,2,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/xddf/usermodel/XDDFPath.java,org.apache.poi.xddf.usermodel.XDDFPath,class,3,4,1,3,2,1,0,0,0,0.0,1.0,1.0,2,0,1,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,11,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,class,47,58,11,47,240,1,1,227,2221,0.9116445,0.44747162,0.69852084,178,0,165,7,1,5,171,0,0,0,11,1,0,7,3,1,4,0,10,766,87,6,27,6,3,40,26,67,14,53,3,0,0,0,798,1,3
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/xddf/usermodel/LineCap.java,org.apache.poi.xddf.usermodel.LineCap,enum,2,4,2,2,4,1,0,3,0,0.25,0.0,0.0,2,1,0,0,0,2,3,0,0,0,2,1,0,1,0,1,2,0,1,14,1,1,0,0,0,0,0,2,0,2,1,0,0,0,23,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/xslf/usermodel/XSLFColor.java,org.apache.poi.xslf.usermodel.XSLFColor$XSLFColorStyle,innerclass,4,4,0,4,11,2,0,1,0,0.33333334,0.8363636,1.0,11,0,10,0,0,1,11,0,0,0,3,0,0,3,0,0,3,0,9,40,10,0,0,0,0,9,0,3,0,3,0,0,0,0,27,10,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/xslf/util/PDFFontMapper.java,org.apache.poi.xslf.util.PDFFontMapper,class,4,6,2,4,15,2,0,27,1,0.61111116,0.0,0.0,3,0,1,1,1,0,2,0,0,0,6,4,0,6,0,0,6,0,5,64,3,2,4,1,0,18,0,18,2,17,3,0,0,1,57,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/poifs/crypt/dsig/services/TimeStampService.java,org.apache.poi.poifs.crypt.dsig.services.TimeStampService,interface,3,6,3,3,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/xslf/usermodel/XSLFGradientPaint.java,org.apache.poi.xslf.usermodel.XSLFGradientPaint,class,14,15,1,14,19,1,0,21,0,0.5714286,0.5714286,1.0,7,0,7,0,0,0,7,0,0,0,3,0,0,1,0,2,3,0,1,65,12,1,5,0,1,0,6,14,6,13,2,0,0,1,48,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/xwpf/XWPFReadException.java,org.apache.poi.xwpf.XWPFReadException,class,1,2,1,1,2,2,0,0,1,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,9,0,0,0,0,0,0,1,1,0,1,0,0,0,0,71,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/xssf/model/CommentsTable.java,org.apache.poi.xssf.model.CommentsTable,class,18,22,4,18,44,2,0,58,73,0.8115942,0.3263158,0.49473685,23,0,18,3,1,1,20,0,0,0,6,2,2,4,0,0,2,0,1,159,16,3,12,3,2,10,5,31,6,30,4,0,0,0,173,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/xwpf/usermodel/XWPFSettings.java,org.apache.poi.xwpf.usermodel.XWPFSettings,class,16,18,2,16,63,2,0,72,0,0.26086956,0.5,0.5,23,0,18,2,2,1,21,0,0,0,1,0,0,1,0,0,0,0,8,230,12,0,11,3,1,5,18,48,2,26,2,0,0,0,206,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/xdgf/usermodel/shape/ShapeRenderer.java,org.apache.poi.xdgf.usermodel.shape.ShapeRenderer,class,5,9,4,5,13,2,1,25,0,0.14285715,0.6666667,0.6666667,7,0,4,1,2,0,6,0,0,0,1,0,0,0,1,0,0,0,0,54,2,1,3,0,0,1,0,9,0,6,2,0,0,0,50,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/xwpf/usermodel/TextAlignment.java,org.apache.poi.xwpf.usermodel.TextAlignment,enum,1,3,2,1,6,1,0,5,1,0.5,0.0,0.0,3,1,2,1,0,0,3,0,0,0,2,1,0,2,0,0,2,0,2,26,2,1,1,0,0,1,5,4,1,4,1,0,0,0,66,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/xdgf/util/HierarchyPrinter.java,org.apache.poi.xdgf.util.HierarchyPrinter,class,6,7,1,6,6,1,0,16,6,0.0,0.0,0.0,4,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,37,0,1,1,2,0,4,4,8,1,8,1,1,0,0,46,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/xwpf/usermodel/XWPFFieldRun.java,org.apache.poi.xwpf.usermodel.XWPFFieldRun,class,5,6,1,5,4,2,0,2,0,0.0,1.0,1.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,16,2,0,0,0,0,0,0,1,0,1,0,0,0,0,39,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/xwpf/usermodel/XWPFTableCell.java,org.apache.poi.xwpf.usermodel.XWPFTableCell,class,30,39,9,30,106,1,0,99,490,0.87750006,0.1996997,0.527027,40,1,35,4,1,0,37,0,0,0,10,3,0,6,4,0,6,0,10,388,41,14,18,7,14,7,23,74,5,67,4,0,1,0,256,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/xssf/usermodel/XSSFCreationHelper.java,org.apache.poi.xssf.usermodel.XSSFCreationHelper,class,15,19,4,15,11,1,0,12,0,0.45454544,0.56363636,0.6545454,11,0,9,0,2,0,11,0,0,0,2,0,0,2,0,0,2,0,1,45,9,0,0,0,0,1,0,5,0,7,0,0,0,1,63,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/xssf/extractor/XSSFEventBasedExcelExtractor.java,org.apache.poi.xssf.extractor.XSSFEventBasedExcelExtractor,class,26,29,3,26,41,1,1,31,279,0.89225584,0.102564104,0.41880342,27,0,25,0,1,1,27,0,0,0,11,1,0,2,9,0,3,0,1,237,17,2,3,3,1,3,1,30,1,24,4,0,1,0,158,1,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/xslf/draw/SVGRenderExtension.java,org.apache.poi.xslf.draw.SVGRenderExtension,class,23,25,2,23,42,2,0,90,53,0.8863636,0.33333334,0.33333334,11,2,3,8,0,0,3,0,0,0,4,2,0,4,0,0,3,0,13,208,14,2,12,1,9,39,30,79,30,62,2,0,0,0,177,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/xwpf/usermodel/ISDTContent.java,org.apache.poi.xwpf.usermodel.ISDTContent,interface,1,10,9,1,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/xslf/util/MFProxy.java,org.apache.poi.xslf.util.MFProxy,class,3,12,9,3,13,1,2,1,78,0.9230769,0.0,0.0,13,0,0,0,0,13,13,8,0,0,2,0,0,0,0,2,0,0,1,26,2,0,0,0,0,0,2,2,0,2,0,0,0,0,40,1024,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/xssf/streaming/SXSSFFormulaEvaluator.java,org.apache.poi.xssf.streaming.SXSSFFormulaEvaluator,class,16,18,2,16,21,11,0,14,49,0.8181819,0.027777778,0.027777778,11,2,8,2,1,0,9,0,0,0,2,1,0,2,0,0,2,0,2,74,3,4,1,0,3,4,2,4,1,4,4,0,2,0,129,17,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/xslf/usermodel/XSLFTableCell.java,org.apache.poi.xslf.usermodel.XSLFTableCell$XSLFCellTextParagraph,innerclass,5,5,0,5,2,2,0,0,1,0.0,NaN,NaN,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,18,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/poifs/crypt/dsig/services/TimeStampServiceValidator.java,org.apache.poi.poifs.crypt.dsig.services.TimeStampServiceValidator,interface,1,3,2,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/xssf/streaming/SXSSFCell.java,org.apache.poi.xssf.streaming.SXSSFCell$StringFormulaValue,innerclass,2,2,0,2,4,2,0,0,0,0.25,0.5,0.5,4,0,1,0,0,3,4,0,0,0,1,0,0,0,0,1,0,0,0,16,2,0,0,0,0,0,0,2,0,1,0,0,0,0,12,8,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/poifs/crypt/dsig/facets/Office2010SignatureFacet.java,org.apache.poi.poifs.crypt.dsig.facets.Office2010SignatureFacet,class,8,8,0,8,5,1,0,13,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,3,1,0,2,4,6,0,5,1,0,0,0,39,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/xddf/usermodel/text/XDDFSpacingPercent.java,org.apache.poi.xddf.usermodel.text.XDDFSpacingPercent,class,7,9,2,7,7,2,0,8,0,0.4,0.6,0.6,5,0,4,0,1,0,5,0,0,0,2,0,0,2,0,0,0,0,0,26,2,0,1,0,2,0,3,2,3,2,1,0,0,0,18,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/xslf/usermodel/XSLFFactory.java,org.apache.poi.xslf.usermodel.XSLFFactory,class,4,9,5,4,3,2,0,1,3,0.6666667,0.0,0.0,3,1,1,1,1,0,2,0,0,0,1,1,0,1,0,0,1,0,1,11,2,0,0,0,0,0,0,1,0,1,0,0,0,0,27,17,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/poifs/crypt/dsig/services/SignaturePolicyService.java,org.apache.poi.poifs.crypt.dsig.services.SignaturePolicyService,interface,1,3,2,1,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/xssf/usermodel/BaseXSSFEvaluationWorkbook.java,org.apache.poi.xssf.usermodel.BaseXSSFEvaluationWorkbook$Name,innerclass,7,7,0,7,8,1,0,10,0,0.5714286,0.52380955,0.71428573,7,0,7,0,0,0,7,0,0,0,3,0,0,3,0,0,3,0,0,30,6,0,1,0,0,0,0,5,0,5,0,0,0,0,32,26,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/xssf/usermodel/XSSFShapeGroup.java,org.apache.poi.xssf.usermodel.XSSFShapeGroup,class,24,28,4,24,14,2,0,53,0,0.42307693,0.525641,0.5769231,13,1,10,0,3,0,13,0,0,0,2,1,0,2,0,0,0,0,5,116,10,0,1,0,0,2,9,40,0,29,1,0,0,0,145,17,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/xssf/usermodel/helpers/XSSFPasswordHelper.java,org.apache.poi.xssf.usermodel.helpers.XSSFPasswordHelper,class,5,8,3,5,14,1,0,24,6,0.0,0.0,0.0,4,3,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,21,66,7,0,10,2,0,18,5,20,2,20,3,0,0,0,67,17,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/xddf/usermodel/chart/XDDFDataSourcesFactory.java,org.apache.poi.xddf.usermodel.chart.XDDFDataSourcesFactory$StringArrayDataSource,innerclass,2,2,0,2,3,2,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/xwpf/usermodel/XWPFComment.java,org.apache.poi.xwpf.usermodel.XWPFComment,class,20,24,4,20,70,1,0,58,135,0.76344085,0.3494253,0.8689655,31,0,29,1,1,0,30,0,0,0,6,0,0,3,3,0,0,0,3,264,33,9,6,9,10,5,10,50,2,45,4,0,0,0,138,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/xddf/usermodel/chart/XDDFLine3DChartData.java,org.apache.poi.xddf.usermodel.chart.XDDFLine3DChartData$Series,innerclass,13,13,0,13,40,2,0,42,0,0.1,0.79532164,0.79532164,20,0,11,1,8,0,19,0,0,0,1,0,0,1,0,0,0,0,0,149,15,0,3,0,0,1,2,4,0,3,2,0,0,0,67,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/xddf/usermodel/chart/XDDFDateAxis.java,org.apache.poi.xddf.usermodel.chart.XDDFDateAxis,class,20,22,2,20,40,2,0,65,0,0.04,0.9166667,0.9166667,25,0,15,1,9,0,24,0,0,0,1,0,0,1,0,0,0,0,2,174,22,0,1,0,0,1,0,13,0,8,2,0,0,0,80,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/xwpf/model/XWPFCommentsDecorator.java,org.apache.poi.xwpf.model.XWPFCommentsDecorator,class,4,5,1,4,7,2,0,11,0,0.25,0.5,0.5,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,23,2,1,2,0,1,2,1,3,1,3,2,0,0,0,33,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/xwpf/usermodel/XWPFAbstractNum.java,org.apache.poi.xwpf.usermodel.XWPFAbstractNum,class,2,4,2,2,8,1,0,0,0,0.375,0.71428573,1.0,8,0,7,0,1,0,8,0,0,0,2,0,0,1,1,0,0,0,0,30,3,0,0,0,0,0,0,7,0,2,0,0,0,0,16,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/xddf/usermodel/chart/XDDFErrorBars.java,org.apache.poi.xddf.usermodel.chart.XDDFErrorBars,class,14,20,6,14,52,1,0,49,0,0.09090909,0.9047619,0.9047619,22,0,19,1,2,0,21,0,0,0,1,0,0,1,0,0,0,0,2,194,19,0,9,0,0,0,0,4,0,4,2,0,0,0,52,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/xddf/usermodel/XDDFGradientFillProperties.java,org.apache.poi.xddf.usermodel.XDDFGradientFillProperties,class,9,12,3,9,40,1,0,39,0,0.05263158,0.8947368,0.8947368,19,0,18,0,1,0,19,0,0,0,1,0,0,1,0,0,0,0,4,143,19,0,5,0,0,0,1,1,0,1,2,0,0,0,39,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/xslf/draw/geom/XSLFAdjustValue.java,org.apache.poi.xslf.draw.geom.XSLFAdjustValue,class,4,5,1,4,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/xssf/usermodel/XSSFConditionalFormattingThreshold.java,org.apache.poi.xssf.usermodel.XSSFConditionalFormattingThreshold,class,4,7,3,4,16,1,0,13,0,0.0,1.0,1.0,10,0,8,0,2,0,10,0,0,0,1,0,0,1,0,0,1,0,1,50,8,0,5,0,0,0,0,2,0,2,1,0,0,0,43,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/xssf/streaming/OpcZipArchiveOutputStream.java,org.apache.poi.xssf.streaming.OpcZipArchiveOutputStream,class,4,5,1,4,10,2,0,10,0,0.0,1.0,1.0,10,0,9,0,0,1,10,0,0,0,1,0,0,1,0,0,1,0,0,34,0,0,0,0,0,0,0,1,0,1,0,0,0,0,21,0,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/xdgf/geom/SplineCollector.java,org.apache.poi.xdgf.geom.SplineCollector,class,7,8,1,7,5,1,0,20,0,0.33333334,0.6666667,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,0,0,2,0,0,1,29,0,1,0,0,0,0,1,9,1,9,1,0,0,0,28,1,0
