file,class,method,variable,usage
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/xslf/usermodel/XSLFComments.java,org.apache.poi.xslf.usermodel.XSLFComments,XSLFComments/1[org.apache.poi.xslf.usermodel.PackagePart],stream,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/xslf/usermodel/XSLFComments.java,org.apache.poi.xslf.usermodel.XSLFComments,XSLFComments/1[org.apache.poi.xslf.usermodel.PackagePart],part,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/xslf/usermodel/XSLFComments.java,org.apache.poi.xslf.usermodel.XSLFComments,getCommentAt/1[int],pos,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/xslf/usermodel/XSLFPropertiesDelegate.java,org.apache.poi.xslf.usermodel.XSLFPropertiesDelegate$StyleMatrixDelegate,StyleMatrixDelegate/1[org.apache.poi.xslf.usermodel.CTStyleMatrixReference],props,2
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/xslf/usermodel/XSLFPropertiesDelegate.java,org.apache.poi.xslf.usermodel.XSLFPropertiesDelegate$StyleMatrixDelegate,isLineStyle/0,cur,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/xslf/usermodel/XSLFPropertiesDelegate.java,org.apache.poi.xslf.usermodel.XSLFPropertiesDelegate$StyleMatrixDelegate,isLineStyle/0,name,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/xslf/usermodel/XSLFPropertiesDelegate.java,org.apache.poi.xslf.usermodel.XSLFPropertiesDelegate$StyleMatrixDelegate,setBlipFill/1[org.apache.poi.xslf.usermodel.CTBlipFillProperties],blipFill,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/xslf/usermodel/XSLFPropertiesDelegate.java,org.apache.poi.xslf.usermodel.XSLFPropertiesDelegate$StyleMatrixDelegate,setPattFill/1[org.apache.poi.xslf.usermodel.CTPatternFillProperties],pattFill,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/xslf/usermodel/XSLFPropertiesDelegate.java,org.apache.poi.xslf.usermodel.XSLFPropertiesDelegate$StyleMatrixDelegate,setSolidFill/1[org.apache.poi.xslf.usermodel.CTSolidColorFillProperties],solidFill,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi-ooxml/src/main/java/org/apache/poi/xslf/usermodel/XSLFPropertiesDelegate.java,org.apache.poi.xslf.usermodel.XSLFPropertiesDelegate$StyleMatrixDelegate,setGradFill/1[org.apache.poi.xslf.usermodel.CTGradientFillProperties],gradFill,0
