file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi/src/main/java/org/apache/poi/hssf/usermodel/HSSFBorderFormatting.java,org.apache.poi.hssf.usermodel.HSSFBorderFormatting,class,9,11,2,9,65,1,0,48,198,0.65277773,0.41223404,0.41223404,48,0,46,0,2,0,48,0,0,0,3,0,0,3,0,0,3,0,0,250,24,0,15,0,0,0,15,13,0,13,1,0,0,0,49,17,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi/src/main/java/org/apache/poi/hssf/record/PasswordRev4Record.java,org.apache.poi.hssf.record.PasswordRev4Record,class,5,8,3,5,10,4,0,3,15,0.65,0.33333334,0.33333334,10,0,9,0,1,0,10,0,0,0,2,1,1,1,0,0,1,0,0,35,5,0,0,0,0,1,2,5,0,2,0,0,0,1,43,17,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi/src/main/java/org/apache/poi/ss/formula/ptg/ArrayPtg.java,org.apache.poi.ss.formula.ptg.ArrayPtg,class,7,13,6,7,38,2,0,17,30,0.7254902,0.44166666,0.65,17,1,14,1,0,2,16,0,0,0,9,3,2,7,0,0,9,0,6,138,16,6,4,0,4,25,24,37,15,23,3,0,0,4,167,17,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi/src/main/java/org/apache/poi/common/usermodel/GenericRecord.java,org.apache.poi.common.usermodel.GenericRecord,interface,0,7,7,0,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi/src/main/java/org/apache/poi/ss/util/CellReference.java,org.apache.poi.ss.util.CellReference$CellRefParts,innerclass,0,0,0,0,3,1,0,0,0,0.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,10,0,0,2,0,2,2,0,3,0,3,0,0,0,0,8,26,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi/src/main/java/org/apache/poi/ddf/EscherSerializationListener.java,org.apache.poi.ddf.EscherSerializationListener,interface,1,19,18,1,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,1,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi/src/main/java/org/apache/poi/ss/formula/eval/BlankEval.java,org.apache.poi.ss.formula.eval.BlankEval,class,2,15,13,2,1,1,0,0,0,1.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,12,17,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi/src/main/java/org/apache/poi/ss/formula/functions/FinanceFunction.java,org.apache.poi.ss.formula.functions.FinanceFunction,class,10,11,1,10,19,1,0,6,17,0.8095238,0.0952381,0.14285715,7,0,4,0,3,0,7,1,0,0,6,6,4,2,0,0,6,0,6,96,9,0,5,1,0,2,27,22,0,17,2,4,0,0,44,1025,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi/src/main/java/org/apache/poi/ss/formula/functions/Countif.java,org.apache.poi.ss.formula.functions.Countif$BooleanMatcher,innerclass,8,8,0,8,12,2,0,4,0,0.25,1.0,1.0,4,1,2,1,1,0,3,0,0,0,1,0,0,1,0,0,1,0,2,43,9,0,1,0,3,2,3,3,1,3,2,0,0,0,27,26,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi/src/main/java/org/apache/poi/ss/usermodel/PaneType.java,org.apache.poi.ss.usermodel.PaneType,enum,0,1,1,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0
