file,class,method,variable,usage
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi/src/main/java/org/apache/poi/hssf/usermodel/HSSFBorderFormatting.java,org.apache.poi.hssf.usermodel.HSSFBorderFormatting,getBorderTop/0,borderFormatting,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi/src/main/java/org/apache/poi/hssf/usermodel/HSSFBorderFormatting.java,org.apache.poi.hssf.usermodel.HSSFBorderFormatting,isForwardDiagonalOn/0,borderFormatting,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi/src/main/java/org/apache/poi/hssf/usermodel/HSSFBorderFormatting.java,org.apache.poi.hssf.usermodel.HSSFBorderFormatting,getDiagonalBorderColorColor/0,workbook,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi/src/main/java/org/apache/poi/hssf/usermodel/HSSFBorderFormatting.java,org.apache.poi.hssf.usermodel.HSSFBorderFormatting,getDiagonalBorderColorColor/0,borderFormatting,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi/src/main/java/org/apache/poi/hssf/usermodel/HSSFBorderFormatting.java,org.apache.poi.hssf.usermodel.HSSFBorderFormatting,getLeftBorderColorColor/0,workbook,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi/src/main/java/org/apache/poi/hssf/usermodel/HSSFBorderFormatting.java,org.apache.poi.hssf.usermodel.HSSFBorderFormatting,getLeftBorderColorColor/0,borderFormatting,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi/src/main/java/org/apache/poi/hssf/usermodel/HSSFBorderFormatting.java,org.apache.poi.hssf.usermodel.HSSFBorderFormatting,getBorderDiagonal/0,borderFormatting,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi/src/main/java/org/apache/poi/hssf/usermodel/HSSFBorderFormatting.java,org.apache.poi.hssf.usermodel.HSSFBorderFormatting,getBottomBorderColor/0,borderFormatting,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi/src/main/java/org/apache/poi/hssf/usermodel/HSSFBorderFormatting.java,org.apache.poi.hssf.usermodel.HSSFBorderFormatting,getBorderRight/0,borderFormatting,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi/src/main/java/org/apache/poi/hssf/usermodel/HSSFBorderFormatting.java,org.apache.poi.hssf.usermodel.HSSFBorderFormatting,setBorderLeft/1[org.apache.poi.hssf.usermodel.BorderStyle],borderFormatting,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi/src/main/java/org/apache/poi/hssf/usermodel/HSSFBorderFormatting.java,org.apache.poi.hssf.usermodel.HSSFBorderFormatting,setBorderLeft/1[org.apache.poi.hssf.usermodel.BorderStyle],cfRuleRecord,2
