file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi/src/main/java/org/apache/poi/hssf/usermodel/HSSFBorderFormatting.java,org.apache.poi.hssf.usermodel.HSSFBorderFormatting,setBorderHorizontal/1[org.apache.poi.hssf.usermodel.BorderStyle],false,370,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi/src/main/java/org/apache/poi/hssf/usermodel/HSSFBorderFormatting.java,org.apache.poi.hssf.usermodel.HSSFBorderFormatting,getBorderTop/0,false,67,1,0,0,0,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi/src/main/java/org/apache/poi/hssf/usermodel/HSSFBorderFormatting.java,org.apache.poi.hssf.usermodel.HSSFBorderFormatting,isForwardDiagonalOn/0,false,135,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi/src/main/java/org/apache/poi/hssf/usermodel/HSSFBorderFormatting.java,org.apache.poi.hssf.usermodel.HSSFBorderFormatting,getBorderHorizontal/0,false,325,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,true
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi/src/main/java/org/apache/poi/hssf/usermodel/HSSFBorderFormatting.java,org.apache.poi.hssf.usermodel.HSSFBorderFormatting,getDiagonalBorderColorColor/0,false,89,3,2,0,2,1,3,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi/src/main/java/org/apache/poi/hssf/usermodel/HSSFBorderFormatting.java,org.apache.poi.hssf.usermodel.HSSFBorderFormatting,getLeftBorderColorColor/0,false,101,3,2,0,2,1,3,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi/src/main/java/org/apache/poi/hssf/usermodel/HSSFBorderFormatting.java,org.apache.poi.hssf.usermodel.HSSFBorderFormatting,getBorderDiagonal/0,false,52,1,0,0,0,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi/src/main/java/org/apache/poi/hssf/usermodel/HSSFBorderFormatting.java,org.apache.poi.hssf.usermodel.HSSFBorderFormatting,getBottomBorderColor/0,false,72,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi/src/main/java/org/apache/poi/hssf/usermodel/HSSFBorderFormatting.java,org.apache.poi.hssf.usermodel.HSSFBorderFormatting,setDiagonalBorderColor/1[org.apache.poi.hssf.usermodel.Color],false,242,3,3,1,2,2,4,9,0,1,1,4,2,1,0,1,0,0,0,1,1,0,1,0,0,0,10,1,0,false
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi/src/main/java/org/apache/poi/hssf/usermodel/HSSFBorderFormatting.java,org.apache.poi.hssf.usermodel.HSSFBorderFormatting,getVerticalBorderColor/0,false,334,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,true
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi/src/main/java/org/apache/poi/hssf/usermodel/HSSFBorderFormatting.java,org.apache.poi.hssf.usermodel.HSSFBorderFormatting,setHorizontalBorderColor/1[short],false,388,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi/src/main/java/org/apache/poi/hssf/usermodel/HSSFBorderFormatting.java,org.apache.poi.hssf.usermodel.HSSFBorderFormatting,getBorderRight/0,false,62,1,0,0,0,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi/src/main/java/org/apache/poi/hssf/usermodel/HSSFBorderFormatting.java,org.apache.poi.hssf.usermodel.HSSFBorderFormatting,getBorderVertical/0,false,316,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,true
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi/src/main/java/org/apache/poi/hssf/usermodel/HSSFBorderFormatting.java,org.apache.poi.hssf.usermodel.HSSFBorderFormatting,setBorderLeft/1[org.apache.poi.hssf.usermodel.BorderStyle],false,178,1,0,0,0,2,3,10,0,1,1,3,0,0,0,1,0,0,0,1,1,0,1,0,0,0,8,1,0,false
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi/src/main/java/org/apache/poi/hssf/usermodel/HSSFBorderFormatting.java,org.apache.poi.hssf.usermodel.HSSFBorderFormatting,setBottomBorderColor/1[org.apache.poi.hssf.usermodel.Color],false,220,3,3,1,2,2,4,9,0,1,1,4,2,1,0,1,0,0,0,1,1,0,1,0,0,0,10,1,0,false
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi/src/main/java/org/apache/poi/hssf/usermodel/HSSFBorderFormatting.java,org.apache.poi.hssf.usermodel.HSSFBorderFormatting,getDiagonalBorderColor/0,false,84,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi/src/main/java/org/apache/poi/hssf/usermodel/HSSFBorderFormatting.java,org.apache.poi.hssf.usermodel.HSSFBorderFormatting,getRightBorderColor/0,false,108,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi/src/main/java/org/apache/poi/hssf/usermodel/HSSFBorderFormatting.java,org.apache.poi.hssf.usermodel.HSSFBorderFormatting,setTopBorderColor/1[short],false,292,0,1,1,0,2,2,9,0,0,1,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,7,1,0,false
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi/src/main/java/org/apache/poi/hssf/usermodel/HSSFBorderFormatting.java,org.apache.poi.hssf.usermodel.HSSFBorderFormatting,getHorizontalBorderColor/0,false,352,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,true
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi/src/main/java/org/apache/poi/hssf/usermodel/HSSFBorderFormatting.java,org.apache.poi.hssf.usermodel.HSSFBorderFormatting,"HSSFBorderFormatting/2[org.apache.poi.hssf.usermodel.CFRuleBase,org.apache.poi.hssf.usermodel.HSSFWorkbook]",true,36,2,1,1,0,1,1,5,0,0,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,4,0,false
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi/src/main/java/org/apache/poi/hssf/usermodel/HSSFBorderFormatting.java,org.apache.poi.hssf.usermodel.HSSFBorderFormatting,isBackwardDiagonalOn/0,false,131,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi/src/main/java/org/apache/poi/hssf/usermodel/HSSFBorderFormatting.java,org.apache.poi.hssf.usermodel.HSSFBorderFormatting,setDiagonalBorderColor/1[short],false,230,0,1,1,0,2,3,11,0,0,1,3,0,0,0,1,0,0,0,1,0,0,1,0,0,0,7,1,0,false
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi/src/main/java/org/apache/poi/hssf/usermodel/HSSFBorderFormatting.java,org.apache.poi.hssf.usermodel.HSSFBorderFormatting,setBottomBorderColor/1[short],false,211,0,1,1,0,2,2,9,0,0,1,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,7,1,0,false
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi/src/main/java/org/apache/poi/hssf/usermodel/HSSFBorderFormatting.java,org.apache.poi.hssf.usermodel.HSSFBorderFormatting,setLeftBorderColor/1[short],false,252,0,1,1,0,2,2,9,0,0,1,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,7,1,0,false
