file,class,method,variable,usage
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi/src/main/java/org/apache/poi/hssf/usermodel/HSSFBorderFormatting.java,org.apache.poi.hssf.usermodel.HSSFBorderFormatting,setBorderHorizontal/1[org.apache.poi.hssf.usermodel.BorderStyle],border,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi/src/main/java/org/apache/poi/hssf/usermodel/HSSFBorderFormatting.java,org.apache.poi.hssf.usermodel.HSSFBorderFormatting,setDiagonalBorderColor/1[org.apache.poi.hssf.usermodel.Color],color,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi/src/main/java/org/apache/poi/hssf/usermodel/HSSFBorderFormatting.java,org.apache.poi.hssf.usermodel.HSSFBorderFormatting,setDiagonalBorderColor/1[org.apache.poi.hssf.usermodel.Color],hcolor,2
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi/src/main/java/org/apache/poi/hssf/usermodel/HSSFBorderFormatting.java,org.apache.poi.hssf.usermodel.HSSFBorderFormatting,setHorizontalBorderColor/1[short],color,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi/src/main/java/org/apache/poi/hssf/usermodel/HSSFBorderFormatting.java,org.apache.poi.hssf.usermodel.HSSFBorderFormatting,setBorderLeft/1[org.apache.poi.hssf.usermodel.BorderStyle],border,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi/src/main/java/org/apache/poi/hssf/usermodel/HSSFBorderFormatting.java,org.apache.poi.hssf.usermodel.HSSFBorderFormatting,setBorderLeft/1[org.apache.poi.hssf.usermodel.BorderStyle],code,2
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi/src/main/java/org/apache/poi/hssf/usermodel/HSSFBorderFormatting.java,org.apache.poi.hssf.usermodel.HSSFBorderFormatting,setBottomBorderColor/1[org.apache.poi.hssf.usermodel.Color],color,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi/src/main/java/org/apache/poi/hssf/usermodel/HSSFBorderFormatting.java,org.apache.poi.hssf.usermodel.HSSFBorderFormatting,setBottomBorderColor/1[org.apache.poi.hssf.usermodel.Color],hcolor,2
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi/src/main/java/org/apache/poi/hssf/usermodel/HSSFBorderFormatting.java,org.apache.poi.hssf.usermodel.HSSFBorderFormatting,setTopBorderColor/1[short],color,2
/Users/larrymotuzis/Larry_Motuzis_Data/Project06_POI/poi/src/main/java/org/apache/poi/hssf/usermodel/HSSFBorderFormatting.java,org.apache.poi.hssf.usermodel.HSSFBorderFormatting,"HSSFBorderFormatting/2[org.apache.poi.hssf.usermodel.CFRuleBase,org.apache.poi.hssf.usermodel.HSSFWorkbook]",workbook,2
