file,class,method,variable,usage
/Users/larrymotuzis/Larry_Motuzis_Data/Project08_Tika/tika-core/src/main/java/org/apache/tika/detect/DefaultProbDetector.java,org.apache.tika.detect.DefaultProbDetector,DefaultProbDetector/1[org.apache.tika.mime.MimeTypes],types,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project08_Tika/tika-core/src/main/java/org/apache/tika/detect/DefaultProbDetector.java,org.apache.tika.detect.DefaultProbDetector,"getDefaultDetectors/2[org.apache.tika.mime.ProbabilisticMimeDetectionSelector,org.apache.tika.config.ServiceLoader]",loader,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project08_Tika/tika-core/src/main/java/org/apache/tika/detect/DefaultProbDetector.java,org.apache.tika.detect.DefaultProbDetector,"getDefaultDetectors/2[org.apache.tika.mime.ProbabilisticMimeDetectionSelector,org.apache.tika.config.ServiceLoader]",detectors,3
/Users/larrymotuzis/Larry_Motuzis_Data/Project08_Tika/tika-core/src/main/java/org/apache/tika/detect/DefaultProbDetector.java,org.apache.tika.detect.DefaultProbDetector,"getDefaultDetectors/2[org.apache.tika.mime.ProbabilisticMimeDetectionSelector,org.apache.tika.config.ServiceLoader]",sel,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project08_Tika/tika-core/src/main/java/org/apache/tika/detect/DefaultProbDetector.java,org.apache.tika.detect.DefaultProbDetector,"DefaultProbDetector/2[org.apache.tika.mime.ProbabilisticMimeDetectionSelector,java.lang.ClassLoader]",loader,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project08_Tika/tika-core/src/main/java/org/apache/tika/detect/DefaultProbDetector.java,org.apache.tika.detect.DefaultProbDetector,"DefaultProbDetector/2[org.apache.tika.mime.ProbabilisticMimeDetectionSelector,java.lang.ClassLoader]",sel,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project08_Tika/tika-core/src/main/java/org/apache/tika/detect/DefaultProbDetector.java,org.apache.tika.detect.DefaultProbDetector,DefaultProbDetector/1[java.lang.ClassLoader],loader,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project08_Tika/tika-core/src/main/java/org/apache/tika/detect/DefaultProbDetector.java,org.apache.tika.detect.DefaultProbDetector,getDetectors/0,detectors,2
/Users/larrymotuzis/Larry_Motuzis_Data/Project08_Tika/tika-core/src/main/java/org/apache/tika/detect/DefaultProbDetector.java,org.apache.tika.detect.DefaultProbDetector,"DefaultProbDetector/2[org.apache.tika.mime.ProbabilisticMimeDetectionSelector,org.apache.tika.config.ServiceLoader]",loader,3
/Users/larrymotuzis/Larry_Motuzis_Data/Project08_Tika/tika-core/src/main/java/org/apache/tika/detect/DefaultProbDetector.java,org.apache.tika.detect.DefaultProbDetector,"DefaultProbDetector/2[org.apache.tika.mime.ProbabilisticMimeDetectionSelector,org.apache.tika.config.ServiceLoader]",sel,2
/Users/larrymotuzis/Larry_Motuzis_Data/Project08_Tika/tika-core/src/main/java/org/apache/tika/sax/ContentHandlerDecoratorFactory.java,org.apache.tika.sax.ContentHandlerDecoratorFactory,"decorate/3[org.xml.sax.ContentHandler,org.apache.tika.metadata.Metadata,org.apache.tika.parser.ParseContext]",metadata,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project08_Tika/tika-core/src/main/java/org/apache/tika/sax/ContentHandlerDecoratorFactory.java,org.apache.tika.sax.ContentHandlerDecoratorFactory,"decorate/3[org.xml.sax.ContentHandler,org.apache.tika.metadata.Metadata,org.apache.tika.parser.ParseContext]",parseContext,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project08_Tika/tika-core/src/main/java/org/apache/tika/sax/ContentHandlerDecoratorFactory.java,org.apache.tika.sax.ContentHandlerDecoratorFactory,"decorate/3[org.xml.sax.ContentHandler,org.apache.tika.metadata.Metadata,org.apache.tika.parser.ParseContext]",contentHandler,0
/Users/larrymotuzis/Larry_Motuzis_Data/Project08_Tika/tika-core/src/main/java/org/apache/tika/parser/digest/InputStreamDigester.java,org.apache.tika.parser.digest.InputStreamDigester,"digestStream/2[java.io.InputStream,org.apache.tika.metadata.Metadata]",metadata,2
/Users/larrymotuzis/Larry_Motuzis_Data/Project08_Tika/tika-core/src/main/java/org/apache/tika/parser/digest/InputStreamDigester.java,org.apache.tika.parser.digest.InputStreamDigester,"digestStream/2[java.io.InputStream,org.apache.tika.metadata.Metadata]",messageDigest,2
/Users/larrymotuzis/Larry_Motuzis_Data/Project08_Tika/tika-core/src/main/java/org/apache/tika/parser/digest/InputStreamDigester.java,org.apache.tika.parser.digest.InputStreamDigester,"digestStream/2[java.io.InputStream,org.apache.tika.metadata.Metadata]",digestBytes,2
/Users/larrymotuzis/Larry_Motuzis_Data/Project08_Tika/tika-core/src/main/java/org/apache/tika/parser/digest/InputStreamDigester.java,org.apache.tika.parser.digest.InputStreamDigester,"digestStream/2[java.io.InputStream,org.apache.tika.metadata.Metadata]",is,3
/Users/larrymotuzis/Larry_Motuzis_Data/Project08_Tika/tika-core/src/main/java/org/apache/tika/parser/digest/InputStreamDigester.java,org.apache.tika.parser.digest.InputStreamDigester,newMessageDigest/0,provider,2
/Users/larrymotuzis/Larry_Motuzis_Data/Project08_Tika/tika-core/src/main/java/org/apache/tika/parser/digest/InputStreamDigester.java,org.apache.tika.parser.digest.InputStreamDigester,newMessageDigest/0,e,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project08_Tika/tika-core/src/main/java/org/apache/tika/parser/digest/InputStreamDigester.java,org.apache.tika.parser.digest.InputStreamDigester,"digest/3[java.io.InputStream,org.apache.tika.metadata.Metadata,org.apache.tika.parser.ParseContext]",metadata,5
