file,class,method,variable,usage
/Users/larrymotuzis/Larry_Motuzis_Data/Project10_JGraphT/jgrapht-core/src/main/java/org/jgrapht/alg/color/SaturationDegreeColoring.java,org.jgrapht.alg.color.SaturationDegreeColoring$Heap,fixup/1[int],comparator,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project10_JGraphT/jgrapht-core/src/main/java/org/jgrapht/alg/color/SaturationDegreeColoring.java,org.jgrapht.alg.color.SaturationDegreeColoring$Heap,fixup/1[int],array,6
/Users/larrymotuzis/Larry_Motuzis_Data/Project10_JGraphT/jgrapht-core/src/main/java/org/jgrapht/alg/color/SaturationDegreeColoring.java,org.jgrapht.alg.color.SaturationDegreeColoring$Heap,"Heap/2[int,java.util.Comparator<V>]",comparator,3
/Users/larrymotuzis/Larry_Motuzis_Data/Project10_JGraphT/jgrapht-core/src/main/java/org/jgrapht/alg/color/SaturationDegreeColoring.java,org.jgrapht.alg.color.SaturationDegreeColoring$Heap,"Heap/2[int,java.util.Comparator<V>]",size,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project10_JGraphT/jgrapht-core/src/main/java/org/jgrapht/alg/color/SaturationDegreeColoring.java,org.jgrapht.alg.color.SaturationDegreeColoring$Heap,"Heap/2[int,java.util.Comparator<V>]",array,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project10_JGraphT/jgrapht-core/src/main/java/org/jgrapht/alg/color/SaturationDegreeColoring.java,org.jgrapht.alg.color.SaturationDegreeColoring$Heap,"insert/1[org.jgrapht.alg.color.SaturationDegreeColoring<V,E>.HeapHandle]",size,4
/Users/larrymotuzis/Larry_Motuzis_Data/Project10_JGraphT/jgrapht-core/src/main/java/org/jgrapht/alg/color/SaturationDegreeColoring.java,org.jgrapht.alg.color.SaturationDegreeColoring$Heap,"insert/1[org.jgrapht.alg.color.SaturationDegreeColoring<V,E>.HeapHandle]",array,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project10_JGraphT/jgrapht-core/src/main/java/org/jgrapht/alg/color/SaturationDegreeColoring.java,org.jgrapht.alg.color.SaturationDegreeColoring$Heap,forceFixup/1[int],array,5
/Users/larrymotuzis/Larry_Motuzis_Data/Project10_JGraphT/jgrapht-core/src/main/java/org/jgrapht/alg/color/SaturationDegreeColoring.java,org.jgrapht.alg.color.SaturationDegreeColoring$Heap,deleteMin/0,size,5
/Users/larrymotuzis/Larry_Motuzis_Data/Project10_JGraphT/jgrapht-core/src/main/java/org/jgrapht/alg/color/SaturationDegreeColoring.java,org.jgrapht.alg.color.SaturationDegreeColoring$Heap,deleteMin/0,array,5
/Users/larrymotuzis/Larry_Motuzis_Data/Project10_JGraphT/jgrapht-core/src/main/java/org/jgrapht/alg/color/SaturationDegreeColoring.java,org.jgrapht.alg.color.SaturationDegreeColoring$Heap,fixdown/1[int],comparator,2
/Users/larrymotuzis/Larry_Motuzis_Data/Project10_JGraphT/jgrapht-core/src/main/java/org/jgrapht/alg/color/SaturationDegreeColoring.java,org.jgrapht.alg.color.SaturationDegreeColoring$Heap,fixdown/1[int],size,2
/Users/larrymotuzis/Larry_Motuzis_Data/Project10_JGraphT/jgrapht-core/src/main/java/org/jgrapht/alg/color/SaturationDegreeColoring.java,org.jgrapht.alg.color.SaturationDegreeColoring$Heap,fixdown/1[int],array,8
/Users/larrymotuzis/Larry_Motuzis_Data/Project10_JGraphT/jgrapht-core/src/main/java/org/jgrapht/alg/color/SaturationDegreeColoring.java,org.jgrapht.alg.color.SaturationDegreeColoring$Heap,size/0,size,2
