file,class,method,variable,usage
/Users/larrymotuzis/Larry_Motuzis_Data/Project10_JGraphT/jgrapht-core/src/main/java/org/jgrapht/alg/color/SaturationDegreeColoring.java,org.jgrapht.alg.color.SaturationDegreeColoring$Heap,"fixup/1[org.jgrapht.alg.color.SaturationDegreeColoring<V,E>.HeapHandle]",handle,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project10_JGraphT/jgrapht-core/src/main/java/org/jgrapht/alg/color/SaturationDegreeColoring.java,org.jgrapht.alg.color.SaturationDegreeColoring$Heap,fixup/1[int],h,3
/Users/larrymotuzis/Larry_Motuzis_Data/Project10_JGraphT/jgrapht-core/src/main/java/org/jgrapht/alg/color/SaturationDegreeColoring.java,org.jgrapht.alg.color.SaturationDegreeColoring$Heap,fixup/1[int],k,10
/Users/larrymotuzis/Larry_Motuzis_Data/Project10_JGraphT/jgrapht-core/src/main/java/org/jgrapht/alg/color/SaturationDegreeColoring.java,org.jgrapht.alg.color.SaturationDegreeColoring$Heap,"Heap/2[int,java.util.Comparator<V>]",comparator,2
/Users/larrymotuzis/Larry_Motuzis_Data/Project10_JGraphT/jgrapht-core/src/main/java/org/jgrapht/alg/color/SaturationDegreeColoring.java,org.jgrapht.alg.color.SaturationDegreeColoring$Heap,"Heap/2[int,java.util.Comparator<V>]",capacity,1
/Users/larrymotuzis/Larry_Motuzis_Data/Project10_JGraphT/jgrapht-core/src/main/java/org/jgrapht/alg/color/SaturationDegreeColoring.java,org.jgrapht.alg.color.SaturationDegreeColoring$Heap,"insert/1[org.jgrapht.alg.color.SaturationDegreeColoring<V,E>.HeapHandle]",handle,2
/Users/larrymotuzis/Larry_Motuzis_Data/Project10_JGraphT/jgrapht-core/src/main/java/org/jgrapht/alg/color/SaturationDegreeColoring.java,org.jgrapht.alg.color.SaturationDegreeColoring$Heap,forceFixup/1[int],h,2
/Users/larrymotuzis/Larry_Motuzis_Data/Project10_JGraphT/jgrapht-core/src/main/java/org/jgrapht/alg/color/SaturationDegreeColoring.java,org.jgrapht.alg.color.SaturationDegreeColoring$Heap,forceFixup/1[int],k,9
/Users/larrymotuzis/Larry_Motuzis_Data/Project10_JGraphT/jgrapht-core/src/main/java/org/jgrapht/alg/color/SaturationDegreeColoring.java,org.jgrapht.alg.color.SaturationDegreeColoring$Heap,deleteMin/0,result,2
/Users/larrymotuzis/Larry_Motuzis_Data/Project10_JGraphT/jgrapht-core/src/main/java/org/jgrapht/alg/color/SaturationDegreeColoring.java,org.jgrapht.alg.color.SaturationDegreeColoring$Heap,fixdown/1[int],h,3
