file,class,method,variable,usage
/Users/dheerajdavuluri/repos/dubbo/dubbo-plugin/dubbo-reactive/src/main/java/org/apache/dubbo/reactive/handler/OneToOneMethodHandler.java,org.apache.dubbo.reactive.handler.OneToOneMethodHandler,"OneToOneMethodHandler/1[java.util.function.Function<org.apache.dubbo.reactive.handler.Mono<T>,org.apache.dubbo.reactive.handler.Mono<R>>]",func,3
/Users/dheerajdavuluri/repos/dubbo/dubbo-plugin/dubbo-reactive/src/main/java/org/apache/dubbo/reactive/handler/OneToOneMethodHandler.java,org.apache.dubbo.reactive.handler.OneToOneMethodHandler,invoke/1[java.lang.Object[]],func,1
/Users/dheerajdavuluri/repos/dubbo/dubbo-common/src/main/java/org/apache/dubbo/common/utils/Pair.java,org.apache.dubbo.common.utils.Pair,isNull/0,NULL,1
/Users/dheerajdavuluri/repos/dubbo/dubbo-common/src/main/java/org/apache/dubbo/common/utils/Pair.java,org.apache.dubbo.common.utils.Pair,isNull/0,left,1
/Users/dheerajdavuluri/repos/dubbo/dubbo-common/src/main/java/org/apache/dubbo/common/utils/Pair.java,org.apache.dubbo.common.utils.Pair,isNull/0,right,1
/Users/dheerajdavuluri/repos/dubbo/dubbo-common/src/main/java/org/apache/dubbo/common/utils/Pair.java,org.apache.dubbo.common.utils.Pair,nullPair/0,NULL,1
/Users/dheerajdavuluri/repos/dubbo/dubbo-common/src/main/java/org/apache/dubbo/common/utils/Pair.java,org.apache.dubbo.common.utils.Pair,getKey/0,left,1
/Users/dheerajdavuluri/repos/dubbo/dubbo-common/src/main/java/org/apache/dubbo/common/utils/Pair.java,org.apache.dubbo.common.utils.Pair,"of/2[L,R]",left,3
/Users/dheerajdavuluri/repos/dubbo/dubbo-common/src/main/java/org/apache/dubbo/common/utils/Pair.java,org.apache.dubbo.common.utils.Pair,"of/2[L,R]",right,3
/Users/dheerajdavuluri/repos/dubbo/dubbo-common/src/main/java/org/apache/dubbo/common/utils/Pair.java,org.apache.dubbo.common.utils.Pair,"Pair/2[L,R]",left,3
/Users/dheerajdavuluri/repos/dubbo/dubbo-common/src/main/java/org/apache/dubbo/common/utils/Pair.java,org.apache.dubbo.common.utils.Pair,"Pair/2[L,R]",right,3
/Users/dheerajdavuluri/repos/dubbo/dubbo-common/src/main/java/org/apache/dubbo/common/utils/Pair.java,org.apache.dubbo.common.utils.Pair,getValue/0,right,1
/Users/dheerajdavuluri/repos/dubbo/dubbo-common/src/main/java/org/apache/dubbo/common/utils/Pair.java,org.apache.dubbo.common.utils.Pair,"compareTo/1[org.apache.dubbo.common.utils.Pair<L,R>]",left,2
