file,class,method,variable,usage
/Users/dheerajdavuluri/repos/dubbo/dubbo-registry/dubbo-registry-api/src/main/java/org/apache/dubbo/registry/integration/InterfaceCompatibleRegistryProtocol.java,org.apache.dubbo.registry.integration.InterfaceCompatibleRegistryProtocol,"getServiceDiscoveryInvoker/4[org.apache.dubbo.registry.integration.Cluster,org.apache.dubbo.registry.Registry,java.lang.Class<T>,org.apache.dubbo.registry.integration.URL]",cluster,1
/Users/dheerajdavuluri/repos/dubbo/dubbo-registry/dubbo-registry-api/src/main/java/org/apache/dubbo/registry/integration/InterfaceCompatibleRegistryProtocol.java,org.apache.dubbo.registry.integration.InterfaceCompatibleRegistryProtocol,"getServiceDiscoveryInvoker/4[org.apache.dubbo.registry.integration.Cluster,org.apache.dubbo.registry.Registry,java.lang.Class<T>,org.apache.dubbo.registry.integration.URL]",registry,2
/Users/dheerajdavuluri/repos/dubbo/dubbo-registry/dubbo-registry-api/src/main/java/org/apache/dubbo/registry/integration/InterfaceCompatibleRegistryProtocol.java,org.apache.dubbo.registry.integration.InterfaceCompatibleRegistryProtocol,"getServiceDiscoveryInvoker/4[org.apache.dubbo.registry.integration.Cluster,org.apache.dubbo.registry.Registry,java.lang.Class<T>,org.apache.dubbo.registry.integration.URL]",type,2
/Users/dheerajdavuluri/repos/dubbo/dubbo-registry/dubbo-registry-api/src/main/java/org/apache/dubbo/registry/integration/InterfaceCompatibleRegistryProtocol.java,org.apache.dubbo.registry.integration.InterfaceCompatibleRegistryProtocol,"getServiceDiscoveryInvoker/4[org.apache.dubbo.registry.integration.Cluster,org.apache.dubbo.registry.Registry,java.lang.Class<T>,org.apache.dubbo.registry.integration.URL]",directory,1
/Users/dheerajdavuluri/repos/dubbo/dubbo-registry/dubbo-registry-api/src/main/java/org/apache/dubbo/registry/integration/InterfaceCompatibleRegistryProtocol.java,org.apache.dubbo.registry.integration.InterfaceCompatibleRegistryProtocol,"getServiceDiscoveryInvoker/4[org.apache.dubbo.registry.integration.Cluster,org.apache.dubbo.registry.Registry,java.lang.Class<T>,org.apache.dubbo.registry.integration.URL]",url,2
/Users/dheerajdavuluri/repos/dubbo/dubbo-registry/dubbo-registry-api/src/main/java/org/apache/dubbo/registry/integration/InterfaceCompatibleRegistryProtocol.java,org.apache.dubbo.registry.integration.InterfaceCompatibleRegistryProtocol,"getMigrationInvoker/6[org.apache.dubbo.registry.integration.RegistryProtocol,org.apache.dubbo.registry.integration.Cluster,org.apache.dubbo.registry.Registry,java.lang.Class<T>,org.apache.dubbo.registry.integration.URL,org.apache.dubbo.registry.integration.URL]",cluster,1
/Users/dheerajdavuluri/repos/dubbo/dubbo-registry/dubbo-registry-api/src/main/java/org/apache/dubbo/registry/integration/InterfaceCompatibleRegistryProtocol.java,org.apache.dubbo.registry.integration.InterfaceCompatibleRegistryProtocol,"getMigrationInvoker/6[org.apache.dubbo.registry.integration.RegistryProtocol,org.apache.dubbo.registry.integration.Cluster,org.apache.dubbo.registry.Registry,java.lang.Class<T>,org.apache.dubbo.registry.integration.URL,org.apache.dubbo.registry.integration.URL]",registry,1
/Users/dheerajdavuluri/repos/dubbo/dubbo-registry/dubbo-registry-api/src/main/java/org/apache/dubbo/registry/integration/InterfaceCompatibleRegistryProtocol.java,org.apache.dubbo.registry.integration.InterfaceCompatibleRegistryProtocol,"getMigrationInvoker/6[org.apache.dubbo.registry.integration.RegistryProtocol,org.apache.dubbo.registry.integration.Cluster,org.apache.dubbo.registry.Registry,java.lang.Class<T>,org.apache.dubbo.registry.integration.URL,org.apache.dubbo.registry.integration.URL]",registryProtocol,1
/Users/dheerajdavuluri/repos/dubbo/dubbo-registry/dubbo-registry-api/src/main/java/org/apache/dubbo/registry/integration/InterfaceCompatibleRegistryProtocol.java,org.apache.dubbo.registry.integration.InterfaceCompatibleRegistryProtocol,"getMigrationInvoker/6[org.apache.dubbo.registry.integration.RegistryProtocol,org.apache.dubbo.registry.integration.Cluster,org.apache.dubbo.registry.Registry,java.lang.Class<T>,org.apache.dubbo.registry.integration.URL,org.apache.dubbo.registry.integration.URL]",type,1
/Users/dheerajdavuluri/repos/dubbo/dubbo-registry/dubbo-registry-api/src/main/java/org/apache/dubbo/registry/integration/InterfaceCompatibleRegistryProtocol.java,org.apache.dubbo.registry.integration.InterfaceCompatibleRegistryProtocol,"getMigrationInvoker/6[org.apache.dubbo.registry.integration.RegistryProtocol,org.apache.dubbo.registry.integration.Cluster,org.apache.dubbo.registry.Registry,java.lang.Class<T>,org.apache.dubbo.registry.integration.URL,org.apache.dubbo.registry.integration.URL]",consumerUrl,1
/Users/dheerajdavuluri/repos/dubbo/dubbo-registry/dubbo-registry-api/src/main/java/org/apache/dubbo/registry/integration/InterfaceCompatibleRegistryProtocol.java,org.apache.dubbo.registry.integration.InterfaceCompatibleRegistryProtocol,"getMigrationInvoker/6[org.apache.dubbo.registry.integration.RegistryProtocol,org.apache.dubbo.registry.integration.Cluster,org.apache.dubbo.registry.Registry,java.lang.Class<T>,org.apache.dubbo.registry.integration.URL,org.apache.dubbo.registry.integration.URL]",url,1
/Users/dheerajdavuluri/repos/dubbo/dubbo-registry/dubbo-registry-api/src/main/java/org/apache/dubbo/registry/integration/InterfaceCompatibleRegistryProtocol.java,org.apache.dubbo.registry.integration.InterfaceCompatibleRegistryProtocol,getRegistryUrl/1[org.apache.dubbo.registry.integration.Invoker<?>],registryUrl,5
/Users/dheerajdavuluri/repos/dubbo/dubbo-registry/dubbo-registry-api/src/main/java/org/apache/dubbo/registry/integration/InterfaceCompatibleRegistryProtocol.java,org.apache.dubbo.registry.integration.InterfaceCompatibleRegistryProtocol,getRegistryUrl/1[org.apache.dubbo.registry.integration.Invoker<?>],originInvoker,1
/Users/dheerajdavuluri/repos/dubbo/dubbo-registry/dubbo-registry-api/src/main/java/org/apache/dubbo/registry/integration/InterfaceCompatibleRegistryProtocol.java,org.apache.dubbo.registry.integration.InterfaceCompatibleRegistryProtocol,getRegistryUrl/1[org.apache.dubbo.registry.integration.Invoker<?>],protocol,1
/Users/dheerajdavuluri/repos/dubbo/dubbo-registry/dubbo-registry-api/src/main/java/org/apache/dubbo/registry/integration/InterfaceCompatibleRegistryProtocol.java,org.apache.dubbo.registry.integration.InterfaceCompatibleRegistryProtocol,getRegistryUrl/1[org.apache.dubbo.registry.integration.URL],url,2
/Users/dheerajdavuluri/repos/dubbo/dubbo-registry/dubbo-registry-api/src/main/java/org/apache/dubbo/registry/integration/InterfaceCompatibleRegistryProtocol.java,org.apache.dubbo.registry.integration.InterfaceCompatibleRegistryProtocol,"getInvoker/4[org.apache.dubbo.registry.integration.Cluster,org.apache.dubbo.registry.Registry,java.lang.Class<T>,org.apache.dubbo.registry.integration.URL]",cluster,1
/Users/dheerajdavuluri/repos/dubbo/dubbo-registry/dubbo-registry-api/src/main/java/org/apache/dubbo/registry/integration/InterfaceCompatibleRegistryProtocol.java,org.apache.dubbo.registry.integration.InterfaceCompatibleRegistryProtocol,"getInvoker/4[org.apache.dubbo.registry.integration.Cluster,org.apache.dubbo.registry.Registry,java.lang.Class<T>,org.apache.dubbo.registry.integration.URL]",registry,1
/Users/dheerajdavuluri/repos/dubbo/dubbo-registry/dubbo-registry-api/src/main/java/org/apache/dubbo/registry/integration/InterfaceCompatibleRegistryProtocol.java,org.apache.dubbo.registry.integration.InterfaceCompatibleRegistryProtocol,"getInvoker/4[org.apache.dubbo.registry.integration.Cluster,org.apache.dubbo.registry.Registry,java.lang.Class<T>,org.apache.dubbo.registry.integration.URL]",type,2
/Users/dheerajdavuluri/repos/dubbo/dubbo-registry/dubbo-registry-api/src/main/java/org/apache/dubbo/registry/integration/InterfaceCompatibleRegistryProtocol.java,org.apache.dubbo.registry.integration.InterfaceCompatibleRegistryProtocol,"getInvoker/4[org.apache.dubbo.registry.integration.Cluster,org.apache.dubbo.registry.Registry,java.lang.Class<T>,org.apache.dubbo.registry.integration.URL]",directory,1
/Users/dheerajdavuluri/repos/dubbo/dubbo-registry/dubbo-registry-api/src/main/java/org/apache/dubbo/registry/integration/InterfaceCompatibleRegistryProtocol.java,org.apache.dubbo.registry.integration.InterfaceCompatibleRegistryProtocol,"getInvoker/4[org.apache.dubbo.registry.integration.Cluster,org.apache.dubbo.registry.Registry,java.lang.Class<T>,org.apache.dubbo.registry.integration.URL]",url,1
