file,class,method,variable,usage
/Users/dheerajdavuluri/repos/guava/android/guava/src/com/google/common/reflect/TypeToken.java,com.google.common.reflect.TypeToken$SimpleTypeToken,SimpleTypeToken/1[java.lang.reflect.Type],type,1
/Users/dheerajdavuluri/repos/guava/android/guava-tests/test/com/google/common/reflect/TypeTokenResolutionTest.java,com.google.common.reflect.TypeTokenResolutionTest$1ForTwoStageResolution,verifyTwoStageResolution/0,type,1
/Users/dheerajdavuluri/repos/guava/android/guava/src/com/google/common/graph/AbstractBaseGraph.java,com.google.common.graph.AbstractBaseGraph$Anonymous2,iterator/0,successor,1
/Users/dheerajdavuluri/repos/guava/android/guava/src/com/google/common/graph/AbstractBaseGraph.java,com.google.common.graph.AbstractBaseGraph$Anonymous2,iterator/0,adjacentNode,1
/Users/dheerajdavuluri/repos/guava/android/guava/src/com/google/common/graph/AbstractBaseGraph.java,com.google.common.graph.AbstractBaseGraph$Anonymous2,iterator/0,predecessor,1
/Users/dheerajdavuluri/repos/guava/android/guava/src/com/google/common/graph/AbstractBaseGraph.java,com.google.common.graph.AbstractBaseGraph$Anonymous1,contains/1[java.lang.Object],endpointPair,4
/Users/dheerajdavuluri/repos/guava/android/guava/src/com/google/common/graph/AbstractBaseGraph.java,com.google.common.graph.AbstractBaseGraph$Anonymous1,contains/1[java.lang.Object],obj,2
/Users/dheerajdavuluri/repos/guava/android/guava/src/com/google/common/graph/AbstractBaseGraph.java,com.google.common.graph.AbstractBaseGraph$Anonymous1,remove/1[java.lang.Object],o,0
/Users/dheerajdavuluri/repos/guava/android/guava-testlib/src/com/google/common/collect/testing/DerivedComparable.java,com.google.common.collect.testing.DerivedComparable,DerivedComparable/1[java.lang.String],s,1
/Users/dheerajdavuluri/repos/guava/android/guava/src/com/google/common/graph/AbstractBaseGraph.java,com.google.common.graph.AbstractBaseGraph$Anonymous3,incidentNodes/1[com.google.common.graph.EndpointPair<N>],edge,2
/Users/dheerajdavuluri/repos/guava/android/guava/src/com/google/common/graph/AbstractBaseGraph.java,com.google.common.graph.AbstractBaseGraph$Anonymous3,incidentEdges/1[N],node,1
/Users/dheerajdavuluri/repos/guava/android/guava/src/com/google/common/graph/AbstractBaseGraph.java,com.google.common.graph.AbstractBaseGraph$Anonymous3,adjacentNodes/1[N],node,1
/Users/dheerajdavuluri/repos/guava/android/guava/src/com/google/common/graph/AbstractBaseGraph.java,com.google.common.graph.AbstractBaseGraph$Anonymous3,predecessors/1[N],node,1
/Users/dheerajdavuluri/repos/guava/android/guava/src/com/google/common/graph/AbstractBaseGraph.java,com.google.common.graph.AbstractBaseGraph$Anonymous3,adjacentEdges/1[com.google.common.graph.EndpointPair<N>],nodeU,3
/Users/dheerajdavuluri/repos/guava/android/guava/src/com/google/common/graph/AbstractBaseGraph.java,com.google.common.graph.AbstractBaseGraph$Anonymous3,adjacentEdges/1[com.google.common.graph.EndpointPair<N>],edge,4
/Users/dheerajdavuluri/repos/guava/android/guava/src/com/google/common/graph/AbstractBaseGraph.java,com.google.common.graph.AbstractBaseGraph$Anonymous3,adjacentEdges/1[com.google.common.graph.EndpointPair<N>],nodeV,3
/Users/dheerajdavuluri/repos/guava/android/guava/src/com/google/common/graph/AbstractBaseGraph.java,com.google.common.graph.AbstractBaseGraph$Anonymous3,adjacentEdges/1[com.google.common.graph.EndpointPair<N>],endpointPairIncidentEdges,1
/Users/dheerajdavuluri/repos/guava/android/guava/src/com/google/common/graph/AbstractBaseGraph.java,com.google.common.graph.AbstractBaseGraph$Anonymous3,successors/1[N],node,1
/Users/dheerajdavuluri/repos/guava/android/guava/src/com/google/common/graph/AbstractBaseGraph.java,com.google.common.graph.AbstractBaseGraph$Anonymous3,outEdges/1[N],node,4
/Users/dheerajdavuluri/repos/guava/android/guava/src/com/google/common/graph/AbstractBaseGraph.java,com.google.common.graph.AbstractBaseGraph$Anonymous3,outEdges/1[N],incident,1
/Users/dheerajdavuluri/repos/guava/android/guava/src/com/google/common/graph/AbstractBaseGraph.java,com.google.common.graph.AbstractBaseGraph$Anonymous3,inEdges/1[N],node,4
/Users/dheerajdavuluri/repos/guava/android/guava/src/com/google/common/graph/AbstractBaseGraph.java,com.google.common.graph.AbstractBaseGraph$Anonymous3,inEdges/1[N],incident,1
/Users/dheerajdavuluri/repos/guava/android/guava/src/com/google/common/collect/FilteredKeyListMultimap.java,com.google.common.collect.FilteredKeyListMultimap,"FilteredKeyListMultimap/2[com.google.common.collect.ListMultimap<K,V>,com.google.common.collect.Predicate<? super K>]",keyPredicate,1
/Users/dheerajdavuluri/repos/guava/android/guava/src/com/google/common/collect/FilteredKeyListMultimap.java,com.google.common.collect.FilteredKeyListMultimap,"FilteredKeyListMultimap/2[com.google.common.collect.ListMultimap<K,V>,com.google.common.collect.Predicate<? super K>]",unfiltered,1
/Users/dheerajdavuluri/repos/guava/android/guava/src/com/google/common/collect/FilteredKeyListMultimap.java,com.google.common.collect.FilteredKeyListMultimap,"replaceValues/2[K,java.lang.Iterable<? extends V>]",values,1
/Users/dheerajdavuluri/repos/guava/android/guava/src/com/google/common/collect/FilteredKeyListMultimap.java,com.google.common.collect.FilteredKeyListMultimap,"replaceValues/2[K,java.lang.Iterable<? extends V>]",key,1
/Users/dheerajdavuluri/repos/guava/android/guava/src/com/google/common/collect/FilteredKeyListMultimap.java,com.google.common.collect.FilteredKeyListMultimap,get/1[K],key,1
/Users/dheerajdavuluri/repos/guava/android/guava/src/com/google/common/collect/FilteredKeyListMultimap.java,com.google.common.collect.FilteredKeyListMultimap,removeAll/1[java.lang.Object],key,1
/Users/dheerajdavuluri/repos/guava/android/guava/src/com/google/common/util/concurrent/CollectionFuture.java,com.google.common.util.concurrent.CollectionFuture,"collectOneValue/2[int,V]",returnValue,1
/Users/dheerajdavuluri/repos/guava/android/guava/src/com/google/common/util/concurrent/CollectionFuture.java,com.google.common.util.concurrent.CollectionFuture,"collectOneValue/2[int,V]",index,1
/Users/dheerajdavuluri/repos/guava/android/guava/src/com/google/common/util/concurrent/CollectionFuture.java,com.google.common.util.concurrent.CollectionFuture,"collectOneValue/2[int,V]",localValues,2
