file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/dheerajdavuluri/repos/guice/core/test/com/google/inject/util/OverrideModuleTest.java,com.google.inject.util.OverrideModuleTest$Anonymous44,configure/0,FALSE,795,1,743,0,743,2,2,5,0,0,0,2,0,0,0,1,0,0,1,0,0,1,1,0,0,0,8,4,0,FALSE
/Users/dheerajdavuluri/repos/guice/core/test/com/google/inject/util/OverrideModuleTest.java,com.google.inject.util.OverrideModuleTest$Anonymous45,provideString/0,FALSE,813,2,2,0,2,1,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,FALSE
/Users/dheerajdavuluri/repos/guice/core/src/com/google/inject/internal/InternalContext.java,com.google.inject.internal.InternalContext,enter/0,FALSE,119,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,TRUE
/Users/dheerajdavuluri/repos/guice/core/src/com/google/inject/internal/InternalContext.java,com.google.inject.internal.InternalContext,"nextIndex/2[int,int]",FALSE,617,0,6,6,0,2,0,3,1,0,2,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,4,10,0,FALSE
/Users/dheerajdavuluri/repos/guice/core/src/com/google/inject/internal/InternalContext.java,com.google.inject.internal.InternalContext,areCircularProxiesEnabled/0,FALSE,135,0,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1024,0,TRUE
/Users/dheerajdavuluri/repos/guice/core/src/com/google/inject/internal/InternalContext.java,com.google.inject.internal.InternalContext,close/0,FALSE,125,0,5,5,0,3,0,9,0,1,0,0,0,0,0,1,0,0,1,3,2,0,1,0,0,0,20,1,0,TRUE
/Users/dheerajdavuluri/repos/guice/core/src/com/google/inject/internal/InternalContext.java,com.google.inject.internal.InternalContext,"hash/2[int,int]",FALSE,624,0,7,7,0,1,0,3,1,0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,3,10,0,FALSE
/Users/dheerajdavuluri/repos/guice/core/src/com/google/inject/internal/InternalContext.java,com.google.inject.internal.InternalContext,"create/2[boolean,java.lang.Object[]]",FALSE,88,3,3,1,2,2,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,0,FALSE
/Users/dheerajdavuluri/repos/guice/core/src/com/google/inject/internal/InternalContext.java,com.google.inject.internal.InternalContext,setDependency/1[com.google.inject.spi.Dependency<?>],FALSE,205,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,0,0,TRUE
/Users/dheerajdavuluri/repos/guice/core/src/com/google/inject/internal/InternalContext.java,com.google.inject.internal.InternalContext,InternalContext/1[java.lang.Object[]],TRUE,113,0,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,4,4,0,FALSE
