file,class,method,variable,usage
/Users/dheerajdavuluri/repos/guice/core/src/com/google/inject/internal/InternalContext.java,com.google.inject.internal.InternalContext,"nextIndex/2[int,int]",len,1
/Users/dheerajdavuluri/repos/guice/core/src/com/google/inject/internal/InternalContext.java,com.google.inject.internal.InternalContext,"nextIndex/2[int,int]",index,2
/Users/dheerajdavuluri/repos/guice/core/src/com/google/inject/internal/InternalContext.java,com.google.inject.internal.InternalContext,close/0,newCount,2
/Users/dheerajdavuluri/repos/guice/core/src/com/google/inject/internal/InternalContext.java,com.google.inject.internal.InternalContext,"hash/2[int,int]",len,1
/Users/dheerajdavuluri/repos/guice/core/src/com/google/inject/internal/InternalContext.java,com.google.inject.internal.InternalContext,"hash/2[int,int]",key,1
/Users/dheerajdavuluri/repos/guice/core/src/com/google/inject/internal/InternalContext.java,com.google.inject.internal.InternalContext,"create/2[boolean,java.lang.Object[]]",disableCircularProxies,1
/Users/dheerajdavuluri/repos/guice/core/src/com/google/inject/internal/InternalContext.java,com.google.inject.internal.InternalContext,"create/2[boolean,java.lang.Object[]]",toClear,2
/Users/dheerajdavuluri/repos/guice/core/src/com/google/inject/internal/InternalContext.java,com.google.inject.internal.InternalContext,setDependency/1[com.google.inject.spi.Dependency<?>],dependency,2
/Users/dheerajdavuluri/repos/guice/core/src/com/google/inject/internal/InternalContext.java,com.google.inject.internal.InternalContext,InternalContext/1[java.lang.Object[]],toClear,2
/Users/dheerajdavuluri/repos/guice/core/src/com/google/inject/internal/InternalContext.java,com.google.inject.internal.InternalContext,clearCurrentReference/1[int],circularFactoryId,0
/Users/dheerajdavuluri/repos/guice/core/src/com/google/inject/internal/InternalContext.java,com.google.inject.internal.InternalContext,"tryStartConstruction/2[int,com.google.inject.spi.Dependency<T>]",circularFactoryId,0
/Users/dheerajdavuluri/repos/guice/core/src/com/google/inject/internal/InternalContext.java,com.google.inject.internal.InternalContext,"tryStartConstruction/2[int,com.google.inject.spi.Dependency<T>]",forDependency,0
/Users/dheerajdavuluri/repos/guice/core/src/com/google/inject/internal/InternalContext.java,com.google.inject.internal.InternalContext,"finishConstructionAndSetReference/2[int,java.lang.Object]",result,0
