file,class,method,variable,usage
/Users/dheerajdavuluri/repos/mybatis/src/main/java/org/apache/ibatis/transaction/managed/ManagedTransaction.java,org.apache.ibatis.transaction.managed.ManagedTransaction,openConnection/0,log,2
/Users/dheerajdavuluri/repos/mybatis/src/main/java/org/apache/ibatis/transaction/managed/ManagedTransaction.java,org.apache.ibatis.transaction.managed.ManagedTransaction,openConnection/0,level,2
/Users/dheerajdavuluri/repos/mybatis/src/main/java/org/apache/ibatis/transaction/managed/ManagedTransaction.java,org.apache.ibatis.transaction.managed.ManagedTransaction,openConnection/0,connection,2
/Users/dheerajdavuluri/repos/mybatis/src/main/java/org/apache/ibatis/transaction/managed/ManagedTransaction.java,org.apache.ibatis.transaction.managed.ManagedTransaction,openConnection/0,dataSource,1
/Users/dheerajdavuluri/repos/mybatis/src/main/java/org/apache/ibatis/transaction/managed/ManagedTransaction.java,org.apache.ibatis.transaction.managed.ManagedTransaction,"ManagedTransaction/2[java.sql.Connection,boolean]",connection,3
/Users/dheerajdavuluri/repos/mybatis/src/main/java/org/apache/ibatis/transaction/managed/ManagedTransaction.java,org.apache.ibatis.transaction.managed.ManagedTransaction,"ManagedTransaction/2[java.sql.Connection,boolean]",closeConnection,3
/Users/dheerajdavuluri/repos/mybatis/src/main/java/org/apache/ibatis/transaction/managed/ManagedTransaction.java,org.apache.ibatis.transaction.managed.ManagedTransaction,close/0,log,2
/Users/dheerajdavuluri/repos/mybatis/src/main/java/org/apache/ibatis/transaction/managed/ManagedTransaction.java,org.apache.ibatis.transaction.managed.ManagedTransaction,close/0,connection,3
/Users/dheerajdavuluri/repos/mybatis/src/main/java/org/apache/ibatis/transaction/managed/ManagedTransaction.java,org.apache.ibatis.transaction.managed.ManagedTransaction,close/0,closeConnection,1
/Users/dheerajdavuluri/repos/mybatis/src/main/java/org/apache/ibatis/transaction/managed/ManagedTransaction.java,org.apache.ibatis.transaction.managed.ManagedTransaction,"ManagedTransaction/3[javax.sql.DataSource,org.apache.ibatis.transaction.managed.TransactionIsolationLevel,boolean]",level,3
/Users/dheerajdavuluri/repos/mybatis/src/main/java/org/apache/ibatis/transaction/managed/ManagedTransaction.java,org.apache.ibatis.transaction.managed.ManagedTransaction,"ManagedTransaction/3[javax.sql.DataSource,org.apache.ibatis.transaction.managed.TransactionIsolationLevel,boolean]",dataSource,1
/Users/dheerajdavuluri/repos/mybatis/src/main/java/org/apache/ibatis/transaction/managed/ManagedTransaction.java,org.apache.ibatis.transaction.managed.ManagedTransaction,"ManagedTransaction/3[javax.sql.DataSource,org.apache.ibatis.transaction.managed.TransactionIsolationLevel,boolean]",closeConnection,3
/Users/dheerajdavuluri/repos/mybatis/src/main/java/org/apache/ibatis/transaction/managed/ManagedTransaction.java,org.apache.ibatis.transaction.managed.ManagedTransaction,getConnection/0,connection,2
/Users/dheerajdavuluri/repos/mybatis/src/test/java/org/apache/ibatis/submitted/multiple_discriminator/Employee.java,org.apache.ibatis.submitted.multiple_discriminator.Employee,getJobTitle/0,jobTitle,1
/Users/dheerajdavuluri/repos/mybatis/src/test/java/org/apache/ibatis/submitted/multiple_discriminator/Employee.java,org.apache.ibatis.submitted.multiple_discriminator.Employee,setJobTitle/1[java.lang.String],jobTitle,3
/Users/dheerajdavuluri/repos/mybatis/src/test/java/org/apache/ibatis/submitted/deferload_common_property/CommonPropertyDeferLoadTest.java,org.apache.ibatis.submitted.deferload_common_property.CommonPropertyDeferLoadTest$3MyResultHandler,handleResult/1[org.apache.ibatis.submitted.deferload_common_property.ResultContext],children,1
/Users/dheerajdavuluri/repos/mybatis/src/test/java/org/apache/ibatis/submitted/immutable_constructor/ImmutablePOJOTest.java,org.apache.ibatis.submitted.immutable_constructor.ImmutablePOJOTest,shouldLoadImmutablePOJOBySignature/0,factory,1
/Users/dheerajdavuluri/repos/mybatis/src/test/java/org/apache/ibatis/submitted/immutable_constructor/ImmutablePOJOTest.java,org.apache.ibatis.submitted.immutable_constructor.ImmutablePOJOTest,shouldLoadImmutablePOJOBySignature/0,POJO_DESCRIPTION,1
/Users/dheerajdavuluri/repos/mybatis/src/test/java/org/apache/ibatis/submitted/immutable_constructor/ImmutablePOJOTest.java,org.apache.ibatis.submitted.immutable_constructor.ImmutablePOJOTest,shouldLoadImmutablePOJOBySignature/0,POJO_ID,2
/Users/dheerajdavuluri/repos/mybatis/src/test/java/org/apache/ibatis/submitted/immutable_constructor/ImmutablePOJOTest.java,org.apache.ibatis.submitted.immutable_constructor.ImmutablePOJOTest,shouldFailLoadingImmutablePOJO/0,factory,1
/Users/dheerajdavuluri/repos/mybatis/src/test/java/org/apache/ibatis/submitted/immutable_constructor/ImmutablePOJOTest.java,org.apache.ibatis.submitted.immutable_constructor.ImmutablePOJOTest,shouldFailLoadingImmutablePOJO/0,POJO_ID,1
/Users/dheerajdavuluri/repos/mybatis/src/test/java/org/apache/ibatis/submitted/immutable_constructor/ImmutablePOJOTest.java,org.apache.ibatis.submitted.immutable_constructor.ImmutablePOJOTest,setupClass/0,factory,2
/Users/dheerajdavuluri/repos/mybatis/src/test/java/org/apache/ibatis/submitted/call_setters_on_nulls_again/ChildBean.java,org.apache.ibatis.submitted.call_setters_on_nulls_again.ChildBean,setName/1[java.lang.String],name,3
/Users/dheerajdavuluri/repos/mybatis/src/test/java/org/apache/ibatis/submitted/call_setters_on_nulls_again/ChildBean.java,org.apache.ibatis.submitted.call_setters_on_nulls_again.ChildBean,setBeans/1[java.util.List<org.apache.ibatis.submitted.call_setters_on_nulls_again.ChildBean>],beans,3
/Users/dheerajdavuluri/repos/mybatis/src/test/java/org/apache/ibatis/submitted/call_setters_on_nulls_again/ChildBean.java,org.apache.ibatis.submitted.call_setters_on_nulls_again.ChildBean,toString/0,beans,1
/Users/dheerajdavuluri/repos/mybatis/src/test/java/org/apache/ibatis/submitted/call_setters_on_nulls_again/ChildBean.java,org.apache.ibatis.submitted.call_setters_on_nulls_again.ChildBean,toString/0,name,1
/Users/dheerajdavuluri/repos/mybatis/src/test/java/org/apache/ibatis/submitted/call_setters_on_nulls_again/ChildBean.java,org.apache.ibatis.submitted.call_setters_on_nulls_again.ChildBean,toString/0,child,1
/Users/dheerajdavuluri/repos/mybatis/src/test/java/org/apache/ibatis/submitted/call_setters_on_nulls_again/ChildBean.java,org.apache.ibatis.submitted.call_setters_on_nulls_again.ChildBean,getName/0,name,1
/Users/dheerajdavuluri/repos/mybatis/src/test/java/org/apache/ibatis/submitted/call_setters_on_nulls_again/ChildBean.java,org.apache.ibatis.submitted.call_setters_on_nulls_again.ChildBean,getChild/0,child,1
/Users/dheerajdavuluri/repos/mybatis/src/test/java/org/apache/ibatis/submitted/call_setters_on_nulls_again/ChildBean.java,org.apache.ibatis.submitted.call_setters_on_nulls_again.ChildBean,setChild/1[org.apache.ibatis.submitted.call_setters_on_nulls_again.ChildBean],child,3
/Users/dheerajdavuluri/repos/mybatis/src/test/java/org/apache/ibatis/submitted/call_setters_on_nulls_again/ChildBean.java,org.apache.ibatis.submitted.call_setters_on_nulls_again.ChildBean,getBeans/0,beans,1
/Users/dheerajdavuluri/repos/mybatis/src/test/java/org/apache/ibatis/submitted/generictyperesolution/GenericTypeResolutionTest.java,org.apache.ibatis.submitted.generictyperesolution.GenericTypeResolutionTest,setUp/0,sqlSessionFactory,2
/Users/dheerajdavuluri/repos/mybatis/src/test/java/org/apache/ibatis/submitted/generictyperesolution/GenericTypeResolutionTest.java,org.apache.ibatis.submitted.generictyperesolution.GenericTypeResolutionTest,shouldInsertAUser/0,sqlSessionFactory,1
/Users/dheerajdavuluri/repos/mybatis/src/test/java/org/apache/ibatis/submitted/generictyperesolution/GenericTypeResolutionTest.java,org.apache.ibatis.submitted.generictyperesolution.GenericTypeResolutionTest,shouldGetAUser/0,sqlSessionFactory,1
/Users/dheerajdavuluri/repos/mybatis/src/test/java/org/apache/ibatis/submitted/lazyload_common_property/CommonPropertyLazyLoadTest.java,org.apache.ibatis.submitted.lazyload_common_property.CommonPropertyLazyLoadTest,lazyLoadSkipFirstAncestor/0,sqlSessionFactory,1
/Users/dheerajdavuluri/repos/mybatis/src/test/java/org/apache/ibatis/submitted/lazyload_common_property/CommonPropertyLazyLoadTest.java,org.apache.ibatis.submitted.lazyload_common_property.CommonPropertyLazyLoadTest,lazyLoadWithFirstAncestor/0,sqlSessionFactory,1
/Users/dheerajdavuluri/repos/mybatis/src/test/java/org/apache/ibatis/submitted/lazyload_common_property/CommonPropertyLazyLoadTest.java,org.apache.ibatis.submitted.lazyload_common_property.CommonPropertyLazyLoadTest,lazyLoadWithAllAncestors/0,sqlSessionFactory,1
/Users/dheerajdavuluri/repos/mybatis/src/test/java/org/apache/ibatis/submitted/lazyload_common_property/CommonPropertyLazyLoadTest.java,org.apache.ibatis.submitted.lazyload_common_property.CommonPropertyLazyLoadTest,lazyLoadWithNoAncestor/0,sqlSessionFactory,1
/Users/dheerajdavuluri/repos/mybatis/src/test/java/org/apache/ibatis/submitted/lazyload_common_property/CommonPropertyLazyLoadTest.java,org.apache.ibatis.submitted.lazyload_common_property.CommonPropertyLazyLoadTest,initDatabase/0,sqlSessionFactory,2
