file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/dheerajdavuluri/repos/netty/codec-http/src/main/java/io/netty/handler/codec/http/websocketx/WebSocketServerHandshaker07.java,io.netty.handler.codec.http.websocketx.WebSocketServerHandshaker07,"WebSocketServerHandshaker07/3[java.lang.String,java.lang.String,io.netty.handler.codec.http.websocketx.WebSocketDecoderConfig]",TRUE,94,1,1,1,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,TRUE
/Users/dheerajdavuluri/repos/netty/codec-http/src/main/java/io/netty/handler/codec/http/websocketx/WebSocketServerHandshaker07.java,io.netty.handler.codec.http.websocketx.WebSocketServerHandshaker07,"newHandshakeResponse/2[io.netty.handler.codec.http.FullHttpRequest,io.netty.handler.codec.http.HttpHeaders]",FALSE,132,11,12,0,12,8,17,34,1,8,2,17,0,0,0,4,0,0,4,1,8,2,3,0,0,0,94,4,2,TRUE
/Users/dheerajdavuluri/repos/netty/codec-http/src/main/java/io/netty/handler/codec/http/websocketx/WebSocketServerHandshaker07.java,io.netty.handler.codec.http.websocketx.WebSocketServerHandshaker07,newWebSocketEncoder/0,FALSE,183,2,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,FALSE
/Users/dheerajdavuluri/repos/netty/codec-http/src/main/java/io/netty/handler/codec/http/websocketx/WebSocketServerHandshaker07.java,io.netty.handler.codec.http.websocketx.WebSocketServerHandshaker07,newWebsocketDecoder/0,FALSE,178,3,2,0,2,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,FALSE
/Users/dheerajdavuluri/repos/netty/codec-http/src/main/java/io/netty/handler/codec/http/websocketx/WebSocketServerHandshaker07.java,io.netty.handler.codec.http.websocketx.WebSocketServerHandshaker07,"WebSocketServerHandshaker07/4[java.lang.String,java.lang.String,boolean,int]",TRUE,57,0,0,0,0,1,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1,0,TRUE
/Users/dheerajdavuluri/repos/netty/codec-http/src/main/java/io/netty/handler/codec/http/websocketx/WebSocketServerHandshaker07.java,io.netty.handler.codec.http.websocketx.WebSocketServerHandshaker07,"WebSocketServerHandshaker07/5[java.lang.String,java.lang.String,boolean,int,boolean]",TRUE,80,2,5,0,5,1,5,3,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,1,0,TRUE
/Users/dheerajdavuluri/repos/netty/codec-http/src/main/java/io/netty/handler/codec/http/websocketx/WebSocketServerHandshaker08.java,io.netty.handler.codec.http.websocketx.WebSocketServerHandshaker08,"WebSocketServerHandshaker08/4[java.lang.String,java.lang.String,boolean,int]",TRUE,57,0,0,0,0,1,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1,0,TRUE
/Users/dheerajdavuluri/repos/netty/codec-http/src/main/java/io/netty/handler/codec/http/websocketx/WebSocketServerHandshaker08.java,io.netty.handler.codec.http.websocketx.WebSocketServerHandshaker08,"WebSocketServerHandshaker08/5[java.lang.String,java.lang.String,boolean,int,boolean]",TRUE,80,2,5,0,5,1,5,3,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,1,0,TRUE
/Users/dheerajdavuluri/repos/netty/codec-http/src/main/java/io/netty/handler/codec/http/websocketx/WebSocketServerHandshaker08.java,io.netty.handler.codec.http.websocketx.WebSocketServerHandshaker08,newWebsocketDecoder/0,FALSE,184,3,2,0,2,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,FALSE
/Users/dheerajdavuluri/repos/netty/codec-http/src/main/java/io/netty/handler/codec/http/websocketx/WebSocketServerHandshaker08.java,io.netty.handler.codec.http.websocketx.WebSocketServerHandshaker08,"WebSocketServerHandshaker08/3[java.lang.String,java.lang.String,io.netty.handler.codec.http.websocketx.WebSocketDecoderConfig]",TRUE,100,1,1,1,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0,TRUE
/Users/dheerajdavuluri/repos/netty/codec-http/src/main/java/io/netty/handler/codec/http/websocketx/WebSocketServerHandshaker08.java,io.netty.handler.codec.http.websocketx.WebSocketServerHandshaker08,"newHandshakeResponse/2[io.netty.handler.codec.http.FullHttpRequest,io.netty.handler.codec.http.HttpHeaders]",FALSE,139,11,12,0,12,8,17,34,1,8,2,17,0,0,0,4,0,0,4,1,8,2,3,0,0,0,99,4,2,TRUE
/Users/dheerajdavuluri/repos/netty/codec-http/src/main/java/io/netty/handler/codec/http/websocketx/WebSocketServerHandshaker08.java,io.netty.handler.codec.http.websocketx.WebSocketServerHandshaker08,newWebSocketEncoder/0,FALSE,189,2,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,FALSE
/Users/dheerajdavuluri/repos/netty/transport/src/test/java/io/netty/channel/DefaultChannelPipelineTest.java,io.netty.channel.DefaultChannelPipelineTest$CheckOrderHandler,checkExecutor/1[io.netty.channel.ChannelHandlerContext],FALSE,2063,1,3,2,1,2,3,5,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,2,0,FALSE
