file,class,method,variable,usage
/Users/dheerajdavuluri/repos/netty/codec-http/src/main/java/io/netty/handler/codec/http/websocketx/WebSocketServerHandshaker07.java,io.netty.handler.codec.http.websocketx.WebSocketServerHandshaker07,"WebSocketServerHandshaker07/3[java.lang.String,java.lang.String,io.netty.handler.codec.http.websocketx.WebSocketDecoderConfig]",webSocketURL,1
/Users/dheerajdavuluri/repos/netty/codec-http/src/main/java/io/netty/handler/codec/http/websocketx/WebSocketServerHandshaker07.java,io.netty.handler.codec.http.websocketx.WebSocketServerHandshaker07,"WebSocketServerHandshaker07/3[java.lang.String,java.lang.String,io.netty.handler.codec.http.websocketx.WebSocketDecoderConfig]",subprotocols,1
/Users/dheerajdavuluri/repos/netty/codec-http/src/main/java/io/netty/handler/codec/http/websocketx/WebSocketServerHandshaker07.java,io.netty.handler.codec.http.websocketx.WebSocketServerHandshaker07,"WebSocketServerHandshaker07/3[java.lang.String,java.lang.String,io.netty.handler.codec.http.websocketx.WebSocketDecoderConfig]",decoderConfig,1
/Users/dheerajdavuluri/repos/netty/codec-http/src/main/java/io/netty/handler/codec/http/websocketx/WebSocketServerHandshaker07.java,io.netty.handler.codec.http.websocketx.WebSocketServerHandshaker07,"newHandshakeResponse/2[io.netty.handler.codec.http.FullHttpRequest,io.netty.handler.codec.http.HttpHeaders]",sha1,2
/Users/dheerajdavuluri/repos/netty/codec-http/src/main/java/io/netty/handler/codec/http/websocketx/WebSocketServerHandshaker07.java,io.netty.handler.codec.http.websocketx.WebSocketServerHandshaker07,"newHandshakeResponse/2[io.netty.handler.codec.http.FullHttpRequest,io.netty.handler.codec.http.HttpHeaders]",headers,7
/Users/dheerajdavuluri/repos/netty/codec-http/src/main/java/io/netty/handler/codec/http/websocketx/WebSocketServerHandshaker07.java,io.netty.handler.codec.http.websocketx.WebSocketServerHandshaker07,"newHandshakeResponse/2[io.netty.handler.codec.http.FullHttpRequest,io.netty.handler.codec.http.HttpHeaders]",res,4
/Users/dheerajdavuluri/repos/netty/codec-http/src/main/java/io/netty/handler/codec/http/websocketx/WebSocketServerHandshaker07.java,io.netty.handler.codec.http.websocketx.WebSocketServerHandshaker07,"newHandshakeResponse/2[io.netty.handler.codec.http.FullHttpRequest,io.netty.handler.codec.http.HttpHeaders]",method,3
/Users/dheerajdavuluri/repos/netty/codec-http/src/main/java/io/netty/handler/codec/http/websocketx/WebSocketServerHandshaker07.java,io.netty.handler.codec.http.websocketx.WebSocketServerHandshaker07,"newHandshakeResponse/2[io.netty.handler.codec.http.FullHttpRequest,io.netty.handler.codec.http.HttpHeaders]",acceptSeed,1
/Users/dheerajdavuluri/repos/netty/codec-http/src/main/java/io/netty/handler/codec/http/websocketx/WebSocketServerHandshaker07.java,io.netty.handler.codec.http.websocketx.WebSocketServerHandshaker07,"newHandshakeResponse/2[io.netty.handler.codec.http.FullHttpRequest,io.netty.handler.codec.http.HttpHeaders]",subprotocols,3
/Users/dheerajdavuluri/repos/netty/codec-http/src/main/java/io/netty/handler/codec/http/websocketx/WebSocketServerHandshaker07.java,io.netty.handler.codec.http.websocketx.WebSocketServerHandshaker07,"newHandshakeResponse/2[io.netty.handler.codec.http.FullHttpRequest,io.netty.handler.codec.http.HttpHeaders]",selectedSubprotocol,2
/Users/dheerajdavuluri/repos/netty/codec-http/src/main/java/io/netty/handler/codec/http/websocketx/WebSocketServerHandshaker07.java,io.netty.handler.codec.http.websocketx.WebSocketServerHandshaker07,"newHandshakeResponse/2[io.netty.handler.codec.http.FullHttpRequest,io.netty.handler.codec.http.HttpHeaders]",key,3
/Users/dheerajdavuluri/repos/netty/codec-http/src/main/java/io/netty/handler/codec/http/websocketx/WebSocketServerHandshaker07.java,io.netty.handler.codec.http.websocketx.WebSocketServerHandshaker07,"newHandshakeResponse/2[io.netty.handler.codec.http.FullHttpRequest,io.netty.handler.codec.http.HttpHeaders]",req,6
/Users/dheerajdavuluri/repos/netty/codec-http/src/main/java/io/netty/handler/codec/http/websocketx/WebSocketServerHandshaker07.java,io.netty.handler.codec.http.websocketx.WebSocketServerHandshaker07,"newHandshakeResponse/2[io.netty.handler.codec.http.FullHttpRequest,io.netty.handler.codec.http.HttpHeaders]",accept,2
