file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/dheerajdavuluri/repos/rxjava/src/test/java/io/reactivex/rxjava3/internal/operators/flowable/FlowableGroupByTest.java,io.reactivex.rxjava3.internal.operators.flowable.FlowableGroupByTest$Anonymous68$Anonymous69,apply/1[java.lang.Integer],FALSE,951,0,52,0,52,1,0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,1,0,FALSE
/Users/dheerajdavuluri/repos/rxjava/src/test/java/io/reactivex/rxjava3/subjects/AsyncSubjectTest.java,io.reactivex.rxjava3.subjects.AsyncSubjectTest$Anonymous3,run/0,FALSE,405,0,40,0,40,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,FALSE
/Users/dheerajdavuluri/repos/rxjava/src/test/java/io/reactivex/rxjava3/internal/operators/maybe/MaybeConcatMapTest.java,io.reactivex.rxjava3.internal.operators.maybe.MaybeConcatMapTest$Anonymous4,apply/1[java.lang.Integer],FALSE,55,1,52,0,52,1,1,3,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,FALSE
/Users/dheerajdavuluri/repos/rxjava/src/test/java/io/reactivex/rxjava3/internal/operators/observable/ObservableToMultimapTest.java,io.reactivex.rxjava3.internal.operators.observable.ObservableToMultimapTest$Anonymous29,apply/1[java.lang.String],FALSE,516,0,3,0,3,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,FALSE
/Users/dheerajdavuluri/repos/rxjava/src/test/java/io/reactivex/rxjava3/subjects/AsyncSubjectTest.java,io.reactivex.rxjava3.subjects.AsyncSubjectTest$Anonymous2,run/0,FALSE,209,0,40,0,40,1,2,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,FALSE
/Users/dheerajdavuluri/repos/rxjava/src/main/java/io/reactivex/rxjava3/internal/operators/observable/ObservableTakeUntilPredicate.java,io.reactivex.rxjava3.internal.operators.observable.ObservableTakeUntilPredicate,"ObservableTakeUntilPredicate/2[io.reactivex.rxjava3.internal.operators.observable.ObservableSource<T>,io.reactivex.rxjava3.internal.operators.observable.Predicate<? super T>]",TRUE,25,2,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,FALSE
/Users/dheerajdavuluri/repos/rxjava/src/main/java/io/reactivex/rxjava3/internal/operators/observable/ObservableTakeUntilPredicate.java,io.reactivex.rxjava3.internal.operators.observable.ObservableTakeUntilPredicate,subscribeActual/1[io.reactivex.rxjava3.internal.operators.observable.Observer<? super T>],FALSE,31,2,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,FALSE
/Users/dheerajdavuluri/repos/rxjava/src/test/java/io/reactivex/rxjava3/internal/operators/maybe/MaybeConcatMapTest.java,io.reactivex.rxjava3.internal.operators.maybe.MaybeConcatMapTest$Anonymous5,apply/1[java.lang.Integer],FALSE,68,1,52,0,52,1,1,3,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,FALSE
/Users/dheerajdavuluri/repos/rxjava/src/test/java/io/reactivex/rxjava3/subjects/AsyncSubjectTest.java,io.reactivex.rxjava3.subjects.AsyncSubjectTest$Anonymous1,accept/1[java.lang.String],FALSE,194,0,0,0,0,2,3,9,0,0,1,3,0,0,0,0,1,0,0,1,0,0,1,0,0,0,5,1,0,FALSE
/Users/dheerajdavuluri/repos/rxjava/src/test/java/io/reactivex/rxjava3/internal/operators/maybe/MaybeConcatMapTest.java,io.reactivex.rxjava3.internal.operators.maybe.MaybeConcatMapTest$Anonymous6,apply/1[java.lang.Integer],FALSE,81,2,52,0,52,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,FALSE
