file,class,method,variable,usage
/Users/dheerajdavuluri/repos/rxjava/src/test/java/io/reactivex/rxjava3/internal/operators/flowable/FlowableGroupByTest.java,io.reactivex.rxjava3.internal.operators.flowable.FlowableGroupByTest$Anonymous68$Anonymous69,apply/1[java.lang.Integer],t1,1
/Users/dheerajdavuluri/repos/rxjava/src/test/java/io/reactivex/rxjava3/internal/operators/maybe/MaybeConcatMapTest.java,io.reactivex.rxjava3.internal.operators.maybe.MaybeConcatMapTest$Anonymous4,apply/1[java.lang.Integer],v,0
/Users/dheerajdavuluri/repos/rxjava/src/test/java/io/reactivex/rxjava3/internal/operators/observable/ObservableToMultimapTest.java,io.reactivex.rxjava3.internal.operators.observable.ObservableToMultimapTest$Anonymous29,apply/1[java.lang.String],v,1
/Users/dheerajdavuluri/repos/rxjava/src/main/java/io/reactivex/rxjava3/internal/operators/observable/ObservableTakeUntilPredicate.java,io.reactivex.rxjava3.internal.operators.observable.ObservableTakeUntilPredicate,"ObservableTakeUntilPredicate/2[io.reactivex.rxjava3.internal.operators.observable.ObservableSource<T>,io.reactivex.rxjava3.internal.operators.observable.Predicate<? super T>]",predicate,2
/Users/dheerajdavuluri/repos/rxjava/src/main/java/io/reactivex/rxjava3/internal/operators/observable/ObservableTakeUntilPredicate.java,io.reactivex.rxjava3.internal.operators.observable.ObservableTakeUntilPredicate,"ObservableTakeUntilPredicate/2[io.reactivex.rxjava3.internal.operators.observable.ObservableSource<T>,io.reactivex.rxjava3.internal.operators.observable.Predicate<? super T>]",source,1
/Users/dheerajdavuluri/repos/rxjava/src/main/java/io/reactivex/rxjava3/internal/operators/observable/ObservableTakeUntilPredicate.java,io.reactivex.rxjava3.internal.operators.observable.ObservableTakeUntilPredicate,subscribeActual/1[io.reactivex.rxjava3.internal.operators.observable.Observer<? super T>],observer,1
/Users/dheerajdavuluri/repos/rxjava/src/test/java/io/reactivex/rxjava3/internal/operators/maybe/MaybeConcatMapTest.java,io.reactivex.rxjava3.internal.operators.maybe.MaybeConcatMapTest$Anonymous5,apply/1[java.lang.Integer],v,0
/Users/dheerajdavuluri/repos/rxjava/src/test/java/io/reactivex/rxjava3/subjects/AsyncSubjectTest.java,io.reactivex.rxjava3.subjects.AsyncSubjectTest$Anonymous1,accept/1[java.lang.String],e,1
/Users/dheerajdavuluri/repos/rxjava/src/test/java/io/reactivex/rxjava3/subjects/AsyncSubjectTest.java,io.reactivex.rxjava3.subjects.AsyncSubjectTest$Anonymous1,accept/1[java.lang.String],t1,1
/Users/dheerajdavuluri/repos/rxjava/src/test/java/io/reactivex/rxjava3/internal/operators/maybe/MaybeConcatMapTest.java,io.reactivex.rxjava3.internal.operators.maybe.MaybeConcatMapTest$Anonymous6,apply/1[java.lang.Integer],v,0
