file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/dheerajdavuluri/repos/spring-boot/module/spring-boot-neo4j/src/dockerTest/java/org/springframework/boot/neo4/health/Neo4jReactiveHealthIndicatorIntegrationTests.java,org.springframework.boot.neo4.health.Neo4jReactiveHealthIndicatorIntegrationTests,neo4jProperties/1[org.springframework.boot.neo4.health.DynamicPropertyRegistry],FALSE,56,2,0,0,0,1,1,5,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,6,8,0,FALSE
/Users/dheerajdavuluri/repos/spring-boot/module/spring-boot-neo4j/src/dockerTest/java/org/springframework/boot/neo4/health/Neo4jReactiveHealthIndicatorIntegrationTests.java,org.springframework.boot.neo4.health.Neo4jReactiveHealthIndicatorIntegrationTests,health/0,FALSE,66,2,0,0,0,1,8,5,0,1,0,8,0,0,0,0,0,0,2,1,1,0,0,0,0,0,5,0,0,FALSE
/Users/dheerajdavuluri/repos/spring-boot/core/spring-boot/src/test/java/org/springframework/boot/ssl/pem/LoadedPemSslStoreTests.java,org.springframework.boot.ssl.pem.LoadedPemSslStoreTests,certificatesAreLoadedLazily/0,FALSE,42,4,0,0,0,1,5,5,0,2,0,5,0,0,0,0,0,0,3,0,2,0,0,0,0,0,16,0,0,FALSE
/Users/dheerajdavuluri/repos/spring-boot/core/spring-boot/src/test/java/org/springframework/boot/ssl/pem/LoadedPemSslStoreTests.java,org.springframework.boot.ssl.pem.LoadedPemSslStoreTests,privateKeyIsLoadedLazily/0,FALSE,51,4,0,0,0,1,5,5,0,2,0,5,0,0,0,0,0,0,3,0,2,0,0,0,0,0,17,0,0,FALSE
/Users/dheerajdavuluri/repos/spring-boot/core/spring-boot/src/test/java/org/springframework/boot/ssl/pem/LoadedPemSslStoreTests.java,org.springframework.boot.ssl.pem.LoadedPemSslStoreTests,withPasswordIsLazy/0,FALSE,69,5,0,0,0,1,6,5,0,2,0,6,0,0,0,0,0,0,4,0,2,0,0,0,0,0,17,0,0,FALSE
/Users/dheerajdavuluri/repos/spring-boot/core/spring-boot/src/test/java/org/springframework/boot/ssl/pem/LoadedPemSslStoreTests.java,org.springframework.boot.ssl.pem.LoadedPemSslStoreTests,withAliasIsLazy/0,FALSE,60,5,0,0,0,1,6,5,0,2,0,6,0,0,0,0,0,0,4,0,2,0,0,0,0,0,17,0,0,FALSE
/Users/dheerajdavuluri/repos/spring-boot/core/spring-boot/src/test/java/org/springframework/boot/ssl/pem/LoadedPemSslStoreTests.java,org.springframework.boot.ssl.pem.LoadedPemSslStoreTests,usesResourceLoader/0,FALSE,78,6,0,0,0,1,7,7,0,3,0,7,0,0,0,0,0,0,3,0,3,0,0,0,0,0,17,0,0,FALSE
/Users/dheerajdavuluri/repos/spring-boot/module/spring-boot-resttestclient/src/test/java/org/springframework/boot/resttestclient/TestRestTemplateTests.java,org.springframework.boot.resttestclient.TestRestTemplateTests$Anonymous1,mockArgument/1[java.lang.Class<?>],FALSE,274,2,1,1,0,7,2,21,7,0,1,2,0,0,0,0,0,0,4,1,0,0,1,0,0,0,10,2,0,FALSE
/Users/dheerajdavuluri/repos/spring-boot/module/spring-boot-resttestclient/src/test/java/org/springframework/boot/resttestclient/TestRestTemplateTests.java,org.springframework.boot.resttestclient.TestRestTemplateTests$Anonymous1,doWith/1[java.lang.reflect.Method],FALSE,250,2,1,0,1,2,11,11,0,1,1,11,1,2,0,0,1,0,2,0,1,0,1,0,0,0,15,1,0,FALSE
/Users/dheerajdavuluri/repos/spring-boot/module/spring-boot-resttestclient/src/test/java/org/springframework/boot/resttestclient/TestRestTemplateTests.java,org.springframework.boot.resttestclient.TestRestTemplateTests$Anonymous1,mockArguments/1[java.lang.Class<?>[]],FALSE,265,1,2,1,1,2,1,7,1,2,1,1,1,1,1,0,0,0,0,1,3,0,1,0,0,0,8,2,0,FALSE
/Users/dheerajdavuluri/repos/spring-boot/module/spring-boot-session/src/main/java/org/springframework/boot/session/autoconfigure/SessionProperties.java,org.springframework.boot.session.autoconfigure.SessionProperties$Servlet,setFilterOrder/1[int],FALSE,98,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,FALSE
/Users/dheerajdavuluri/repos/spring-boot/module/spring-boot-session/src/main/java/org/springframework/boot/session/autoconfigure/SessionProperties.java,org.springframework.boot.session.autoconfigure.SessionProperties$Servlet,getFilterDispatcherTypes/0,FALSE,102,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,FALSE
/Users/dheerajdavuluri/repos/spring-boot/module/spring-boot-session/src/main/java/org/springframework/boot/session/autoconfigure/SessionProperties.java,org.springframework.boot.session.autoconfigure.SessionProperties$Servlet,getFilterOrder/0,FALSE,94,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,FALSE
/Users/dheerajdavuluri/repos/spring-boot/module/spring-boot-session/src/main/java/org/springframework/boot/session/autoconfigure/SessionProperties.java,org.springframework.boot.session.autoconfigure.SessionProperties$Servlet,setFilterDispatcherTypes/1[java.util.Set<org.springframework.boot.session.autoconfigure.DispatcherType>],FALSE,106,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,FALSE
/Users/dheerajdavuluri/repos/spring-boot/smoke-test/spring-boot-smoke-test-amqp/src/main/java/smoketest/amqp/Sender.java,smoketest.amqp.Sender,send/1[java.lang.String],FALSE,27,0,2,2,0,1,1,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,FALSE
/Users/dheerajdavuluri/repos/spring-boot/smoke-test/spring-boot-smoke-test-data-jdbc/src/test/java/smoketest/data/jdbc/CustomerRepositoryIntegrationTests.java,smoketest.data.jdbc.CustomerRepositoryIntegrationTests,findByNameWithNoMatch/0,FALSE,50,2,1,0,1,1,3,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,FALSE
/Users/dheerajdavuluri/repos/spring-boot/smoke-test/spring-boot-smoke-test-data-jdbc/src/test/java/smoketest/data/jdbc/CustomerRepositoryIntegrationTests.java,smoketest.data.jdbc.CustomerRepositoryIntegrationTests,findAllCustomers/0,FALSE,40,1,0,0,0,1,3,3,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,FALSE
/Users/dheerajdavuluri/repos/spring-boot/smoke-test/spring-boot-smoke-test-data-jdbc/src/test/java/smoketest/data/jdbc/CustomerRepositoryIntegrationTests.java,smoketest.data.jdbc.CustomerRepositoryIntegrationTests,findByNameWithMatch/0,FALSE,45,2,1,0,1,1,3,3,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,7,0,0,FALSE
/Users/dheerajdavuluri/repos/spring-boot/module/spring-boot-validation/src/test/java/org/springframework/boot/validation/autoconfigure/ValidationAutoConfigurationWithHibernateValidatorMissingElImplTests.java,org.springframework.boot.validation.autoconfigure.ValidationAutoConfigurationWithHibernateValidatorMissingElImplTests,missingElDependencyIsTolerated/0,FALSE,42,3,0,0,0,1,3,7,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8,0,0,FALSE
/Users/dheerajdavuluri/repos/spring-boot/module/spring-boot-security-oauth2-authorization-server/src/test/java/org/springframework/boot/security/oauth2/server/authorization/autoconfigure/servlet/OAuth2AuthorizationServerPropertiesTests.java,org.springframework.boot.security.oauth2.server.authorization.autoconfigure.servlet.OAuth2AuthorizationServerPropertiesTests,clientAuthenticationMethodsEmptyThrowsException/0,FALSE,59,4,5,0,5,1,9,7,0,1,0,9,0,0,0,0,0,0,4,0,1,0,0,0,0,0,15,0,0,FALSE
/Users/dheerajdavuluri/repos/spring-boot/module/spring-boot-security-oauth2-authorization-server/src/test/java/org/springframework/boot/security/oauth2/server/authorization/autoconfigure/servlet/OAuth2AuthorizationServerPropertiesTests.java,org.springframework.boot.security.oauth2.server.authorization.autoconfigure.servlet.OAuth2AuthorizationServerPropertiesTests,defaultEndpointPropertiesMatchBuilderDefaults/0,FALSE,79,4,13,0,13,1,27,16,0,3,0,27,0,0,0,0,0,0,0,0,3,0,0,0,0,0,14,0,0,FALSE
/Users/dheerajdavuluri/repos/spring-boot/module/spring-boot-security-oauth2-authorization-server/src/test/java/org/springframework/boot/security/oauth2/server/authorization/autoconfigure/servlet/OAuth2AuthorizationServerPropertiesTests.java,org.springframework.boot.security.oauth2.server.authorization.autoconfigure.servlet.OAuth2AuthorizationServerPropertiesTests,defaultClientPropertiesMatchBuilderDefaults/0,FALSE,98,3,5,0,5,2,13,8,0,2,0,13,0,0,0,1,0,1,0,0,2,0,0,0,0,0,12,0,0,FALSE
/Users/dheerajdavuluri/repos/spring-boot/module/spring-boot-security-oauth2-authorization-server/src/test/java/org/springframework/boot/security/oauth2/server/authorization/autoconfigure/servlet/OAuth2AuthorizationServerPropertiesTests.java,org.springframework.boot.security.oauth2.server.authorization.autoconfigure.servlet.OAuth2AuthorizationServerPropertiesTests,authorizationGrantTypesEmptyThrowsException/0,FALSE,69,4,5,0,5,1,9,7,0,1,0,9,0,0,0,0,0,0,4,0,1,0,0,0,0,0,16,0,0,FALSE
/Users/dheerajdavuluri/repos/spring-boot/module/spring-boot-security-oauth2-authorization-server/src/test/java/org/springframework/boot/security/oauth2/server/authorization/autoconfigure/servlet/OAuth2AuthorizationServerPropertiesTests.java,org.springframework.boot.security.oauth2.server.authorization.autoconfigure.servlet.OAuth2AuthorizationServerPropertiesTests,clientIdAbsentThrowsException/0,FALSE,39,4,5,0,5,1,9,7,0,1,0,9,0,0,0,0,0,0,4,0,1,0,0,0,0,0,13,0,0,FALSE
