file,class,method,variable,usage
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-core/src/main/java/org/openpdf/text/Image.java,org.openpdf.text.Image$ImageType,"ImageType/3[java.util.function.Function<byte[],org.openpdf.text.Image>,java.util.function.Function<java.net.URL,org.openpdf.text.Image>,java.util.function.Function<int[],java.lang.Boolean>]",urlLoaderFun,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-core/src/main/java/org/openpdf/text/Image.java,org.openpdf.text.Image$ImageType,"ImageType/3[java.util.function.Function<byte[],org.openpdf.text.Image>,java.util.function.Function<java.net.URL,org.openpdf.text.Image>,java.util.function.Function<int[],java.lang.Boolean>]",typeCheckerFun,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-core/src/main/java/org/openpdf/text/Image.java,org.openpdf.text.Image$ImageType,"ImageType/3[java.util.function.Function<byte[],org.openpdf.text.Image>,java.util.function.Function<java.net.URL,org.openpdf.text.Image>,java.util.function.Function<int[],java.lang.Boolean>]",byteLoaderFun,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-core/src/main/java/org/openpdf/text/Image.java,org.openpdf.text.Image$ImageType,matches/1[int[]],typeCheckerFun,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-renderer/src/main/java/org/openpdf/renderer/action/UriAction.java,org.openpdf.renderer.action.UriAction,getUri/0,uri,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-renderer/src/main/java/org/openpdf/renderer/action/UriAction.java,org.openpdf.renderer.action.UriAction,"UriAction/2[org.openpdf.renderer.PDFObject,org.openpdf.renderer.PDFObject]",uri,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-renderer/src/main/java/org/openpdf/renderer/action/UriAction.java,org.openpdf.renderer.action.UriAction,UriAction/1[java.lang.String],uri,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-core/src/main/java/org/openpdf/text/pdf/PdfPublicKeySecurityHandler.java,org.openpdf.text.pdf.PdfPublicKeySecurityHandler,getEncodedRecipients/0,recipients,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-core/src/main/java/org/openpdf/text/pdf/PdfPublicKeySecurityHandler.java,org.openpdf.text.pdf.PdfPublicKeySecurityHandler,PdfPublicKeySecurityHandler/0,SEED_LENGTH,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-core/src/main/java/org/openpdf/text/pdf/PdfPublicKeySecurityHandler.java,org.openpdf.text.pdf.PdfPublicKeySecurityHandler,PdfPublicKeySecurityHandler/0,seed,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-core/src/main/java/org/openpdf/text/pdf/PdfPublicKeySecurityHandler.java,org.openpdf.text.pdf.PdfPublicKeySecurityHandler,PdfPublicKeySecurityHandler/0,recipients,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-core/src/main/java/org/openpdf/text/pdf/PdfPublicKeySecurityHandler.java,org.openpdf.text.pdf.PdfPublicKeySecurityHandler,getSeed/0,seed,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-core/src/main/java/org/openpdf/text/pdf/PdfPublicKeySecurityHandler.java,org.openpdf.text.pdf.PdfPublicKeySecurityHandler,getRecipientsSize/0,recipients,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-core/src/main/java/org/openpdf/text/pdf/PdfPublicKeySecurityHandler.java,org.openpdf.text.pdf.PdfPublicKeySecurityHandler,addRecipient/1[org.openpdf.text.pdf.PdfPublicKeyRecipient],recipients,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-core/src/main/java/org/openpdf/text/pdf/PdfPublicKeySecurityHandler.java,org.openpdf.text.pdf.PdfPublicKeySecurityHandler,getEncodedRecipient/1[int],seed,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-core/src/main/java/org/openpdf/text/pdf/PdfPublicKeySecurityHandler.java,org.openpdf.text.pdf.PdfPublicKeySecurityHandler,getEncodedRecipient/1[int],recipients,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-html/src/main/java/org/openpdf/render/FloatedBoxData.java,org.openpdf.render.FloatedBoxData,setManager/1[org.openpdf.layout.FloatManager],_manager,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-html/src/main/java/org/openpdf/render/FloatedBoxData.java,org.openpdf.render.FloatedBoxData,getManager/0,_manager,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-html/src/main/java/org/openpdf/render/FloatedBoxData.java,org.openpdf.render.FloatedBoxData,getMarginFromSibling/0,_marginFromSibling,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-html/src/main/java/org/openpdf/render/FloatedBoxData.java,org.openpdf.render.FloatedBoxData,getDrawingLayer/0,_drawingLayer,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-html/src/main/java/org/openpdf/render/FloatedBoxData.java,org.openpdf.render.FloatedBoxData,setDrawingLayer/1[org.openpdf.layout.Layer],_drawingLayer,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-html/src/main/java/org/openpdf/render/FloatedBoxData.java,org.openpdf.render.FloatedBoxData,setMarginFromSibling/1[int],_marginFromSibling,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-renderer/src/main/java/org/openpdf/renderer/font/ttf/Glyf.java,org.openpdf.renderer.font.ttf.Glyf,setMaxX/1[short],maxX,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-renderer/src/main/java/org/openpdf/renderer/font/ttf/Glyf.java,org.openpdf.renderer.font.ttf.Glyf,getNumContours/0,numContours,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-renderer/src/main/java/org/openpdf/renderer/font/ttf/Glyf.java,org.openpdf.renderer.font.ttf.Glyf,getMinX/0,minX,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-renderer/src/main/java/org/openpdf/renderer/font/ttf/Glyf.java,org.openpdf.renderer.font.ttf.Glyf,getMaxY/0,maxY,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-renderer/src/main/java/org/openpdf/renderer/font/ttf/Glyf.java,org.openpdf.renderer.font.ttf.Glyf,setMinY/1[short],minY,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-renderer/src/main/java/org/openpdf/renderer/font/ttf/Glyf.java,org.openpdf.renderer.font.ttf.Glyf,setMaxY/1[short],maxY,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-renderer/src/main/java/org/openpdf/renderer/font/ttf/Glyf.java,org.openpdf.renderer.font.ttf.Glyf,isCompound/0,isCompound,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-renderer/src/main/java/org/openpdf/renderer/font/ttf/Glyf.java,org.openpdf.renderer.font.ttf.Glyf,setMinX/1[short],minX,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-renderer/src/main/java/org/openpdf/renderer/font/ttf/Glyf.java,org.openpdf.renderer.font.ttf.Glyf,getMaxX/0,maxX,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-renderer/src/main/java/org/openpdf/renderer/font/ttf/Glyf.java,org.openpdf.renderer.font.ttf.Glyf,setCompound/1[boolean],isCompound,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-renderer/src/main/java/org/openpdf/renderer/font/ttf/Glyf.java,org.openpdf.renderer.font.ttf.Glyf,getMinY/0,minY,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-renderer/src/main/java/org/openpdf/renderer/font/ttf/Glyf.java,org.openpdf.renderer.font.ttf.Glyf,setNumContours/1[short],numContours,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-core/src/main/java/org/openpdf/text/pdf/BarcodeDatamatrix.java,org.openpdf.text.pdf.BarcodeDatamatrix$DmParams,"DmParams/7[int,int,int,int,int,int,int]",heightSection,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-core/src/main/java/org/openpdf/text/pdf/BarcodeDatamatrix.java,org.openpdf.text.pdf.BarcodeDatamatrix$DmParams,"DmParams/7[int,int,int,int,int,int,int]",width,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-core/src/main/java/org/openpdf/text/pdf/BarcodeDatamatrix.java,org.openpdf.text.pdf.BarcodeDatamatrix$DmParams,"DmParams/7[int,int,int,int,int,int,int]",dataBlock,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-core/src/main/java/org/openpdf/text/pdf/BarcodeDatamatrix.java,org.openpdf.text.pdf.BarcodeDatamatrix$DmParams,"DmParams/7[int,int,int,int,int,int,int]",dataSize,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-core/src/main/java/org/openpdf/text/pdf/BarcodeDatamatrix.java,org.openpdf.text.pdf.BarcodeDatamatrix$DmParams,"DmParams/7[int,int,int,int,int,int,int]",widthSection,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-core/src/main/java/org/openpdf/text/pdf/BarcodeDatamatrix.java,org.openpdf.text.pdf.BarcodeDatamatrix$DmParams,"DmParams/7[int,int,int,int,int,int,int]",height,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-core/src/main/java/org/openpdf/text/pdf/BarcodeDatamatrix.java,org.openpdf.text.pdf.BarcodeDatamatrix$DmParams,"DmParams/7[int,int,int,int,int,int,int]",errorBlock,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-html/src/main/java/org/openpdf/render/MarkerData.java,org.openpdf.render.MarkerData$TextMarker,getText/0,_text,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-html/src/main/java/org/openpdf/render/MarkerData.java,org.openpdf.render.MarkerData$TextMarker,getLayoutWidth/0,_layoutWidth,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-html/src/main/java/org/openpdf/render/MarkerData.java,org.openpdf.render.MarkerData$TextMarker,"TextMarker/2[java.lang.String,int]",_layoutWidth,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-html/src/main/java/org/openpdf/render/MarkerData.java,org.openpdf.render.MarkerData$TextMarker,"TextMarker/2[java.lang.String,int]",_text,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-html/src/main/java/org/openpdf/render/InlineBox.java,org.openpdf.render.InlineBox,"InlineBox/7[java.lang.String,org.w3c.dom.Text,org.openpdf.css.extend.ContentFunction,org.openpdf.css.parser.FSFunction,org.w3c.dom.Element,java.lang.String,org.openpdf.css.style.CalculatedStyle]",_originalText,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-html/src/main/java/org/openpdf/render/InlineBox.java,org.openpdf.render.InlineBox,"InlineBox/7[java.lang.String,org.w3c.dom.Text,org.openpdf.css.extend.ContentFunction,org.openpdf.css.parser.FSFunction,org.w3c.dom.Element,java.lang.String,org.openpdf.css.style.CalculatedStyle]",_function,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-html/src/main/java/org/openpdf/render/InlineBox.java,org.openpdf.render.InlineBox,"InlineBox/7[java.lang.String,org.w3c.dom.Text,org.openpdf.css.extend.ContentFunction,org.openpdf.css.parser.FSFunction,org.w3c.dom.Element,java.lang.String,org.openpdf.css.style.CalculatedStyle]",_contentFunction,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-html/src/main/java/org/openpdf/render/InlineBox.java,org.openpdf.render.InlineBox,"InlineBox/7[java.lang.String,org.w3c.dom.Text,org.openpdf.css.extend.ContentFunction,org.openpdf.css.parser.FSFunction,org.w3c.dom.Element,java.lang.String,org.openpdf.css.style.CalculatedStyle]",_style,1
