file,class,method,variable,usage
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-core/src/main/java/org/openpdf/text/Image.java,org.openpdf.text.Image$ImageType,"ImageType/3[java.util.function.Function<byte[],org.openpdf.text.Image>,java.util.function.Function<java.net.URL,org.openpdf.text.Image>,java.util.function.Function<int[],java.lang.Boolean>]",urlLoaderFun,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-core/src/main/java/org/openpdf/text/Image.java,org.openpdf.text.Image$ImageType,"ImageType/3[java.util.function.Function<byte[],org.openpdf.text.Image>,java.util.function.Function<java.net.URL,org.openpdf.text.Image>,java.util.function.Function<int[],java.lang.Boolean>]",typeCheckerFun,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-core/src/main/java/org/openpdf/text/Image.java,org.openpdf.text.Image$ImageType,"ImageType/3[java.util.function.Function<byte[],org.openpdf.text.Image>,java.util.function.Function<java.net.URL,org.openpdf.text.Image>,java.util.function.Function<int[],java.lang.Boolean>]",loaderFun,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-core/src/main/java/org/openpdf/text/Image.java,org.openpdf.text.Image$ImageType,matches/1[java.lang.String],mediaType,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-core/src/main/java/org/openpdf/text/Image.java,org.openpdf.text.Image$ImageType,matches/1[int[]],imageFirstBytes,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-renderer/src/main/java/org/openpdf/renderer/action/UriAction.java,org.openpdf.renderer.action.UriAction,"UriAction/2[org.openpdf.renderer.PDFObject,org.openpdf.renderer.PDFObject]",obj,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-renderer/src/main/java/org/openpdf/renderer/action/UriAction.java,org.openpdf.renderer.action.UriAction,"UriAction/2[org.openpdf.renderer.PDFObject,org.openpdf.renderer.PDFObject]",root,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-renderer/src/main/java/org/openpdf/renderer/action/UriAction.java,org.openpdf.renderer.action.UriAction,UriAction/1[java.lang.String],uri,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-core/src/test/java/org/openpdf/text/html/EmbeddedImageTest.java,org.openpdf.text.html.EmbeddedImageTest,processHtmlWithEmbeddedImage/0,interfaceProps,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/OpenPDF/openpdf-core/src/test/java/org/openpdf/text/html/EmbeddedImageTest.java,org.openpdf.text.html.EmbeddedImageTest,processHtmlWithEmbeddedImage/0,reader,1
