file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/thiago/Documents/Thiago/CodeToAnalyze/elasticsearch-java/java-client/src/main/java/co/elastic/clients/elasticsearch/security/put_privileges/Actions.java,co.elastic.clients.elasticsearch.security.put_privileges.Actions,class,12,16,4,12,16,2,0,21,13,0.64000005,0.25,0.41666666,10,2,7,1,2,0,9,0,4,0,5,1,1,4,0,0,5,0,0,106,6,2,2,0,0,9,0,5,0,5,2,0,1,0,43,1,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/elasticsearch-java/java-client/src/main/java/co/elastic/clients/elasticsearch/core/search/AggregationProfileDelegateDebugFilter.java,co.elastic.clients.elasticsearch.core.search.AggregationProfileDelegateDebugFilter,class,11,15,4,11,14,2,0,12,15,0.65999997,0.25,0.41666666,10,2,7,1,2,0,9,0,4,0,5,1,1,4,0,0,5,0,0,89,6,0,4,0,0,8,0,5,0,5,1,0,1,0,60,1,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/elasticsearch-java/java-client/src/main/java/co/elastic/clients/elasticsearch/_types/aggregations/HistogramAggregate.java,co.elastic.clients.elasticsearch._types.aggregations.HistogramAggregate$Builder,innerclass,5,5,0,5,2,4,0,2,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,20,9,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/elasticsearch-java/java-client/src/main/java/co/elastic/clients/elasticsearch/core/search/PointInTimeReference.java,co.elastic.clients.elasticsearch.core.search.PointInTimeReference,class,12,16,4,12,9,2,0,13,8,0.5833333,0.23809524,0.2857143,8,2,5,1,2,0,7,0,2,0,3,1,1,2,0,0,3,0,0,60,4,0,1,0,0,5,0,3,0,3,1,0,1,0,45,1,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/elasticsearch-java/java-client/src/main/java/co/elastic/clients/elasticsearch/security/has_privileges_user_profile/HasPrivilegesUserProfileErrors.java,co.elastic.clients.elasticsearch.security.has_privileges_user_profile.HasPrivilegesUserProfileErrors,class,11,15,4,11,10,2,0,19,8,0.5833333,0.23809524,0.2857143,8,2,5,1,2,0,7,0,2,0,3,1,1,2,0,0,3,0,0,69,4,1,0,0,0,6,1,3,0,3,2,0,1,0,44,1,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/elasticsearch-java/java-client/src/main/java/co/elastic/clients/elasticsearch/cluster/DeleteComponentTemplateRequest.java,co.elastic.clients.elasticsearch.cluster.DeleteComponentTemplateRequest$Builder,innerclass,7,7,0,7,8,1,0,7,22,0.75,0.10714286,0.10714286,8,0,7,0,1,0,8,0,6,0,3,0,0,3,0,0,0,0,0,34,8,0,0,0,0,0,0,4,0,3,0,0,0,0,68,9,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/elasticsearch-java/java-client/src/main/java/co/elastic/clients/elasticsearch/_types/query_dsl/WrapperQuery.java,co.elastic.clients.elasticsearch._types.query_dsl.WrapperQuery,class,12,16,4,12,6,4,0,10,3,0.5833333,0.3,0.3,6,2,3,1,2,0,5,0,1,0,2,1,1,1,0,0,2,0,1,40,3,0,0,0,0,3,0,2,0,2,0,0,1,0,54,1,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/elasticsearch-java/java-client/src/main/java/co/elastic/clients/elasticsearch/ml/ValidateDetectorRequest.java,co.elastic.clients.elasticsearch.ml.ValidateDetectorRequest$Builder,innerclass,8,8,0,8,5,1,0,5,4,0.4,0.3,0.3,5,0,4,0,1,0,5,0,2,0,1,0,0,1,0,0,0,0,0,21,5,0,0,0,0,1,0,2,0,2,0,0,0,0,30,9,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/elasticsearch-java/java-client/src/main/java/co/elastic/clients/elasticsearch/_types/query_dsl/QueryStringQuery.java,co.elastic.clients.elasticsearch._types.query_dsl.QueryStringQuery,class,15,19,4,15,55,4,0,19,279,0.86923087,0.12561576,0.864532,30,2,27,1,2,0,29,0,25,0,26,1,1,25,0,0,26,0,1,408,27,1,23,0,0,51,0,26,0,26,2,0,1,0,218,1,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/elasticsearch-java/java-client/src/main/java/co/elastic/clients/elasticsearch/_types/aggregations/AggregationVariant.java,co.elastic.clients.elasticsearch._types.aggregations.AggregationVariant,interface,2,83,81,2,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/elasticsearch-java/java-client/src/main/java/co/elastic/clients/elasticsearch/ingest/KeyValueProcessor.java,co.elastic.clients.elasticsearch.ingest.KeyValueProcessor$Builder,innerclass,5,5,0,5,15,1,0,3,101,0.92121214,0.01904762,0.01904762,15,0,14,0,1,0,15,0,13,0,11,0,0,11,0,0,0,0,0,72,15,0,0,0,0,0,0,13,0,11,0,0,0,0,95,9,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/elasticsearch-java/java-client/src/main/java/co/elastic/clients/elasticsearch/transform/SetUpgradeModeResponse.java,co.elastic.clients.elasticsearch.transform.SetUpgradeModeResponse,class,7,12,5,7,3,2,0,4,3,0.6666667,0.0,0.0,3,2,1,1,1,0,2,0,0,0,1,1,1,0,0,0,1,0,0,21,1,0,0,0,0,0,0,1,0,1,0,0,1,0,30,1,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/elasticsearch-java/java-client/src/main/java/co/elastic/clients/elasticsearch/_types/analysis/ShingleTokenFilter.java,co.elastic.clients.elasticsearch._types.analysis.ShingleTokenFilter,class,12,16,4,12,17,2,0,12,13,0.6753246,0.2888889,0.62222224,11,2,8,1,2,0,10,0,6,0,7,1,1,6,0,0,7,0,0,119,8,0,6,0,0,15,0,7,0,7,1,0,1,0,94,1,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/elasticsearch-java/java-client/src/main/java/co/elastic/clients/transport/http/HeaderMap.java,co.elastic.clients.transport.http.HeaderMap,class,3,9,6,3,25,4,2,15,0,0.8333333,1.0,1.0,9,0,9,0,0,0,9,0,0,0,6,5,5,0,1,0,4,0,1,113,12,3,8,0,1,5,1,19,1,13,3,0,1,0,53,1,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/elasticsearch-java/java-client/src/main/java/co/elastic/clients/elasticsearch/nodes/usage/ResponseBase.java,co.elastic.clients.elasticsearch.nodes.usage.ResponseBase,class,8,9,1,8,7,4,1,16,0,0.2,0.9,1.0,5,1,2,0,3,0,5,0,2,0,2,0,0,2,0,0,2,0,1,53,2,1,0,0,0,6,0,2,0,2,2,0,1,0,28,1025,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/elasticsearch-java/java-client/src/main/java/co/elastic/clients/elasticsearch/_types/aggregations/CompositeHistogramAggregation.java,co.elastic.clients.elasticsearch._types.aggregations.CompositeHistogramAggregation,class,12,16,4,12,6,4,0,10,3,0.5833333,0.3,0.3,6,2,3,1,2,0,5,0,1,0,2,1,1,1,0,0,2,0,1,40,3,0,0,0,0,3,1,2,0,2,0,0,1,0,41,1,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/elasticsearch-java/java-client/src/main/java/co/elastic/clients/elasticsearch/indices/SegmentSortMode.java,co.elastic.clients.elasticsearch.indices.SegmentSortMode,enum,2,4,2,2,3,1,0,1,0,0.44444445,0.6666667,1.0,3,0,2,0,0,1,3,0,0,0,3,1,1,2,0,0,3,0,0,14,2,0,0,0,0,4,0,3,0,3,0,0,0,0,26,1,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/elasticsearch-java/java-client/src/main/java/co/elastic/clients/elasticsearch/_types/RRFRetriever.java,co.elastic.clients.elasticsearch._types.RRFRetriever$Builder,innerclass,8,8,0,8,12,1,0,7,41,0.8363636,0.12727273,0.12727273,11,0,10,0,1,0,11,0,9,0,5,0,0,5,0,0,0,0,0,52,11,1,0,0,0,0,0,8,0,5,1,0,0,0,75,9,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/elasticsearch-java/java-client/src/main/java/co/elastic/clients/elasticsearch/eql/EqlSearchResponse.java,co.elastic.clients.elasticsearch.eql.EqlSearchResponse$Builder,innerclass,5,5,0,5,2,3,0,1,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,20,9,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/elasticsearch-java/java-client/src/main/java/co/elastic/clients/elasticsearch/core/FieldCapsRequest.java,co.elastic.clients.elasticsearch.core.FieldCapsRequest$Builder,innerclass,11,11,0,11,22,1,0,10,211,0.9242423,0.043290045,0.043290045,22,0,21,0,1,0,22,0,20,0,12,0,0,12,0,0,0,0,0,99,22,0,0,0,0,0,0,18,0,12,0,0,0,0,206,9,0
