file,class,method,variable,usage
/Users/thiago/Documents/Thiago/CodeToAnalyze/elasticsearch-java/java-client/src/main/java/co/elastic/clients/elasticsearch/security/put_privileges/Actions.java,co.elastic.clients.elasticsearch.security.put_privileges.Actions,"serializeInternal/2[co.elastic.clients.elasticsearch.security.put_privileges.JsonGenerator,co.elastic.clients.elasticsearch.security.put_privileges.JsonpMapper]",item0,4
/Users/thiago/Documents/Thiago/CodeToAnalyze/elasticsearch-java/java-client/src/main/java/co/elastic/clients/elasticsearch/security/put_privileges/Actions.java,co.elastic.clients.elasticsearch.security.put_privileges.Actions,"serializeInternal/2[co.elastic.clients.elasticsearch.security.put_privileges.JsonGenerator,co.elastic.clients.elasticsearch.security.put_privileges.JsonpMapper]",generator,13
/Users/thiago/Documents/Thiago/CodeToAnalyze/elasticsearch-java/java-client/src/main/java/co/elastic/clients/elasticsearch/security/put_privileges/Actions.java,co.elastic.clients.elasticsearch.security.put_privileges.Actions,"serializeInternal/2[co.elastic.clients.elasticsearch.security.put_privileges.JsonGenerator,co.elastic.clients.elasticsearch.security.put_privileges.JsonpMapper]",mapper,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/elasticsearch-java/java-client/src/main/java/co/elastic/clients/elasticsearch/security/put_privileges/Actions.java,co.elastic.clients.elasticsearch.security.put_privileges.Actions,Actions/1[co.elastic.clients.elasticsearch.security.put_privileges.Actions.Builder],builder,4
/Users/thiago/Documents/Thiago/CodeToAnalyze/elasticsearch-java/java-client/src/main/java/co/elastic/clients/elasticsearch/security/put_privileges/Actions.java,co.elastic.clients.elasticsearch.security.put_privileges.Actions,"of/1[java.util.function.Function<co.elastic.clients.elasticsearch.security.put_privileges.Actions.Builder,co.elastic.clients.elasticsearch.security.put_privileges.ObjectBuilder<co.elastic.clients.elasticsearch.security.put_privileges.Actions>>]",fn,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/elasticsearch-java/java-client/src/main/java/co/elastic/clients/elasticsearch/security/put_privileges/Actions.java,co.elastic.clients.elasticsearch.security.put_privileges.Actions,"serialize/2[co.elastic.clients.elasticsearch.security.put_privileges.JsonGenerator,co.elastic.clients.elasticsearch.security.put_privileges.JsonpMapper]",generator,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/elasticsearch-java/java-client/src/main/java/co/elastic/clients/elasticsearch/security/put_privileges/Actions.java,co.elastic.clients.elasticsearch.security.put_privileges.Actions,"serialize/2[co.elastic.clients.elasticsearch.security.put_privileges.JsonGenerator,co.elastic.clients.elasticsearch.security.put_privileges.JsonpMapper]",mapper,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/elasticsearch-java/java-client/src/main/java/co/elastic/clients/elasticsearch/security/put_privileges/Actions.java,co.elastic.clients.elasticsearch.security.put_privileges.Actions,setupActionsDeserializer/1[co.elastic.clients.elasticsearch.security.put_privileges.ObjectDeserializer<co.elastic.clients.elasticsearch.security.put_privileges.Actions.Builder>],op,4
/Users/thiago/Documents/Thiago/CodeToAnalyze/elasticsearch-java/java-client/src/main/java/co/elastic/clients/elasticsearch/core/search/AggregationProfileDelegateDebugFilter.java,co.elastic.clients.elasticsearch.core.search.AggregationProfileDelegateDebugFilter,"serialize/2[co.elastic.clients.elasticsearch.core.search.JsonGenerator,co.elastic.clients.elasticsearch.core.search.JsonpMapper]",generator,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/elasticsearch-java/java-client/src/main/java/co/elastic/clients/elasticsearch/core/search/AggregationProfileDelegateDebugFilter.java,co.elastic.clients.elasticsearch.core.search.AggregationProfileDelegateDebugFilter,"serialize/2[co.elastic.clients.elasticsearch.core.search.JsonGenerator,co.elastic.clients.elasticsearch.core.search.JsonpMapper]",mapper,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/elasticsearch-java/java-client/src/main/java/co/elastic/clients/elasticsearch/core/search/AggregationProfileDelegateDebugFilter.java,co.elastic.clients.elasticsearch.core.search.AggregationProfileDelegateDebugFilter,"serializeInternal/2[co.elastic.clients.elasticsearch.core.search.JsonGenerator,co.elastic.clients.elasticsearch.core.search.JsonpMapper]",generator,8
/Users/thiago/Documents/Thiago/CodeToAnalyze/elasticsearch-java/java-client/src/main/java/co/elastic/clients/elasticsearch/core/search/AggregationProfileDelegateDebugFilter.java,co.elastic.clients.elasticsearch.core.search.AggregationProfileDelegateDebugFilter,"serializeInternal/2[co.elastic.clients.elasticsearch.core.search.JsonGenerator,co.elastic.clients.elasticsearch.core.search.JsonpMapper]",mapper,0
