file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/joran/util/beans/BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,class,1,4,3,1,28,1,0,15,15,0.71428573,0.3,0.6,7,7,5,2,0,0,5,0,0,0,4,4,4,0,0,0,4,0,11,90,20,0,9,0,0,4,8,20,0,16,2,0,0,0,81,1,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-classic/src/test/java/ch/qos/logback/classic/corpus/RandomUtil.java,ch.qos.logback.classic.corpus.RandomUtil,class,0,3,3,0,4,1,0,2,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,16,1,0,0,0,0,2,4,3,2,2,1,0,0,0,27,1,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/net/SyslogOutputStream.java,ch.qos.logback.core.net.SyslogOutputStream,class,1,2,1,1,10,2,0,8,0,0.6,0.52380955,1.0,7,0,6,0,0,1,7,0,0,0,5,1,0,5,0,0,2,0,1,44,3,0,2,0,0,0,2,10,0,7,1,0,0,0,61,1,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-classic/src/main/java/ch/qos/logback/classic/tyler/TylerConfiguratorBase.java,ch.qos.logback.classic.tyler.TylerConfiguratorBase,class,15,18,3,15,22,2,1,23,85,0.9428572,0.10989011,0.10989011,15,0,10,1,4,0,14,0,0,0,7,5,5,0,2,0,5,0,1,87,12,0,4,1,2,11,0,19,2,19,1,0,0,1,124,1,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/model/processor/DefaultProcessor.java,ch.qos.logback.core.model.processor.DefaultProcessor$TraverseMethod,interface,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-classic/src/test/java/ch/qos/logback/classic/pattern/LoggerNameOnlyLoggingEvent.java,ch.qos.logback.classic.pattern.LoggerNameOnlyLoggingEvent,class,6,7,1,6,19,1,0,0,169,0.8947368,0.0058479533,0.0058479533,19,0,19,0,0,0,19,0,0,0,1,0,0,0,0,1,0,0,0,59,17,0,0,0,0,1,3,2,0,1,0,0,0,0,45,1,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/test/java/ch/qos/logback/core/rolling/SizeAndTimeBasedFNATP_Test.java,ch.qos.logback.core.rolling.SizeAndTimeBasedFNATP_Test,class,19,20,1,19,28,2,0,50,36,0.8039215,0.32967034,0.3956044,17,0,12,3,0,2,14,0,0,0,12,3,0,6,0,6,3,0,13,177,1,2,6,0,4,39,28,56,19,44,1,0,0,0,163,1,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/test/java/ch/qos/logback/core/pattern/SpacePadderTest.java,ch.qos.logback.core.pattern.SpacePadderTest,class,5,5,0,5,8,1,0,4,28,0.0,0.0,0.0,8,2,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,12,8,15,0,15,1,0,0,0,22,1,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/joran/spi/HttpUtil.java,ch.qos.logback.core.joran.spi.HttpUtil$RequestMethod,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-classic/src/test/java/ch/qos/logback/classic/issue/lbcore_155/OThread.java,ch.qos.logback.classic.issue.lbcore_155.OThread,class,1,2,1,1,4,2,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,2,0,0,0,3,0,0,4,24,0,2,0,1,0,5,5,6,3,5,2,0,0,0,27,1,5
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/joran/spi/EventPlayer.java,ch.qos.logback.core.joran.spi.EventPlayer,class,5,7,2,5,8,1,0,6,0,0.33333334,1.0,1.0,4,0,4,0,0,0,4,0,0,0,3,0,0,0,0,3,2,0,0,32,1,1,0,0,0,0,1,4,1,4,2,0,0,0,29,1,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/joran/action/NOPAction.java,ch.qos.logback.core.joran.action.NOPAction,class,3,4,1,3,2,3,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-classic/src/main/java/ch/qos/logback/classic/ClassicConstants.java,ch.qos.logback.classic.ClassicConstants,class,1,1,0,1,0,1,0,1,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,22,22,22,0,0,0,22,0,0,24,0,0,0,0,0,19,2,22,2,22,0,0,0,0,80,1,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/util/LocationUtil.java,ch.qos.logback.core.util.LocationUtil,class,1,3,2,1,7,1,0,5,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,2,2,2,0,0,0,2,0,2,30,1,0,3,0,0,5,2,8,0,4,2,0,0,0,64,1,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-classic/src/main/java/ch/qos/logback/classic/helpers/MDCInsertingServletFilter.java,ch.qos.logback.classic.helpers.MDCInsertingServletFilter,class,7,8,1,7,7,1,0,12,10,0.0,0.0,0.0,5,0,3,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,1,1,0,2,0,2,0,2,2,0,0,0,50,1,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/rolling/helper/MonoTypedConverter.java,ch.qos.logback.core.rolling.helper.MonoTypedConverter,interface,0,3,3,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/test/java/ch/qos/logback/core/joran/util/House.java,ch.qos.logback.core.joran.util.HouseColor,enum,0,1,1,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/testUtil/DummyEncoder.java,ch.qos.logback.core.testUtil.DummyEncoder,class,4,5,1,4,18,3,0,8,71,0.84285706,0.12820514,0.12820514,14,0,11,1,0,2,13,0,0,0,5,1,1,0,0,4,1,0,0,63,10,0,3,0,0,1,1,7,1,6,1,0,0,0,30,1,0
