file,class,method,variable,usage
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/joran/util/beans/BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,isSetter/1[java.lang.reflect.Method],PREFIX_SETTER,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/joran/util/beans/BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,isAdder/1[java.lang.reflect.Method],PREFIX_ADDER,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/joran/util/beans/BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,isGetter/1[java.lang.reflect.Method],PREFIX_GETTER_GET,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/joran/util/beans/BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,isGetter/1[java.lang.reflect.Method],PREFIX_GETTER_IS,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/joran/util/beans/BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,getPropertyName/1[java.lang.reflect.Method],PREFIX_GETTER_GET,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/joran/util/beans/BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,getPropertyName/1[java.lang.reflect.Method],PREFIX_ADDER,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/joran/util/beans/BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,getPropertyName/1[java.lang.reflect.Method],PREFIX_GETTER_IS,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/joran/util/beans/BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,getPropertyName/1[java.lang.reflect.Method],PREFIX_SETTER,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/net/SyslogOutputStream.java,ch.qos.logback.core.net.SyslogOutputStream,close/0,address,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/net/SyslogOutputStream.java,ch.qos.logback.core.net.SyslogOutputStream,close/0,ds,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/net/SyslogOutputStream.java,ch.qos.logback.core.net.SyslogOutputStream,flush/0,address,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/net/SyslogOutputStream.java,ch.qos.logback.core.net.SyslogOutputStream,flush/0,port,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/net/SyslogOutputStream.java,ch.qos.logback.core.net.SyslogOutputStream,flush/0,MAX_LEN,1
