file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/joran/util/beans/BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,isSetter/1[java.lang.reflect.Method],false,72,1,2,1,1,4,4,15,4,3,1,4,1,1,0,2,0,0,0,1,3,0,1,0,0,0,31,9,0,true
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/joran/util/beans/BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,isAdder/1[java.lang.reflect.Method],false,24,1,2,1,1,3,4,12,3,3,1,4,1,1,0,2,0,0,0,1,3,0,1,0,0,0,28,9,0,true
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/joran/util/beans/BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,isGetter/1[java.lang.reflect.Method],false,42,1,2,1,1,8,5,20,5,3,1,5,1,1,0,1,0,0,0,1,3,0,2,0,0,0,32,9,0,true
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/joran/util/beans/BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,toLowerCamelCase/1[java.lang.String],false,117,0,3,3,0,6,6,14,4,1,1,6,0,0,0,1,0,0,0,5,2,0,1,0,0,0,28,9,0,true
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/joran/util/beans/BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,getParameterCount/1[java.lang.reflect.Method],false,63,0,3,3,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,false
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/joran/util/beans/BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,getPropertyName/1[java.lang.reflect.Method],false,93,1,3,1,2,4,3,14,1,2,1,3,2,1,0,3,0,0,0,0,5,0,1,0,0,0,29,9,0,true
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/joran/util/beans/BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,"getSubstringIfPrefixMatches/2[java.lang.String,java.lang.String]",false,132,0,1,1,0,2,3,6,2,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,10,0,false
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-classic/src/test/java/ch/qos/logback/classic/corpus/RandomUtil.java,ch.qos.logback.classic.corpus.RandomUtil,"gaussianAsPositiveInt/3[java.util.Random,int,int]",false,27,0,7,7,0,4,2,14,1,2,3,2,0,0,0,0,0,0,2,4,3,2,1,0,0,0,26,9,0,true
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/net/SyslogOutputStream.java,ch.qos.logback.core.net.SyslogOutputStream,close/0,false,74,0,1,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,0,false
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/net/SyslogOutputStream.java,ch.qos.logback.core.net.SyslogOutputStream,flush/0,false,52,1,1,1,0,4,4,16,1,2,0,4,0,0,0,2,0,0,0,1,3,0,1,0,0,0,21,1,0,false
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/net/SyslogOutputStream.java,ch.qos.logback.core.net.SyslogOutputStream,"write/3[byte[],int,int]",false,48,1,0,0,0,1,1,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/net/SyslogOutputStream.java,ch.qos.logback.core.net.SyslogOutputStream,getPort/0,false,79,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/net/SyslogOutputStream.java,ch.qos.logback.core.net.SyslogOutputStream,write/1[int],false,84,0,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/net/SyslogOutputStream.java,ch.qos.logback.core.net.SyslogOutputStream,"SyslogOutputStream/2[java.lang.String,int]",true,42,0,0,0,0,1,1,5,0,0,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,1,0,false
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/net/SyslogOutputStream.java,ch.qos.logback.core.net.SyslogOutputStream,getSendBufferSize/0,false,88,0,1,1,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,false
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-classic/src/main/java/ch/qos/logback/classic/tyler/TylerConfiguratorBase.java,ch.qos.logback.classic.tyler.TylerConfiguratorBase,getConfiguratorSupplier/0,false,174,1,2,1,1,1,1,4,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,21,1,0,true
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-classic/src/main/java/ch/qos/logback/classic/tyler/TylerConfiguratorBase.java,ch.qos.logback.classic.tyler.TylerConfiguratorBase,makeAnotherInstance/0,false,162,1,2,1,1,1,1,5,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,2,0,false
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-classic/src/main/java/ch/qos/logback/classic/tyler/TylerConfiguratorBase.java,ch.qos.logback.classic.tyler.TylerConfiguratorBase,getCopyOfPropertyMap/0,false,114,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-classic/src/main/java/ch/qos/logback/classic/tyler/TylerConfiguratorBase.java,ch.qos.logback.classic.tyler.TylerConfiguratorBase,setContext/1[ch.qos.logback.classic.tyler.Context],false,65,2,1,1,0,1,1,5,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
