file,class,method,variable,usage
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/joran/util/beans/BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,isSetter/1[java.lang.reflect.Method],method,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/joran/util/beans/BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,isSetter/1[java.lang.reflect.Method],parameterCount,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/joran/util/beans/BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,isSetter/1[java.lang.reflect.Method],methodName,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/joran/util/beans/BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,isSetter/1[java.lang.reflect.Method],returnType,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/joran/util/beans/BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,isAdder/1[java.lang.reflect.Method],method,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/joran/util/beans/BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,isAdder/1[java.lang.reflect.Method],parameterCount,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/joran/util/beans/BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,isAdder/1[java.lang.reflect.Method],methodName,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/joran/util/beans/BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,isAdder/1[java.lang.reflect.Method],returnType,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/joran/util/beans/BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,isGetter/1[java.lang.reflect.Method],method,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/joran/util/beans/BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,isGetter/1[java.lang.reflect.Method],parameterCount,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/joran/util/beans/BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,isGetter/1[java.lang.reflect.Method],methodName,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/joran/util/beans/BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,isGetter/1[java.lang.reflect.Method],returnType,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/joran/util/beans/BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,toLowerCamelCase/1[java.lang.String],string,8
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/joran/util/beans/BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,toLowerCamelCase/1[java.lang.String],chars,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/joran/util/beans/BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,getParameterCount/1[java.lang.reflect.Method],method,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/joran/util/beans/BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,getPropertyName/1[java.lang.reflect.Method],method,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/joran/util/beans/BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,getPropertyName/1[java.lang.reflect.Method],methodName,4
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/joran/util/beans/BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,getPropertyName/1[java.lang.reflect.Method],rawPropertyName,7
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/joran/util/beans/BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,"getSubstringIfPrefixMatches/2[java.lang.String,java.lang.String]",prefix,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/joran/util/beans/BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,"getSubstringIfPrefixMatches/2[java.lang.String,java.lang.String]",wholeString,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-classic/src/test/java/ch/qos/logback/classic/corpus/RandomUtil.java,ch.qos.logback.classic.corpus.RandomUtil,"gaussianAsPositiveInt/3[java.util.Random,int,int]",result,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-classic/src/test/java/ch/qos/logback/classic/corpus/RandomUtil.java,ch.qos.logback.classic.corpus.RandomUtil,"gaussianAsPositiveInt/3[java.util.Random,int,int]",random,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-classic/src/test/java/ch/qos/logback/classic/corpus/RandomUtil.java,ch.qos.logback.classic.corpus.RandomUtil,"gaussianAsPositiveInt/3[java.util.Random,int,int]",average,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-classic/src/test/java/ch/qos/logback/classic/corpus/RandomUtil.java,ch.qos.logback.classic.corpus.RandomUtil,"gaussianAsPositiveInt/3[java.util.Random,int,int]",stdDeviation,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-classic/src/test/java/ch/qos/logback/classic/corpus/RandomUtil.java,ch.qos.logback.classic.corpus.RandomUtil,"gaussianAsPositiveInt/3[java.util.Random,int,int]",d,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/net/SyslogOutputStream.java,ch.qos.logback.core.net.SyslogOutputStream,flush/0,bytes,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/net/SyslogOutputStream.java,ch.qos.logback.core.net.SyslogOutputStream,flush/0,packet,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/net/SyslogOutputStream.java,ch.qos.logback.core.net.SyslogOutputStream,"write/3[byte[],int,int]",offset,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/net/SyslogOutputStream.java,ch.qos.logback.core.net.SyslogOutputStream,"write/3[byte[],int,int]",len,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/net/SyslogOutputStream.java,ch.qos.logback.core.net.SyslogOutputStream,"write/3[byte[],int,int]",byteArray,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/net/SyslogOutputStream.java,ch.qos.logback.core.net.SyslogOutputStream,write/1[int],b,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/net/SyslogOutputStream.java,ch.qos.logback.core.net.SyslogOutputStream,"SyslogOutputStream/2[java.lang.String,int]",port,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-core/src/main/java/ch/qos/logback/core/net/SyslogOutputStream.java,ch.qos.logback.core.net.SyslogOutputStream,"SyslogOutputStream/2[java.lang.String,int]",syslogHost,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-classic/src/main/java/ch/qos/logback/classic/tyler/TylerConfiguratorBase.java,ch.qos.logback.classic.tyler.TylerConfiguratorBase,getConfiguratorSupplier/0,supplier,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-classic/src/main/java/ch/qos/logback/classic/tyler/TylerConfiguratorBase.java,ch.qos.logback.classic.tyler.TylerConfiguratorBase,makeAnotherInstance/0,jc,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-classic/src/main/java/ch/qos/logback/classic/tyler/TylerConfiguratorBase.java,ch.qos.logback.classic.tyler.TylerConfiguratorBase,setContext/1[ch.qos.logback.classic.tyler.Context],context,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-classic/src/main/java/ch/qos/logback/classic/tyler/TylerConfiguratorBase.java,ch.qos.logback.classic.tyler.TylerConfiguratorBase,isDefined/1[java.lang.String],val,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-classic/src/main/java/ch/qos/logback/classic/tyler/TylerConfiguratorBase.java,ch.qos.logback.classic.tyler.TylerConfiguratorBase,isDefined/1[java.lang.String],k,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-classic/src/main/java/ch/qos/logback/classic/tyler/TylerConfiguratorBase.java,ch.qos.logback.classic.tyler.TylerConfiguratorBase,"setupLogger/3[java.lang.String,java.lang.String,java.lang.Boolean]",additivity,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-classic/src/main/java/ch/qos/logback/classic/tyler/TylerConfiguratorBase.java,ch.qos.logback.classic.tyler.TylerConfiguratorBase,"setupLogger/3[java.lang.String,java.lang.String,java.lang.Boolean]",level,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-classic/src/main/java/ch/qos/logback/classic/tyler/TylerConfiguratorBase.java,ch.qos.logback.classic.tyler.TylerConfiguratorBase,"setupLogger/3[java.lang.String,java.lang.String,java.lang.Boolean]",levelString,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-classic/src/main/java/ch/qos/logback/classic/tyler/TylerConfiguratorBase.java,ch.qos.logback.classic.tyler.TylerConfiguratorBase,"setupLogger/3[java.lang.String,java.lang.String,java.lang.Boolean]",logger,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-classic/src/main/java/ch/qos/logback/classic/tyler/TylerConfiguratorBase.java,ch.qos.logback.classic.tyler.TylerConfiguratorBase,"setupLogger/3[java.lang.String,java.lang.String,java.lang.Boolean]",loggerName,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-classic/src/main/java/ch/qos/logback/classic/tyler/TylerConfiguratorBase.java,ch.qos.logback.classic.tyler.TylerConfiguratorBase,"setupLogger/3[java.lang.String,java.lang.String,java.lang.Boolean]",loggerContext,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-classic/src/main/java/ch/qos/logback/classic/tyler/TylerConfiguratorBase.java,ch.qos.logback.classic.tyler.TylerConfiguratorBase,isNull/1[java.lang.String],val,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-classic/src/main/java/ch/qos/logback/classic/tyler/TylerConfiguratorBase.java,ch.qos.logback.classic.tyler.TylerConfiguratorBase,isNull/1[java.lang.String],k,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-classic/src/main/java/ch/qos/logback/classic/tyler/TylerConfiguratorBase.java,ch.qos.logback.classic.tyler.TylerConfiguratorBase,p/1[java.lang.String],k,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-classic/src/main/java/ch/qos/logback/classic/tyler/TylerConfiguratorBase.java,ch.qos.logback.classic.tyler.TylerConfiguratorBase,"addSubstitutionProperty/2[java.lang.String,java.lang.String]",value,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-classic/src/main/java/ch/qos/logback/classic/tyler/TylerConfiguratorBase.java,ch.qos.logback.classic.tyler.TylerConfiguratorBase,"addSubstitutionProperty/2[java.lang.String,java.lang.String]",key,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-classic/src/main/java/ch/qos/logback/classic/tyler/TylerConfiguratorBase.java,ch.qos.logback.classic.tyler.TylerConfiguratorBase,processModelFromIncludedFile/1[ch.qos.logback.classic.tyler.Model],genericXMLConfigurator,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-classic/src/main/java/ch/qos/logback/classic/tyler/TylerConfiguratorBase.java,ch.qos.logback.classic.tyler.TylerConfiguratorBase,processModelFromIncludedFile/1[ch.qos.logback.classic.tyler.Model],configururationModel,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/logback/logback-classic/src/main/java/ch/qos/logback/classic/tyler/TylerConfiguratorBase.java,ch.qos.logback.classic.tyler.TylerConfiguratorBase,processModelFromIncludedFile/1[ch.qos.logback.classic.tyler.Model],modelFromIncludedFile,1
