file,class,method,variable,usage
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/examples/src/main/java/com/squareup/moshi/recipes/Unwrap.java,com.squareup.moshi.recipes.Unwrap$EnvelopeJsonAdapter,fromJson/1[com.squareup.moshi.recipes.JsonReader],delegate,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/examples/src/main/java/com/squareup/moshi/recipes/Unwrap.java,com.squareup.moshi.recipes.Unwrap$EnvelopeJsonAdapter,EnvelopeJsonAdapter/1[com.squareup.moshi.recipes.JsonAdapter<com.squareup.moshi.recipes.Unwrap.EnvelopeJsonAdapter.Envelope<?>>],delegate,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/examples/src/main/java/com/squareup/moshi/recipes/Unwrap.java,com.squareup.moshi.recipes.Unwrap$EnvelopeJsonAdapter,"toJson/2[com.squareup.moshi.recipes.JsonWriter,java.lang.Object]",delegate,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi-adapters/src/test/java/com/squareup/moshi/adapters/PolymorphicJsonAdapterFactoryTest.java,com.squareup.moshi.adapters.PolymorphicJsonAdapterFactoryTest$MessageWithUnportableTypes,MessageWithUnportableTypes/1[long],long_value,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi/src/test/java/com/squareup/moshi/DeferredAdapterTest.java,com.squareup.moshi.DeferredAdapterTest$RedNode,RedNode/1[com.squareup.moshi.DeferredAdapterTest.BlueNode],blue,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi-adapters/src/test/java/com/squareup/moshi/adapters/PolymorphicJsonAdapterFactoryTest.java,com.squareup.moshi.adapters.PolymorphicJsonAdapterFactoryTest$MessageWithType,"MessageWithType/2[java.lang.String,java.lang.String]",type,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi-adapters/src/test/java/com/squareup/moshi/adapters/PolymorphicJsonAdapterFactoryTest.java,com.squareup.moshi.adapters.PolymorphicJsonAdapterFactoryTest$MessageWithType,"MessageWithType/2[java.lang.String,java.lang.String]",value,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi/src/test/java/com/squareup/moshi/AdapterMethodsTest.java,com.squareup.moshi.AdapterMethodsTest$Line,equals/1[java.lang.Object],a,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi/src/test/java/com/squareup/moshi/AdapterMethodsTest.java,com.squareup.moshi.AdapterMethodsTest$Line,equals/1[java.lang.Object],b,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi/src/test/java/com/squareup/moshi/AdapterMethodsTest.java,com.squareup.moshi.AdapterMethodsTest$Line,"Line/2[com.squareup.moshi.AdapterMethodsTest.Point,com.squareup.moshi.AdapterMethodsTest.Point]",a,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi/src/test/java/com/squareup/moshi/AdapterMethodsTest.java,com.squareup.moshi.AdapterMethodsTest$Line,"Line/2[com.squareup.moshi.AdapterMethodsTest.Point,com.squareup.moshi.AdapterMethodsTest.Point]",b,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi/src/test/java/com/squareup/moshi/AdapterMethodsTest.java,com.squareup.moshi.AdapterMethodsTest$Line,hashCode/0,a,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi/src/test/java/com/squareup/moshi/AdapterMethodsTest.java,com.squareup.moshi.AdapterMethodsTest$Line,hashCode/0,b,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi/src/test/java/com/squareup/moshi/FlattenTest.java,com.squareup.moshi.FlattenTest,deepFlatten/0,factory,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi/src/test/java/com/squareup/moshi/FlattenTest.java,com.squareup.moshi.FlattenTest,multipleCallsToFlattenSameNesting/0,factory,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi/src/test/java/com/squareup/moshi/FlattenTest.java,com.squareup.moshi.FlattenTest,flattenDoesNotImpactOtherTypesInArrays/0,factory,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi/src/test/java/com/squareup/moshi/FlattenTest.java,com.squareup.moshi.FlattenTest,flattenExample/0,factory,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi/src/test/java/com/squareup/moshi/FlattenTest.java,com.squareup.moshi.FlattenTest,recursiveFlatten/0,factory,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi/src/test/java/com/squareup/moshi/FlattenTest.java,com.squareup.moshi.FlattenTest,flattenMultipleNested/0,factory,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi/src/test/java/com/squareup/moshi/FlattenTest.java,com.squareup.moshi.FlattenTest,flattenIsOnlyOneLevelDeep/0,factory,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi/src/test/java/com/squareup/moshi/FlattenTest.java,com.squareup.moshi.FlattenTest,flattenOnlySomeChildren/0,factory,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi/src/test/java/com/squareup/moshi/FlattenTest.java,com.squareup.moshi.FlattenTest,flattenArray/0,factory,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi/src/test/java/com/squareup/moshi/FlattenTest.java,com.squareup.moshi.FlattenTest,flattenTopLevel/0,factory,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi/src/test/java/com/squareup/moshi/FlattenTest.java,com.squareup.moshi.FlattenTest,flattenObject/0,factory,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi/src/test/java/com/squareup/moshi/FlattenTest.java,com.squareup.moshi.FlattenTest,flattenDoesNotImpactOtherTypesInObjects/0,factory,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi-adapters/src/test/java/com/squareup/moshi/adapters/PolymorphicJsonAdapterFactoryTest.java,com.squareup.moshi.adapters.PolymorphicJsonAdapterFactoryTest$Error,"Error/1[java.util.Map<java.lang.String,java.lang.Object>]",error_logs,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi-adapters/src/test/java/com/squareup/moshi/adapters/PolymorphicJsonAdapterFactoryTest.java,com.squareup.moshi.adapters.PolymorphicJsonAdapterFactoryTest$Error,hashCode/0,error_logs,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi-adapters/src/test/java/com/squareup/moshi/adapters/PolymorphicJsonAdapterFactoryTest.java,com.squareup.moshi.adapters.PolymorphicJsonAdapterFactoryTest$Error,equals/1[java.lang.Object],error_logs,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi/src/test/java/com/squareup/moshi/JsonReaderPathTest.java,com.squareup.moshi.JsonReaderPathTest,objectPath/0,factory,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi/src/test/java/com/squareup/moshi/JsonReaderPathTest.java,com.squareup.moshi.JsonReaderPathTest,path/0,factory,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi/src/test/java/com/squareup/moshi/JsonReaderPathTest.java,com.squareup.moshi.JsonReaderPathTest,skipObjectNames/0,factory,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi/src/test/java/com/squareup/moshi/JsonReaderPathTest.java,com.squareup.moshi.JsonReaderPathTest,skipArrayElements/0,factory,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi/src/test/java/com/squareup/moshi/JsonReaderPathTest.java,com.squareup.moshi.JsonReaderPathTest,arrayPath/0,factory,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi/src/test/java/com/squareup/moshi/JsonReaderPathTest.java,com.squareup.moshi.JsonReaderPathTest,multipleTopLevelValuesInOneDocument/0,factory,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi/src/test/java/com/squareup/moshi/JsonReaderPathTest.java,com.squareup.moshi.JsonReaderPathTest,skipNestedStructures/0,factory,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi/src/test/java/com/squareup/moshi/JsonReaderPathTest.java,com.squareup.moshi.JsonReaderPathTest,arrayOfObjects/0,factory,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi/src/test/java/com/squareup/moshi/JsonReaderPathTest.java,com.squareup.moshi.JsonReaderPathTest,arrayOfArrays/0,factory,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi/src/test/java/com/squareup/moshi/JsonReaderPathTest.java,com.squareup.moshi.JsonReaderPathTest,skipObjectValues/0,factory,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi/src/test/java/com/squareup/moshi/AdapterMethodsTest.java,com.squareup.moshi.AdapterMethodsTest$Point,"Point/2[int,int]",x,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi/src/test/java/com/squareup/moshi/AdapterMethodsTest.java,com.squareup.moshi.AdapterMethodsTest$Point,"Point/2[int,int]",y,3
