file,class,method,variable,usage
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi/records-tests/src/test/java/com/squareup/moshi/records/RecordsTest.java,com.squareup.moshi.records.RecordsTest$Anonymous1,"booleanToJson/2[com.squareup.moshi.records.JsonWriter,boolean]",writer,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi/records-tests/src/test/java/com/squareup/moshi/records/RecordsTest.java,com.squareup.moshi.records.RecordsTest$Anonymous1,"booleanToJson/2[com.squareup.moshi.records.JsonWriter,boolean]",value,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi/records-tests/src/test/java/com/squareup/moshi/records/RecordsTest.java,com.squareup.moshi.records.RecordsTest$Anonymous1,booleanFromJson/1[com.squareup.moshi.records.JsonReader],reader,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi/src/test/java/com/squareup/moshi/JsonUtf8WriterTest.java,com.squareup.moshi.JsonUtf8WriterTest,prettyPrintArray/0,expected,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi/src/test/java/com/squareup/moshi/JsonUtf8WriterTest.java,com.squareup.moshi.JsonUtf8WriterTest,prettyPrintArray/0,buffer,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi/src/test/java/com/squareup/moshi/JsonUtf8WriterTest.java,com.squareup.moshi.JsonUtf8WriterTest,prettyPrintArray/0,writer,15
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi/src/test/java/com/squareup/moshi/JsonUtf8WriterTest.java,com.squareup.moshi.JsonUtf8WriterTest,repeatedNameIgnored/0,buffer,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi/src/test/java/com/squareup/moshi/JsonUtf8WriterTest.java,com.squareup.moshi.JsonUtf8WriterTest,repeatedNameIgnored/0,writer,4
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi/src/test/java/com/squareup/moshi/JsonUtf8WriterTest.java,com.squareup.moshi.JsonUtf8WriterTest,prettyPrintObject/0,expected,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi/src/test/java/com/squareup/moshi/JsonUtf8WriterTest.java,com.squareup.moshi.JsonUtf8WriterTest,prettyPrintObject/0,buffer,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi/src/test/java/com/squareup/moshi/JsonUtf8WriterTest.java,com.squareup.moshi.JsonUtf8WriterTest,prettyPrintObject/0,writer,16
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi/src/test/java/com/squareup/moshi/JsonUtf8WriterTest.java,com.squareup.moshi.JsonUtf8WriterTest,valueFromSource/0,buffer,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi/src/test/java/com/squareup/moshi/JsonUtf8WriterTest.java,com.squareup.moshi.JsonUtf8WriterTest,valueFromSource/0,writer,10
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi/src/test/java/com/squareup/moshi/JsonQualifiersTest.java,com.squareup.moshi.JsonQualifiersTest$BuiltInTypesJsonAdapter,fooPrefixStringToString/1[java.lang.String],s,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi/src/test/java/com/squareup/moshi/JsonQualifiersTest.java,com.squareup.moshi.JsonQualifiersTest$BuiltInTypesJsonAdapter,fooPrefixStringFromString/1[java.lang.String],s,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/examples/src/main/java/com/squareup/moshi/recipes/Unwrap.java,com.squareup.moshi.recipes.Unwrap$EnvelopeJsonAdapter,fromJson/1[com.squareup.moshi.recipes.JsonReader],reader,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/examples/src/main/java/com/squareup/moshi/recipes/Unwrap.java,com.squareup.moshi.recipes.Unwrap$EnvelopeJsonAdapter,EnvelopeJsonAdapter/1[com.squareup.moshi.recipes.JsonAdapter<com.squareup.moshi.recipes.Unwrap.EnvelopeJsonAdapter.Envelope<?>>],delegate,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/examples/src/main/java/com/squareup/moshi/recipes/Unwrap.java,com.squareup.moshi.recipes.Unwrap$EnvelopeJsonAdapter,"toJson/2[com.squareup.moshi.recipes.JsonWriter,java.lang.Object]",writer,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/examples/src/main/java/com/squareup/moshi/recipes/Unwrap.java,com.squareup.moshi.recipes.Unwrap$EnvelopeJsonAdapter,"toJson/2[com.squareup.moshi.recipes.JsonWriter,java.lang.Object]",value,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/examples/src/main/java/com/squareup/moshi/recipes/FromJsonWithoutStrings.java,com.squareup.moshi.recipes.FromJsonWithoutStrings,run/0,jsonAdapter,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/examples/src/main/java/com/squareup/moshi/recipes/FromJsonWithoutStrings.java,com.squareup.moshi.recipes.FromJsonWithoutStrings,run/0,moshi,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/examples/src/main/java/com/squareup/moshi/recipes/FromJsonWithoutStrings.java,com.squareup.moshi.recipes.FromJsonWithoutStrings,run/0,json,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/examples/src/main/java/com/squareup/moshi/recipes/FromJsonWithoutStrings.java,com.squareup.moshi.recipes.FromJsonWithoutStrings,run/0,event,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/examples/src/main/java/com/squareup/moshi/recipes/FromJsonWithoutStrings.java,com.squareup.moshi.recipes.FromJsonWithoutStrings,main/1[java.lang.String[]],args,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi/src/test/java/com/squareup/moshi/MoshiTest.java,com.squareup.moshi.MoshiTest$LocalizedBooleanAdapter$Anonymous9,"create/3[java.lang.reflect.Type,java.util.Set<? extends java.lang.annotation.Annotation>,com.squareup.moshi.Moshi]",annotation,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi/src/test/java/com/squareup/moshi/MoshiTest.java,com.squareup.moshi.MoshiTest$LocalizedBooleanAdapter$Anonymous9,"create/3[java.lang.reflect.Type,java.util.Set<? extends java.lang.annotation.Annotation>,com.squareup.moshi.Moshi]",moshi,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi/src/test/java/com/squareup/moshi/MoshiTest.java,com.squareup.moshi.MoshiTest$LocalizedBooleanAdapter$Anonymous9,"create/3[java.lang.reflect.Type,java.util.Set<? extends java.lang.annotation.Annotation>,com.squareup.moshi.Moshi]",annotations,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi/src/test/java/com/squareup/moshi/MoshiTest.java,com.squareup.moshi.MoshiTest$LocalizedBooleanAdapter$Anonymous9,"create/3[java.lang.reflect.Type,java.util.Set<? extends java.lang.annotation.Annotation>,com.squareup.moshi.Moshi]",type,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/examples/src/main/java/com/squareup/moshi/recipes/CustomAdapterWithDelegate.java,com.squareup.moshi.recipes.CustomAdapterWithDelegate,main/1[java.lang.String[]],args,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/examples/src/main/java/com/squareup/moshi/recipes/CustomAdapterWithDelegate.java,com.squareup.moshi.recipes.CustomAdapterWithDelegate,run/0,jsonAdapter,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/examples/src/main/java/com/squareup/moshi/recipes/CustomAdapterWithDelegate.java,com.squareup.moshi.recipes.CustomAdapterWithDelegate,run/0,moshi,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi/src/test/java/com/squareup/moshi/JsonQualifiersTest.java,com.squareup.moshi.JsonQualifiersTest$MissingJsonQualifierJsonAdapter,dateToJson/1[java.util.Date],d,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi/src/test/java/com/squareup/moshi/JsonQualifiersTest.java,com.squareup.moshi.JsonQualifiersTest$MissingJsonQualifierJsonAdapter,jsonToDate/1[long],value,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi/src/test/java/com/squareup/moshi/CircularAdaptersTest.java,com.squareup.moshi.CircularAdaptersTest$PrefixingNodeFactory,"create/3[java.lang.reflect.Type,java.util.Set<? extends java.lang.annotation.Annotation>,com.squareup.moshi.Moshi]",delegate,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/moshi/moshi/src/test/java/com/squareup/moshi/CircularAdaptersTest.java,com.squareup.moshi.CircularAdaptersTest$PrefixingNodeFactory,"create/3[java.lang.reflect.Type,java.util.Set<? extends java.lang.annotation.Annotation>,com.squareup.moshi.Moshi]",moshi,1
