file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/RequestBodyCompression.java,okhttp3.recipes.RequestBodyCompression$GzipRequestInterceptor,innerclass,4,4,0,4,3,1,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,2,0,0,1,0,2,0,2,1,0,0,0,24,8,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/PostStreamingWithPipe.java,okhttp3.recipes.PostStreamingWithPipe$Anonymous1,anonymous,1,1,0,1,6,1,0,8,1,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,24,2,2,1,1,0,4,4,3,3,3,2,0,0,0,10,-1,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/slack/src/main/java/okhttp3/slack/SlackApi.java,okhttp3.slack.SlackApi$SlackJsonAdapters,innerclass,3,3,0,3,4,1,0,4,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,4,2,2,2,0,1,0,0,0,10,24,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/HttpsServer.java,okhttp3.recipes.HttpsServer,class,9,10,1,9,2,1,0,16,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,2,0,7,0,7,0,0,0,0,34,1,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/okhttp-tls/src/test/java/okhttp3/tls/CertificatesJavaTest.java,okhttp3.tls.CertificatesJavaTest,class,1,1,0,1,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,12,0,2,1,2,0,0,0,0,33,1,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/unixdomainsockets/src/main/java/okhttp3/unixdomainsockets/UnixDomainSocketFactory.java,okhttp3.unixdomainsockets.UnixDomainSocketFactory,class,3,5,2,3,8,2,0,6,13,0.6666667,0.06666667,0.06666667,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,1,0,0,38,5,0,0,2,0,0,0,4,0,4,1,0,0,0,30,17,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/CacheResponse.java,okhttp3.recipes.CacheResponse,class,4,5,1,4,5,1,0,14,1,0.33333334,0.33333334,0.33333334,3,1,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,31,0,0,0,2,0,11,3,8,10,8,2,0,0,0,24,17,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/WebSocketEcho.java,okhttp3.recipes.WebSocketEcho,class,7,8,1,7,7,2,0,15,21,0.0,0.0,0.0,7,1,6,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,9,3,2,3,2,0,0,0,0,28,17,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/CustomCipherSuites.java,okhttp3.recipes.CustomCipherSuites,class,6,8,2,6,10,3,0,30,13,0.6666667,0.33333334,0.33333334,6,1,3,3,0,0,3,0,0,0,1,0,0,1,0,0,1,0,6,79,3,1,1,1,1,4,5,14,2,13,2,1,1,0,61,17,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/PostMultipart.java,okhttp3.recipes.PostMultipart,class,6,7,1,6,3,1,0,15,1,0.5,0.0,0.0,2,1,2,0,0,0,2,0,0,0,3,2,0,3,0,0,3,0,0,16,0,0,0,1,0,11,0,6,2,6,2,0,0,0,50,17,0
