file,class,method,variable,usage
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/unixdomainsockets/src/main/java/okhttp3/unixdomainsockets/UnixDomainSocketFactory.java,okhttp3.unixdomainsockets.UnixDomainSocketFactory,UnixDomainSocketFactory/1[java.io.File],path,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/unixdomainsockets/src/main/java/okhttp3/unixdomainsockets/UnixDomainSocketFactory.java,okhttp3.unixdomainsockets.UnixDomainSocketFactory,createSocket/0,path,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/CacheResponse.java,okhttp3.recipes.CacheResponse,CacheResponse/1[java.io.File],client,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/CacheResponse.java,okhttp3.recipes.CacheResponse,run/0,client,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/CustomCipherSuites.java,okhttp3.recipes.CustomCipherSuites,CustomCipherSuites/0,client,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/CustomCipherSuites.java,okhttp3.recipes.CustomCipherSuites,run/0,client,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/PostMultipart.java,okhttp3.recipes.PostMultipart,run/0,IMGUR_CLIENT_ID,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/PostMultipart.java,okhttp3.recipes.PostMultipart,run/0,client,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/PostMultipart.java,okhttp3.recipes.PostMultipart,run/0,MEDIA_TYPE_PNG,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/Progress.java,okhttp3.recipes.Progress$ProgressResponseBody,contentLength/0,responseBody,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/Progress.java,okhttp3.recipes.Progress$ProgressResponseBody,contentType/0,responseBody,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/Progress.java,okhttp3.recipes.Progress$ProgressResponseBody,source/0,responseBody,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/Progress.java,okhttp3.recipes.Progress$ProgressResponseBody,source/0,bufferedSource,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/Progress.java,okhttp3.recipes.Progress$ProgressResponseBody,"ProgressResponseBody/2[okhttp3.recipes.ResponseBody,okhttp3.recipes.Progress.ProgressListener]",progressListener,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/Progress.java,okhttp3.recipes.Progress$ProgressResponseBody,"ProgressResponseBody/2[okhttp3.recipes.ResponseBody,okhttp3.recipes.Progress.ProgressListener]",responseBody,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/AsynchronousGet.java,okhttp3.recipes.AsynchronousGet,run/0,client,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/PerCallSettings.java,okhttp3.recipes.PerCallSettings,run/0,client,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/PrintEvents.java,okhttp3.recipes.PrintEvents$PrintingEventListener$Anonymous3,create/1[okhttp3.recipes.Call],nextCallId,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/slack/src/main/java/okhttp3/slack/SlackApi.java,okhttp3.slack.SlackApi,rtmStart/1[java.lang.String],httpClient,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/slack/src/main/java/okhttp3/slack/SlackApi.java,okhttp3.slack.SlackApi,rtmStart/1[java.lang.String],baseUrl,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/slack/src/main/java/okhttp3/slack/SlackApi.java,okhttp3.slack.SlackApi,rtmStart/1[java.lang.String],moshi,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/slack/src/main/java/okhttp3/slack/SlackApi.java,okhttp3.slack.SlackApi,"authorizeUrl/4[java.lang.String,okhttp3.slack.HttpUrl,okhttp3.slack.ByteString,java.lang.String]",baseUrl,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/slack/src/main/java/okhttp3/slack/SlackApi.java,okhttp3.slack.SlackApi,"authorizeUrl/4[java.lang.String,okhttp3.slack.HttpUrl,okhttp3.slack.ByteString,java.lang.String]",clientId,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/slack/src/main/java/okhttp3/slack/SlackApi.java,okhttp3.slack.SlackApi,"rtm/2[okhttp3.slack.HttpUrl,okhttp3.slack.WebSocketListener]",httpClient,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/slack/src/main/java/okhttp3/slack/SlackApi.java,okhttp3.slack.SlackApi,"exchangeCode/2[java.lang.String,okhttp3.slack.HttpUrl]",httpClient,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/slack/src/main/java/okhttp3/slack/SlackApi.java,okhttp3.slack.SlackApi,"exchangeCode/2[java.lang.String,okhttp3.slack.HttpUrl]",baseUrl,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/slack/src/main/java/okhttp3/slack/SlackApi.java,okhttp3.slack.SlackApi,"exchangeCode/2[java.lang.String,okhttp3.slack.HttpUrl]",clientId,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/slack/src/main/java/okhttp3/slack/SlackApi.java,okhttp3.slack.SlackApi,"exchangeCode/2[java.lang.String,okhttp3.slack.HttpUrl]",moshi,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/slack/src/main/java/okhttp3/slack/SlackApi.java,okhttp3.slack.SlackApi,"exchangeCode/2[java.lang.String,okhttp3.slack.HttpUrl]",clientSecret,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/slack/src/main/java/okhttp3/slack/SlackApi.java,okhttp3.slack.SlackApi,"SlackApi/3[java.lang.String,java.lang.String,int]",httpClient,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/slack/src/main/java/okhttp3/slack/SlackApi.java,okhttp3.slack.SlackApi,"SlackApi/3[java.lang.String,java.lang.String,int]",clientId,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/slack/src/main/java/okhttp3/slack/SlackApi.java,okhttp3.slack.SlackApi,"SlackApi/3[java.lang.String,java.lang.String,int]",port,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/slack/src/main/java/okhttp3/slack/SlackApi.java,okhttp3.slack.SlackApi,"SlackApi/3[java.lang.String,java.lang.String,int]",moshi,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/slack/src/main/java/okhttp3/slack/SlackApi.java,okhttp3.slack.SlackApi,"SlackApi/3[java.lang.String,java.lang.String,int]",clientSecret,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/maven-tests/src/test/java/com/squareup/okhttp3/maventest/AppTest.java,com.squareup.okhttp3.maventest.AppTest,testApp/0,mockWebServer,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/PostStreamingWithPipe.java,okhttp3.recipes.PostStreamingWithPipe$PipeBody,writeTo/1[okhttp3.recipes.BufferedSink],sink,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/PostStreamingWithPipe.java,okhttp3.recipes.PostStreamingWithPipe$PipeBody,writeTo/1[okhttp3.recipes.BufferedSink],pipe,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/PostStreamingWithPipe.java,okhttp3.recipes.PostStreamingWithPipe$PipeBody,sink/0,sink,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/CurrentDateHeader.java,okhttp3.recipes.CurrentDateHeader,run/0,client,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/unixdomainsockets/src/main/java/okhttp3/unixdomainsockets/UnixDomainServerSocketFactory.java,okhttp3.unixdomainsockets.UnixDomainServerSocketFactory,UnixDomainServerSocketFactory/1[java.io.File],path,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/PrintEvents.java,okhttp3.recipes.PrintEvents$PrintingEventListener,"PrintingEventListener/2[long,long]",callId,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/PrintEvents.java,okhttp3.recipes.PrintEvents$PrintingEventListener,"PrintingEventListener/2[long,long]",callStartNanos,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/PrintEvents.java,okhttp3.recipes.PrintEvents$PrintingEventListener,printEvent/1[java.lang.String],callId,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/PrintEvents.java,okhttp3.recipes.PrintEvents$PrintingEventListener,printEvent/1[java.lang.String],callStartNanos,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/CheckHandshake.java,okhttp3.recipes.CheckHandshake$Anonymous1,intercept/1[okhttp3.recipes.Chain],denylist,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/SynchronousGet.java,okhttp3.recipes.SynchronousGet,run/0,client,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/crawler/src/main/java/okhttp3/sample/Crawler.java,okhttp3.sample.Crawler,fetch/1[okhttp3.sample.HttpUrl],client,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/crawler/src/main/java/okhttp3/sample/Crawler.java,okhttp3.sample.Crawler,fetch/1[okhttp3.sample.HttpUrl],hostnames,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/crawler/src/main/java/okhttp3/sample/Crawler.java,okhttp3.sample.Crawler,fetch/1[okhttp3.sample.HttpUrl],hostLimit,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/crawler/src/main/java/okhttp3/sample/Crawler.java,okhttp3.sample.Crawler,fetch/1[okhttp3.sample.HttpUrl],queue,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/crawler/src/main/java/okhttp3/sample/Crawler.java,okhttp3.sample.Crawler,drainQueue/0,fetchedUrls,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/crawler/src/main/java/okhttp3/sample/Crawler.java,okhttp3.sample.Crawler,drainQueue/0,queue,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/crawler/src/main/java/okhttp3/sample/Crawler.java,okhttp3.sample.Crawler,"Crawler/3[okhttp3.sample.OkHttpClient,int,int]",client,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/crawler/src/main/java/okhttp3/sample/Crawler.java,okhttp3.sample.Crawler,"Crawler/3[okhttp3.sample.OkHttpClient,int,int]",hostLimit,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/crawler/src/main/java/okhttp3/sample/Crawler.java,okhttp3.sample.Crawler,"Crawler/3[okhttp3.sample.OkHttpClient,int,int]",queue,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/LoggingInterceptors.java,okhttp3.recipes.LoggingInterceptors,run/0,client,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/PreemptiveAuth.java,okhttp3.recipes.PreemptiveAuth$BasicAuthInterceptor,"BasicAuthInterceptor/3[java.lang.String,java.lang.String,java.lang.String]",credentials,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/PreemptiveAuth.java,okhttp3.recipes.PreemptiveAuth$BasicAuthInterceptor,"BasicAuthInterceptor/3[java.lang.String,java.lang.String,java.lang.String]",host,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/PreemptiveAuth.java,okhttp3.recipes.PreemptiveAuth$BasicAuthInterceptor,intercept/1[okhttp3.recipes.Chain],credentials,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/PreemptiveAuth.java,okhttp3.recipes.PreemptiveAuth$BasicAuthInterceptor,intercept/1[okhttp3.recipes.Chain],host,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/CustomTrust.java,okhttp3.recipes.CustomTrust,CustomTrust/0,letsEncryptCertificateAuthority,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/CustomTrust.java,okhttp3.recipes.CustomTrust,CustomTrust/0,entrustRootCertificateAuthority,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/CustomTrust.java,okhttp3.recipes.CustomTrust,CustomTrust/0,client,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/CustomTrust.java,okhttp3.recipes.CustomTrust,CustomTrust/0,comodoRsaCertificationAuthority,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/CustomTrust.java,okhttp3.recipes.CustomTrust,run/0,client,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/PostForm.java,okhttp3.recipes.PostForm,run/0,client,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/RequestBodyCompression.java,okhttp3.recipes.RequestBodyCompression,run/0,mapJsonAdapter,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/RequestBodyCompression.java,okhttp3.recipes.RequestBodyCompression,run/0,MEDIA_TYPE_JSON,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/RequestBodyCompression.java,okhttp3.recipes.RequestBodyCompression,run/0,client,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/RequestBodyCompression.java,okhttp3.recipes.RequestBodyCompression,run/0,GOOGLE_API_KEY,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/Progress.java,okhttp3.recipes.Progress$ProgressResponseBody$Anonymous2,"read/2[okhttp3.recipes.Buffer,long]",totalBytesRead,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/PostStreamingWithPipe.java,okhttp3.recipes.PostStreamingWithPipe,run/0,client,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/AccessHeaders.java,okhttp3.recipes.AccessHeaders,run/0,client,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/slack/src/main/java/okhttp3/slack/RtmSession.java,okhttp3.slack.RtmSession,"onMessage/2[okhttp3.slack.WebSocket,java.lang.String]",webSocket,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/slack/src/main/java/okhttp3/slack/RtmSession.java,okhttp3.slack.RtmSession,close/0,webSocket,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/slack/src/main/java/okhttp3/slack/RtmSession.java,okhttp3.slack.RtmSession,open/1[java.lang.String],webSocket,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/slack/src/main/java/okhttp3/slack/RtmSession.java,okhttp3.slack.RtmSession,open/1[java.lang.String],slackApi,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/slack/src/main/java/okhttp3/slack/RtmSession.java,okhttp3.slack.RtmSession,"onClosing/3[okhttp3.slack.WebSocket,int,java.lang.String]",webSocket,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/slack/src/main/java/okhttp3/slack/RtmSession.java,okhttp3.slack.RtmSession,"onOpen/2[okhttp3.slack.WebSocket,okhttp3.slack.Response]",webSocket,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/slack/src/main/java/okhttp3/slack/RtmSession.java,okhttp3.slack.RtmSession,RtmSession/1[okhttp3.slack.SlackApi],slackApi,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/slack/src/main/java/okhttp3/slack/RtmSession.java,okhttp3.slack.RtmSession,"onFailure/3[okhttp3.slack.WebSocket,java.lang.Throwable,okhttp3.slack.Response]",webSocket,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/slack/src/main/java/okhttp3/slack/OAuthSessionFactory.java,okhttp3.slack.OAuthSessionFactory,randomToken/0,secureRandom,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/slack/src/main/java/okhttp3/slack/OAuthSessionFactory.java,okhttp3.slack.OAuthSessionFactory,redirectUrl/0,mockWebServer,1
