file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/RequestBodyCompression.java,okhttp3.recipes.RequestBodyCompression$GzipRequestInterceptor,intercept/1[okhttp3.recipes.Chain],false,71,3,0,0,0,3,7,8,2,2,1,7,0,0,0,2,0,0,1,0,2,0,1,0,0,0,11,1,0,false
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/PostStreamingWithPipe.java,okhttp3.recipes.PostStreamingWithPipe$Anonymous1,run/0,false,53,1,1,0,1,3,7,15,0,1,0,7,1,1,1,0,1,0,3,3,1,0,2,0,0,0,7,1,0,false
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/PostStreamingWithPipe.java,okhttp3.recipes.PostStreamingWithPipe$Anonymous1,factor/1[int],false,68,1,4,3,1,3,2,7,2,2,1,2,1,0,1,1,0,0,1,1,2,3,2,0,0,0,4,2,0,false
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/slack/src/main/java/okhttp3/slack/SlackApi.java,okhttp3.slack.SlackApi$SlackJsonAdapters,urlToJson/1[okhttp3.slack.HttpUrl],false,116,2,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,false
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/slack/src/main/java/okhttp3/slack/SlackApi.java,okhttp3.slack.SlackApi$SlackJsonAdapters,urlFromJson/1[java.lang.String],false,120,2,0,0,0,3,3,5,1,0,1,3,0,0,0,0,0,0,4,2,2,2,1,0,0,0,6,0,0,false
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/HttpsServer.java,okhttp3.recipes.HttpsServer,main/1[java.lang.String[]],false,58,1,2,0,2,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,false
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/HttpsServer.java,okhttp3.recipes.HttpsServer,run/0,false,32,8,1,1,0,1,15,12,0,7,0,15,0,0,0,0,0,0,2,0,7,0,0,0,0,0,19,1,0,false
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/okhttp-tls/src/test/java/okhttp3/tls/CertificatesJavaTest.java,okhttp3.tls.CertificatesJavaTest,testRoundtrip/0,false,25,1,0,0,0,1,3,5,0,2,0,3,0,0,0,0,0,0,12,0,2,1,0,0,0,0,30,1,0,false
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/unixdomainsockets/src/main/java/okhttp3/unixdomainsockets/UnixDomainSocketFactory.java,okhttp3.unixdomainsockets.UnixDomainSocketFactory,UnixDomainSocketFactory/1[java.io.File],true,30,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/unixdomainsockets/src/main/java/okhttp3/unixdomainsockets/UnixDomainSocketFactory.java,okhttp3.unixdomainsockets.UnixDomainSocketFactory,createSocket/0,false,34,2,3,2,1,1,1,4,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,false
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/unixdomainsockets/src/main/java/okhttp3/unixdomainsockets/UnixDomainSocketFactory.java,okhttp3.unixdomainsockets.UnixDomainSocketFactory,"createSocket/2[java.net.InetAddress,int]",false,56,1,2,1,1,2,3,11,1,1,2,3,1,1,0,0,1,0,0,0,1,0,1,0,0,0,10,1,0,false
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/unixdomainsockets/src/main/java/okhttp3/unixdomainsockets/UnixDomainSocketFactory.java,okhttp3.unixdomainsockets.UnixDomainSocketFactory,"createSocket/2[java.lang.String,int]",false,39,1,2,1,1,2,3,11,1,1,2,3,1,1,0,0,1,0,0,0,1,0,1,0,0,0,10,1,0,false
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/unixdomainsockets/src/main/java/okhttp3/unixdomainsockets/UnixDomainSocketFactory.java,okhttp3.unixdomainsockets.UnixDomainSocketFactory,"createSocket/4[java.lang.String,int,java.net.InetAddress,int]",false,52,1,1,0,1,1,1,3,1,0,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/unixdomainsockets/src/main/java/okhttp3/unixdomainsockets/UnixDomainSocketFactory.java,okhttp3.unixdomainsockets.UnixDomainSocketFactory,"createSocket/4[java.net.InetAddress,int,java.net.InetAddress,int]",false,69,1,1,0,1,1,1,3,1,0,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/CacheResponse.java,okhttp3.recipes.CacheResponse,CacheResponse/1[java.io.File],true,28,2,1,1,0,1,2,5,0,2,1,2,0,0,0,0,0,0,0,3,3,1,0,0,0,0,8,1,0,false
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/CacheResponse.java,okhttp3.recipes.CacheResponse,run/0,false,37,1,1,1,0,3,12,20,0,5,0,12,0,0,0,0,2,0,10,0,5,9,2,0,0,0,14,1,0,false
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/CacheResponse.java,okhttp3.recipes.CacheResponse,main/1[java.lang.String[]],false,65,1,2,0,2,1,1,3,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,6,9,0,false
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/WebSocketEcho.java,okhttp3.recipes.WebSocketEcho,main/1[java.lang.String[]],false,50,1,2,0,2,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,false
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/WebSocketEcho.java,okhttp3.recipes.WebSocketEcho,"onOpen/2[okhttp3.recipes.WebSocket,okhttp3.recipes.Response]",false,26,2,0,0,0,1,3,6,0,0,2,3,0,0,0,0,0,0,4,1,0,0,0,0,0,0,6,1,0,false
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/WebSocketEcho.java,okhttp3.recipes.WebSocketEcho,run/0,false,12,2,1,1,0,1,7,6,0,2,0,7,0,0,0,0,0,0,1,1,2,0,0,0,0,0,7,2,0,false
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/WebSocketEcho.java,okhttp3.recipes.WebSocketEcho,"onClosing/3[okhttp3.recipes.WebSocket,int,java.lang.String]",false,41,1,0,0,0,1,2,4,0,0,3,2,0,0,0,0,0,0,2,1,0,1,0,0,0,0,6,1,0,false
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/WebSocketEcho.java,okhttp3.recipes.WebSocketEcho,"onMessage/2[okhttp3.recipes.WebSocket,java.lang.String]",false,33,1,0,0,0,1,1,3,0,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,1,0,false
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/WebSocketEcho.java,okhttp3.recipes.WebSocketEcho,"onMessage/2[okhttp3.recipes.WebSocket,okhttp3.recipes.ByteString]",false,37,2,0,0,0,1,2,3,0,0,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,1,0,false
/Users/thiago/Documents/Thiago/CodeToAnalyze/okhttp/samples/guide/src/main/java/okhttp3/recipes/WebSocketEcho.java,okhttp3.recipes.WebSocketEcho,"onFailure/3[okhttp3.recipes.WebSocket,java.lang.Throwable,okhttp3.recipes.Response]",false,46,2,0,0,0,1,1,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
