file,class,method,variable,usage
/Users/thiago/Documents/Thiago/CodeToAnalyze/processing/core/src/processing/core/PFont.java,processing.core.PFont,setNative/1[java.lang.Object],font,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/processing/core/src/processing/core/PFont.java,processing.core.PFont,"PFont/5[java.awt.Font,boolean,char[],boolean,int]",density,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/processing/core/src/processing/core/PFont.java,processing.core.PFont,"PFont/5[java.awt.Font,boolean,char[],boolean,int]",stream,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/processing/core/src/processing/core/PFont.java,processing.core.PFont,"PFont/5[java.awt.Font,boolean,char[],boolean,int]",font,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/processing/core/src/processing/core/PFont.java,processing.core.PFont,"PFont/5[java.awt.Font,boolean,char[],boolean,int]",smooth,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/processing/core/src/processing/core/PFont.java,processing.core.PFont,isStream/0,stream,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/processing/core/src/processing/core/PFont.java,processing.core.PFont,getPostScriptName/0,psname,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/processing/core/src/processing/core/PFont.java,processing.core.PFont,"indexHunt/3[int,int,int]",glyphs,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/processing/core/src/processing/core/PFont.java,processing.core.PFont,descent/0,descent,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/processing/core/src/processing/core/PFont.java,processing.core.PFont,descent/0,size,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/processing/core/src/processing/core/PFont.java,processing.core.PFont,width/1[char],size,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/processing/core/src/processing/core/PFont.java,processing.core.PFont,width/1[char],glyphs,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/processing/core/src/processing/core/PFont.java,processing.core.PFont,loadFonts/0,fontDifferent,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/processing/core/src/processing/core/PFont.java,processing.core.PFont,loadFonts/0,fonts,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/processing/core/src/processing/core/PFont.java,processing.core.PFont,loadFonts/0,font,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/processing/core/src/processing/core/PFont.java,processing.core.PFont,getSize/0,size,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/processing/core/src/processing/core/PFont.java,processing.core.PFont,findNative/0,fontSearched,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/processing/core/src/processing/core/PFont.java,processing.core.PFont,findNative/0,size,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/processing/core/src/processing/core/PFont.java,processing.core.PFont,findNative/0,name,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/processing/core/src/processing/core/PFont.java,processing.core.PFont,findNative/0,psname,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/processing/core/src/processing/core/PFont.java,processing.core.PFont,findNative/0,font,7
/Users/thiago/Documents/Thiago/CodeToAnalyze/processing/core/src/processing/core/PFont.java,processing.core.PFont,index/1[char],lazy,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/processing/core/src/processing/core/PFont.java,processing.core.PFont,index/1[char],font,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/processing/core/src/processing/core/PFont.java,processing.core.PFont,list/0,fonts,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/processing/core/src/processing/core/PFont.java,processing.core.PFont,getGlyphCount/0,glyphCount,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/processing/core/src/processing/core/PFont.java,processing.core.PFont,getFont/0,font,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/processing/core/src/processing/core/PFont.java,processing.core.PFont,PFont/1[java.io.InputStream],descent,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/processing/core/src/processing/core/PFont.java,processing.core.PFont,PFont/1[java.io.InputStream],ascent,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/processing/core/src/processing/core/PFont.java,processing.core.PFont,PFont/1[java.io.InputStream],size,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/processing/core/src/processing/core/PFont.java,processing.core.PFont,PFont/1[java.io.InputStream],name,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/processing/core/src/processing/core/PFont.java,processing.core.PFont,PFont/1[java.io.InputStream],psname,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/processing/core/src/processing/core/PFont.java,processing.core.PFont,PFont/1[java.io.InputStream],glyphs,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/processing/core/src/processing/core/PFont.java,processing.core.PFont,PFont/1[java.io.InputStream],glyphCount,3
