file,class,method,variable,usage
/Users/thiago/Documents/Thiago/CodeToAnalyze/processing/app/src/processing/app/ui/Editor.java,processing.app.ui.Editor$Anonymous12,actionPerformed/1[java.awt.event.ActionEvent],e,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/processing/app/src/processing/app/ui/Editor.java,processing.app.ui.Editor$Anonymous11,actionPerformed/1[java.awt.event.ActionEvent],e,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/processing/app/src/processing/app/ui/Editor.java,processing.app.ui.Editor$Anonymous14,actionPerformed/1[java.awt.event.ActionEvent],e,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/processing/app/src/processing/app/ui/Editor.java,processing.app.ui.Editor$Anonymous13,actionPerformed/1[java.awt.event.ActionEvent],e,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/processing/app/src/processing/app/tools/CreateFont.java,processing.app.tools.CheckBoxList$CellRenderer,"getListCellRendererComponent/5[javax.swing.JList,java.lang.Object,int,boolean,boolean]",cellHasFocus,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/processing/app/src/processing/app/tools/CreateFont.java,processing.app.tools.CheckBoxList$CellRenderer,"getListCellRendererComponent/5[javax.swing.JList,java.lang.Object,int,boolean,boolean]",isSelected,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/processing/app/src/processing/app/tools/CreateFont.java,processing.app.tools.CheckBoxList$CellRenderer,"getListCellRendererComponent/5[javax.swing.JList,java.lang.Object,int,boolean,boolean]",checkbox,8
/Users/thiago/Documents/Thiago/CodeToAnalyze/processing/app/src/processing/app/tools/CreateFont.java,processing.app.tools.CheckBoxList$CellRenderer,"getListCellRendererComponent/5[javax.swing.JList,java.lang.Object,int,boolean,boolean]",index,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/processing/app/src/processing/app/tools/CreateFont.java,processing.app.tools.CheckBoxList$CellRenderer,"getListCellRendererComponent/5[javax.swing.JList,java.lang.Object,int,boolean,boolean]",list,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/processing/app/src/processing/app/tools/CreateFont.java,processing.app.tools.CheckBoxList$CellRenderer,"getListCellRendererComponent/5[javax.swing.JList,java.lang.Object,int,boolean,boolean]",value,1
