file,class,method,variable,usage
/Users/thiago/Documents/Thiago/CodeToAnalyze/retrofit/retrofit-adapters/rxjava3/src/test/java/retrofit2/adapter/rxjava3/RecordingMaybeObserver.java,retrofit2.adapter.rxjava3.RecordingMaybeObserver$Rule,create/0,subscribers,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/retrofit/retrofit/src/main/java/retrofit2/OkHttpCall.java,retrofit2.OkHttpCall$ExceptionCatchingResponseBody,source/0,delegateSource,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/retrofit/retrofit/src/main/java/retrofit2/OkHttpCall.java,retrofit2.OkHttpCall$ExceptionCatchingResponseBody,contentType/0,delegate,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/retrofit/retrofit/src/main/java/retrofit2/OkHttpCall.java,retrofit2.OkHttpCall$ExceptionCatchingResponseBody,throwIfCaught/0,thrownException,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/retrofit/retrofit/src/main/java/retrofit2/OkHttpCall.java,retrofit2.OkHttpCall$ExceptionCatchingResponseBody,contentLength/0,delegate,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/retrofit/retrofit/src/main/java/retrofit2/OkHttpCall.java,retrofit2.OkHttpCall$ExceptionCatchingResponseBody,close/0,delegate,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/retrofit/retrofit/src/main/java/retrofit2/OkHttpCall.java,retrofit2.OkHttpCall$ExceptionCatchingResponseBody,ExceptionCatchingResponseBody/1[retrofit2.ResponseBody],delegate,4
/Users/thiago/Documents/Thiago/CodeToAnalyze/retrofit/retrofit/src/main/java/retrofit2/OkHttpCall.java,retrofit2.OkHttpCall$ExceptionCatchingResponseBody,ExceptionCatchingResponseBody/1[retrofit2.ResponseBody],delegateSource,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/retrofit/retrofit-adapters/rxjava3/src/main/java/retrofit2/adapter/rxjava3/Result.java,retrofit2.adapter.rxjava3.Result,"Result/2[retrofit2.Response<T>,java.lang.Throwable]",response,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/retrofit/retrofit-adapters/rxjava3/src/main/java/retrofit2/adapter/rxjava3/Result.java,retrofit2.adapter.rxjava3.Result,"Result/2[retrofit2.Response<T>,java.lang.Throwable]",error,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/retrofit/retrofit-adapters/rxjava3/src/main/java/retrofit2/adapter/rxjava3/Result.java,retrofit2.adapter.rxjava3.Result,response/0,response,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/retrofit/retrofit-adapters/rxjava3/src/main/java/retrofit2/adapter/rxjava3/Result.java,retrofit2.adapter.rxjava3.Result,error/0,error,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/retrofit/retrofit-adapters/rxjava3/src/main/java/retrofit2/adapter/rxjava3/Result.java,retrofit2.adapter.rxjava3.Result,error/1[java.lang.Throwable],error,4
/Users/thiago/Documents/Thiago/CodeToAnalyze/retrofit/retrofit-adapters/rxjava3/src/main/java/retrofit2/adapter/rxjava3/Result.java,retrofit2.adapter.rxjava3.Result,response/1[retrofit2.Response<T>],response,4
/Users/thiago/Documents/Thiago/CodeToAnalyze/retrofit/retrofit-adapters/rxjava3/src/main/java/retrofit2/adapter/rxjava3/Result.java,retrofit2.adapter.rxjava3.Result,isError/0,error,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/retrofit/retrofit-converters/jaxb/src/test/java/retrofit2/converter/jaxb/Contact.java,retrofit2.converter.jaxb.Contact,"Contact/2[java.lang.String,java.util.List<retrofit2.converter.jaxb.PhoneNumber>]",phone_numbers,1
/Users/thiago/Documents/Thiago/CodeToAnalyze/retrofit/retrofit-converters/jaxb/src/test/java/retrofit2/converter/jaxb/Contact.java,retrofit2.converter.jaxb.Contact,"Contact/2[java.lang.String,java.util.List<retrofit2.converter.jaxb.PhoneNumber>]",name,3
/Users/thiago/Documents/Thiago/CodeToAnalyze/retrofit/retrofit-converters/jaxb/src/test/java/retrofit2/converter/jaxb/Contact.java,retrofit2.converter.jaxb.Contact,equals/1[java.lang.Object],phone_numbers,2
/Users/thiago/Documents/Thiago/CodeToAnalyze/retrofit/retrofit-converters/jaxb/src/test/java/retrofit2/converter/jaxb/Contact.java,retrofit2.converter.jaxb.Contact,equals/1[java.lang.Object],name,2
