file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/cameronwiegel/Desktop/project/keycloak/core/src/test/java/org/keycloak/HashTest.java,org.keycloak.HashTest,"testSha256Hash/3[java.lang.String,java.nio.charset.Charset,java.lang.String]",false,47,0,1,1,0,1,2,4,0,1,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,2,0,false
/Users/cameronwiegel/Desktop/project/keycloak/core/src/test/java/org/keycloak/HashTest.java,org.keycloak.HashTest,testSha256Hash/0,false,35,2,1,0,1,1,1,8,0,0,0,1,1,1,0,0,0,0,12,0,0,0,0,0,0,0,4,1,0,false
/Users/cameronwiegel/Desktop/project/keycloak/core/src/test/java/org/keycloak/sdjwt/sdjwtvp/KeyBindingJwtVerificationOptsTest.java,org.keycloak.sdjwt.sdjwtvp.KeyBindingJwtVerificationOptsTest,buildShouldFail_IfKeyBindingRequired_AndNonceNotSpecified/0,false,26,1,0,0,0,1,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,false
/Users/cameronwiegel/Desktop/project/keycloak/core/src/test/java/org/keycloak/sdjwt/sdjwtvp/KeyBindingJwtVerificationOptsTest.java,org.keycloak.sdjwt.sdjwtvp.KeyBindingJwtVerificationOptsTest,buildShouldFail_IfKeyBindingRequired_AndNonceEmpty/0,false,33,1,0,0,0,1,4,3,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,1,0,false
/Users/cameronwiegel/Desktop/project/keycloak/core/src/test/java/org/keycloak/sdjwt/sdjwtvp/KeyBindingJwtVerificationOptsTest.java,org.keycloak.sdjwt.sdjwtvp.KeyBindingJwtVerificationOptsTest,buildShouldFail_IfKeyBindingRequired_AndAudNotSpecified/0,false,41,1,0,0,0,1,4,3,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,1,0,false
/Users/cameronwiegel/Desktop/project/keycloak/core/src/test/java/org/keycloak/sdjwt/SdJWTSamplesTest.java,org.keycloak.sdjwt.SdJWTSamplesTest,testS7_2_StructuredSdJwt/0,false,54,7,1,0,1,1,15,15,0,10,0,15,0,0,0,0,0,2,13,0,10,0,0,0,0,0,34,1,0,false
/Users/cameronwiegel/Desktop/project/keycloak/core/src/test/java/org/keycloak/sdjwt/SdJWTSamplesTest.java,org.keycloak.sdjwt.SdJWTSamplesTest,testS7_2b_PartialDisclosureOfStructuredSdJwt/0,false,95,7,1,0,1,1,15,15,0,10,0,15,0,0,0,0,0,2,11,0,10,0,0,0,0,0,36,1,0,false
/Users/cameronwiegel/Desktop/project/keycloak/core/src/test/java/org/keycloak/sdjwt/SdJWTSamplesTest.java,org.keycloak.sdjwt.SdJWTSamplesTest,testS7_1_FlatSdJwt/0,false,31,7,1,0,1,1,11,10,0,6,0,11,0,0,0,0,0,1,5,0,6,0,0,0,0,0,30,1,0,false
/Users/cameronwiegel/Desktop/project/keycloak/core/src/test/java/org/keycloak/sdjwt/SdJWTSamplesTest.java,org.keycloak.sdjwt.SdJWTSamplesTest,testS7_3_RecursiveDisclosureOfStructuredSdJwt/0,false,135,7,1,0,1,1,15,15,0,10,0,15,0,0,0,0,0,2,15,0,10,0,0,0,0,0,36,1,0,false
/Users/cameronwiegel/Desktop/project/keycloak/core/src/test/java/org/keycloak/sdjwt/sdjwtvp/SdJwtVPVerificationTest.java,org.keycloak.sdjwt.sdjwtvp.SdJwtVPVerificationTest,testShouldFail_IfCnfJwkCantBeParsed2/0,false,358,2,2,0,2,1,3,3,0,0,0,3,2,1,0,0,0,0,3,0,0,0,0,0,0,0,18,1,0,false
/Users/cameronwiegel/Desktop/project/keycloak/core/src/test/java/org/keycloak/sdjwt/sdjwtvp/SdJwtVPVerificationTest.java,org.keycloak.sdjwt.sdjwtvp.SdJwtVPVerificationTest,"testShouldFailGeneric/4[java.lang.String,org.keycloak.sdjwt.sdjwtvp.KeyBindingJwtVerificationOpts,java.lang.String,java.lang.String]",false,373,4,12,11,1,2,13,9,0,3,4,13,0,0,0,1,0,0,0,0,3,0,1,0,0,1,26,2,0,false
/Users/cameronwiegel/Desktop/project/keycloak/core/src/test/java/org/keycloak/sdjwt/sdjwtvp/SdJwtVPVerificationTest.java,org.keycloak.sdjwt.sdjwtvp.SdJwtVPVerificationTest,testShouldFail_IfKeyBindingJwtSignatureInvalid/0,false,175,2,2,0,2,1,3,3,0,0,0,3,2,1,0,0,0,0,3,0,0,0,0,0,0,0,19,1,0,false
/Users/cameronwiegel/Desktop/project/keycloak/core/src/test/java/org/keycloak/sdjwt/sdjwtvp/SdJwtVPVerificationTest.java,org.keycloak.sdjwt.sdjwtvp.SdJwtVPVerificationTest,testShouldFail_IfReplayChecksFail_Aud/0,false,220,2,2,0,2,1,4,3,0,0,0,4,2,1,0,0,0,0,3,0,0,0,0,0,0,0,12,1,0,false
/Users/cameronwiegel/Desktop/project/keycloak/core/src/test/java/org/keycloak/sdjwt/sdjwtvp/SdJwtVPVerificationTest.java,org.keycloak.sdjwt.sdjwtvp.SdJwtVPVerificationTest,testShouldFail_IfKbExpired/0,false,295,3,3,0,3,1,9,6,0,2,0,9,3,1,0,0,0,0,3,1,2,1,0,0,0,0,18,1,0,false
/Users/cameronwiegel/Desktop/project/keycloak/core/src/test/java/org/keycloak/sdjwt/sdjwtvp/SdJwtVPVerificationTest.java,org.keycloak.sdjwt.sdjwtvp.SdJwtVPVerificationTest,defaultIssuerVerifyingKeys/0,false,429,1,4,4,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,false
/Users/cameronwiegel/Desktop/project/keycloak/core/src/test/java/org/keycloak/sdjwt/sdjwtvp/SdJwtVPVerificationTest.java,org.keycloak.sdjwt.sdjwtvp.SdJwtVPVerificationTest,testShouldFail_IfKbSdHashInvalid/0,false,247,3,3,0,3,1,5,5,0,1,0,5,3,1,0,0,0,0,3,0,1,0,0,0,0,0,16,1,0,false
/Users/cameronwiegel/Desktop/project/keycloak/core/src/test/java/org/keycloak/sdjwt/sdjwtvp/SdJwtVPVerificationTest.java,org.keycloak.sdjwt.sdjwtvp.SdJwtVPVerificationTest,testVerif_s20_1_sdjwt_with_kb/0,false,63,4,4,0,4,1,8,5,0,2,0,8,3,1,0,0,0,0,1,0,2,0,0,0,0,0,21,1,0,false
/Users/cameronwiegel/Desktop/project/keycloak/core/src/test/java/org/keycloak/sdjwt/sdjwtvp/SdJwtVPVerificationTest.java,org.keycloak.sdjwt.sdjwtvp.SdJwtVPVerificationTest,testShouldFail_IfWrongKbTyp/0,false,197,2,2,0,2,1,3,3,0,0,0,3,2,1,0,0,0,0,2,0,0,0,0,0,0,0,21,1,0,false
/Users/cameronwiegel/Desktop/project/keycloak/core/src/test/java/org/keycloak/sdjwt/sdjwtvp/SdJwtVPVerificationTest.java,org.keycloak.sdjwt.sdjwtvp.SdJwtVPVerificationTest,testShouldFail_IfCnfJwkCantBeParsed/0,false,347,2,2,0,2,1,3,3,0,0,0,3,2,1,0,0,0,0,3,0,0,0,0,0,0,0,20,1,0,false
/Users/cameronwiegel/Desktop/project/keycloak/core/src/test/java/org/keycloak/sdjwt/sdjwtvp/SdJwtVPVerificationTest.java,org.keycloak.sdjwt.sdjwtvp.SdJwtVPVerificationTest,testShouldFail_IfKbNotBeforeTimeYet/0,false,312,3,3,0,3,1,9,6,0,2,0,9,3,1,0,0,0,0,3,1,2,1,0,0,0,0,22,1,0,false
