file,class,method,variable,usage
/Users/larrymotuzis/dev/RxJava/src/test/java/io/reactivex/rxjava3/testsupport/TimesteppingScheduler.java,io.reactivex.rxjava3.testsupport.TimesteppingScheduler,now/1[java.util.concurrent.TimeUnit],stepEnabled,1
/Users/larrymotuzis/dev/RxJava/src/test/java/io/reactivex/rxjava3/testsupport/TimesteppingScheduler.java,io.reactivex.rxjava3.testsupport.TimesteppingScheduler,now/1[java.util.concurrent.TimeUnit],time,2
/Users/larrymotuzis/dev/RxJava/src/test/java/io/reactivex/rxjava3/testsupport/TestHelper.java,io.reactivex.rxjava3.testsupport.TestHelper$TestConsumerExConverters,apply/1[io.reactivex.rxjava3.core.Completable],cancelled,1
/Users/larrymotuzis/dev/RxJava/src/test/java/io/reactivex/rxjava3/testsupport/TestHelper.java,io.reactivex.rxjava3.testsupport.TestHelper$TestConsumerExConverters,apply/1[io.reactivex.rxjava3.core.Completable],fusionMode,1
/Users/larrymotuzis/dev/RxJava/src/test/java/io/reactivex/rxjava3/testsupport/TestHelper.java,io.reactivex.rxjava3.testsupport.TestHelper$TestConsumerExConverters,apply/1[io.reactivex.rxjava3.core.Single<T>],cancelled,1
/Users/larrymotuzis/dev/RxJava/src/test/java/io/reactivex/rxjava3/testsupport/TestHelper.java,io.reactivex.rxjava3.testsupport.TestHelper$TestConsumerExConverters,apply/1[io.reactivex.rxjava3.core.Single<T>],fusionMode,1
/Users/larrymotuzis/dev/RxJava/src/test/java/io/reactivex/rxjava3/testsupport/TestHelper.java,io.reactivex.rxjava3.testsupport.TestHelper$TestConsumerExConverters,apply/1[io.reactivex.rxjava3.core.Maybe<T>],cancelled,1
/Users/larrymotuzis/dev/RxJava/src/test/java/io/reactivex/rxjava3/testsupport/TestHelper.java,io.reactivex.rxjava3.testsupport.TestHelper$TestConsumerExConverters,apply/1[io.reactivex.rxjava3.core.Maybe<T>],fusionMode,1
/Users/larrymotuzis/dev/RxJava/src/test/java/io/reactivex/rxjava3/testsupport/TestHelper.java,io.reactivex.rxjava3.testsupport.TestHelper$TestConsumerExConverters,apply/1[io.reactivex.rxjava3.core.Observable<T>],cancelled,1
/Users/larrymotuzis/dev/RxJava/src/test/java/io/reactivex/rxjava3/testsupport/TestHelper.java,io.reactivex.rxjava3.testsupport.TestHelper$TestConsumerExConverters,apply/1[io.reactivex.rxjava3.core.Observable<T>],fusionMode,1
