file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/dheerajdavuluri/commons-lang/src/test/java/org/apache/commons/lang3/concurrent/TimedSemaphoreTest.java,org.apache.commons.lang3.concurrent.TimedSemaphoreTest$SemaphoreThread,innerclass,1,1,0,1,5,2,0,4,0,0,1,1,2,0,1,0,0,1,2,0,0,0,4,0,0,4,0,0,4,0,1,25,0,1,0,1,0,0,1,5,0,5,3,0,0,0,52,26,0
/Users/dheerajdavuluri/commons-lang/src/main/java/org/apache/commons/lang3/reflect/TypeLiteral.java,org.apache.commons.lang3.reflect.TypeLiteral,class,4,6,2,4,7,1,0,11,0,0.53333336,0.7,1,5,0,4,0,1,0,5,0,1,0,3,1,1,2,0,0,3,0,5,28,6,0,1,0,1,3,3,4,1,4,1,0,0,0,122,1025,0
/Users/dheerajdavuluri/commons-lang/src/main/java/org/apache/commons/lang3/time/FastDateParser.java,org.apache.commons.lang3.time.FastDateParser$CaseInsensitiveTextStrategy,innerclass,3,3,0,3,6,3,0,10,0,0,1,1,3,0,1,0,0,2,3,0,0,0,3,0,0,3,0,0,3,0,2,28,1,0,2,0,0,7,2,7,3,6,1,0,0,0,49,26,0
/Users/dheerajdavuluri/commons-lang/src/test/java/org/apache/commons/lang3/reflect/ConstructorUtilsTest.java,org.apache.commons.lang3.reflect.ConstructorUtilsTest$SubClass,innerclass,1,1,0,1,0,2,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26,0
/Users/dheerajdavuluri/commons-lang/src/main/java/org/apache/commons/lang3/function/FailableBiConsumer.java,org.apache.commons.lang3.function.FailableBiConsumer,interface,4,13,9,4,3,1,0,3,3,0.6666667,0,0,3,1,0,0,0,3,3,0,0,0,1,0,0,0,0,1,0,0,1,17,2,0,0,0,0,2,0,1,0,5,1,0,0,2,52,1,0
/Users/dheerajdavuluri/commons-lang/src/main/java/org/apache/commons/lang3/time/FastDatePrinter.java,org.apache.commons.lang3.time.FastDatePrinter$Rule,interface,0,0,0,0,2,1,0,0,1,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,2,0
/Users/dheerajdavuluri/commons-lang/src/test/java/org/apache/commons/lang3/ClassUtilsTest.java,org.apache.commons.lang3.ClassUtilsTest$12Named,innerclass,0,0,0,0,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0
/Users/dheerajdavuluri/commons-lang/src/test/java/org/apache/commons/lang3/ValidateTest.java,org.apache.commons.lang3.ValidateTest$NotBlank$WithMessage,innerclass,3,3,0,3,8,1,0,7,28,0,0,0,8,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,4,30,0,0,0,0,0,20,0,4,0,4,0,0,0,4,28,16,0
/Users/dheerajdavuluri/commons-lang/src/test/java/org/apache/commons/lang3/reflect/TypeUtilsTest.java,org.apache.commons.lang3.reflect.TypeUtilsTest$And,interface,1,1,0,1,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
/Users/dheerajdavuluri/commons-lang/src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,org.apache.commons.lang3.reflect.MethodUtilsTest$TestMutableSubclass,innerclass,1,1,0,1,0,2,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26,0
/Users/dheerajdavuluri/commons-lang/src/test/java/org/apache/commons/lang3/builder/EqualsBuilderReflectJreImplementationTest.java,org.apache.commons.lang3.builder.EqualsBuilderReflectJreImplementationTest,class,9,9,0,9,3,2,0,11,1,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,159,0,1,0,0,0,23,2,6,0,6,1,0,5,0,43,0,0
/Users/dheerajdavuluri/commons-lang/src/main/java/org/apache/commons/lang3/builder/HashCodeBuilder.java,org.apache.commons.lang3.builder.HashCodeBuilder,class,17,18,1,17,83,1,0,56,156,0.7297298,0.43939394,0.43939394,37,11,31,4,0,2,33,0,0,0,5,3,0,5,0,0,4,0,27,272,34,11,17,1,4,4,11,33,31,11,3,0,0,0,296,1,0
/Users/dheerajdavuluri/commons-lang/src/test/java/org/apache/commons/lang3/CharSequenceUtilsTest.java,org.apache.commons.lang3.CharSequenceUtilsTest$TestData,innerclass,0,0,0,0,5,1,0,5,0,0,1,1,3,0,1,0,0,2,3,0,0,0,8,0,0,0,0,8,8,0,0,44,1,0,1,0,0,8,0,17,0,9,1,0,0,0,20,8,0
/Users/dheerajdavuluri/commons-lang/src/test/java/org/apache/commons/lang3/ValidateTest.java,org.apache.commons.lang3.ValidateTest$NotEmpty,innerclass,1,1,0,1,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,16,0
/Users/dheerajdavuluri/commons-lang/src/main/java/org/apache/commons/lang3/text/ExtendedMessageFormat.java,org.apache.commons.lang3.text.ExtendedMessageFormat,class,5,8,3,5,69,3,2,53,152,0.84523803,0.1969697,0.22727273,21,0,12,9,0,0,12,0,1,0,8,6,0,8,0,0,7,0,11,261,17,7,23,1,2,7,18,54,12,45,4,0,0,0,261,1,0
/Users/dheerajdavuluri/commons-lang/src/test/java/org/apache/commons/lang3/builder/DefaultToStringStyleTest.java,org.apache.commons.lang3.builder.DefaultToStringStyleTest,class,8,8,0,8,13,2,0,15,0,0.1923077,0.5769231,0.5769231,13,0,2,0,0,11,13,0,0,0,2,0,0,2,0,0,2,0,21,93,0,0,0,0,0,88,23,19,46,13,0,0,0,0,39,0,0
